mjd,w2mag,w2sigm
56729.77505138001,7.5084547996521,0.04984844555161403
56921.707200537785,7.490999698638916,0.03538291728719922
57089.37520164182,7.650636196136475,0.03803159214972105
57283.63949651555,7.616445064544678,0.03846435861719788
57448.38347219,7.607666969299316,0.04387175613201246
57647.70952211273,7.5926361083984375,0.0597527702326651
57813.341218305555,7.577666282653809,0.02684417151182059
58014.780499076995,7.466799736022949,0.029913937775427932
58169.85033295701,7.744899749755859,0.026534488043453642
58378.93150073666,7.232778072357178,0.036162164839041146
58536.82100355,7.179111003875732,0.034288425296959704
58743.69071869091,7.000999927520752,0.09397722946040173
58901.04271295889,7.075666427612305,0.06122026718916952
59110.26228240699,7.2455010414123535,0.06364990748512273
59266.440787740554,7.169832706451416,0.07098918297474699
59474.535371549995,7.243799686431885,0.03589463828400813
