mjd,w1mag,w1sigm,w2mag,w2sigm,qual_frame,ra,dec,group
57647.97756933,8.759,0.008,7.54,0.007,10,85.6778827,-10.4192871,6
57648.04302124,8.739,0.014,7.589,0.009,10,85.6778665,-10.419313,6
57648.17405237,8.879,0.009,7.478,0.007,10,85.6778717,-10.4193185,6
57648.30508351,8.716,0.008,7.469,0.01,10,85.6778481,-10.4193136,6
57654.39745992,8.684,0.008,7.418,0.008,10,85.6778754,-10.4193092,6
57812.14055836,8.716,0.008,7.598,0.007,10,85.6778826,-10.4193389,7
57812.27158956,8.766,0.01,7.445,0.028,10,85.6778733,-10.4193379,7
57812.40262085,8.763,0.013,7.486,0.017,10,85.6778602,-10.4193402,7
57812.46807284,8.767,0.008,7.546,0.008,10,85.6779049,-10.419327,7
57812.59897671,8.723,0.008,7.643,0.007,10,85.6778899,-10.4193215,7
57812.66455596,8.77,0.008,7.554,0.008,10,85.6778523,-10.4193476,7
57812.73000791,8.696,0.008,7.571,0.007,10,85.6778644,-10.4193207,7
57812.79545988,8.803,0.008,7.61,0.011,10,85.6778515,-10.4193591,7
57812.86091183,8.772,0.01,7.604,0.011,10,85.6778633,-10.419336,7
57812.86103919,8.762,0.008,7.554,0.007,10,85.6778781,-10.4193419,7
57812.99194311,8.875,0.007,7.602,0.008,10,85.677905,-10.4193353,7
57813.1229744,8.824,0.008,7.635,0.007,5,85.6778719,-10.4193588,7
57818.55841567,8.89,0.008,7.56,0.007,10,85.6778662,-10.419328,7
58014.30261223,8.656,0.008,7.511,0.007,10,85.6778762,-10.4193033,8
58014.4335156,8.681,0.008,7.445,0.007,10,85.6778404,-10.419304,8
58014.56441898,8.662,0.008,7.397,0.007,10,85.6778798,-10.4193302,8
58014.62987064,8.673,0.008,7.496,0.008,10,85.6778912,-10.4193199,8
58014.69532292,8.651,0.014,7.442,0.007,10,85.6778843,-10.4193149,8
58014.69545029,8.64,0.008,7.45,0.011,10,85.6778773,-10.4193162,8
58014.76090194,8.715,0.008,7.42,0.007,10,85.677883,-10.4193256,8
