# MJD mag magerr filter distance ra dec
57964.86629  8.459  0.080 W1  0.6981 167.706141 -77.297692
57964.86629  7.641  0.066 W2  0.6981 167.706141 -77.297692
57964.86629  0.817  0.103 W1mW2  0.6981 167.706141 -77.297692
57965.54279  8.461  0.054 W1  0.7466 167.706125 -77.297705
57965.54279  7.639  0.049 W2  0.7466 167.706125 -77.297705
57965.54279  0.822  0.073 W1mW2  0.7466 167.706125 -77.297705
57967.89968  8.310  0.050 W1  0.7956 167.706107 -77.297719
57967.89968  7.495  0.045 W2  0.7956 167.706107 -77.297719
57967.89968  0.815  0.067 W1mW2  0.7956 167.706107 -77.297719
57968.60200  8.345  0.062 W1  0.7513 167.706156 -77.297708
57968.60200  7.533  0.053 W2  0.7513 167.706156 -77.297708
57968.60200  0.812  0.082 W1mW2  0.7513 167.706156 -77.297708
57969.38584  8.326  0.037 W1  0.7752 167.706122 -77.297713
57969.38584  7.514  0.045 W2  0.7752 167.706122 -77.297713
57969.38584  0.812  0.058 W1mW2  0.7752 167.706122 -77.297713
58165.78434  8.424  0.036 W1  0.7864 167.706231 -77.297718
58165.78434  7.596  0.042 W2  0.7864 167.706231 -77.297718
58165.78434  0.828  0.055 W1mW2  0.7864 167.706231 -77.297718
58166.52477  8.387  0.064 W1  0.7502 167.706213 -77.297708
58166.52477  7.597  0.058 W2  0.7502 167.706213 -77.297708
58166.52477  0.790  0.086 W1mW2  0.7502 167.706213 -77.297708
58167.35519  8.478  0.049 W1  0.7179 167.706164 -77.297698
58167.35519  7.666  0.050 W2  0.7179 167.706164 -77.297698
58167.35519  0.812  0.070 W1mW2  0.7179 167.706164 -77.297698
58328.68461  8.374  0.049 W1  0.7615 167.706096 -77.297708
58328.68461  7.511  0.054 W2  0.7615 167.706096 -77.297708
58328.68461  0.864  0.073 W1mW2  0.7615 167.706096 -77.297708
58329.54930  8.306  0.061 W1  0.7565 167.706128 -77.297708
58329.54930  7.485  0.051 W2  0.7565 167.706128 -77.297708
