# MJD mag magerr filter flag distance ra dec
55283.07824 12.274  0.030 W1 10  1.4063 277.319455  -2.060562
55283.40906 12.226  0.024 W1 10  1.7316 277.319456  -2.060443
55282.94593 12.187  0.030 W1 10  1.9484 277.319565  -2.060459
55283.47528 12.124  0.031 W1 10  2.0661 277.319501  -2.060361
55283.27676 12.201  0.027 W1 10  2.1058 277.319610  -2.060445
55283.80610 12.056  0.028 W1 10  2.1073 277.319500  -2.060347
55282.81363 12.357  0.039 W1 10  2.3059 277.319576  -2.060335
55283.54137 12.355  0.038 W1 10  2.3971 277.319628  -2.060346
55283.21054 12.147  0.028 W1 10  2.4894 277.319654  -2.060336
55283.34297 12.207  0.042 W1 10  2.5475 277.319576  -2.060250
55283.67380 12.159  0.030 W1 10  2.5602 277.319653  -2.060308
55283.67367 12.202  0.039 W1 10  2.6558 277.319629  -2.060252
55283.21067 11.973  0.027 W1 10  2.6946 277.319626  -2.060236
58008.76825 12.208  0.030 W1  5  1.4130 277.319509  -2.060631
58008.44099 12.072  0.025 W1  5  1.4904 277.319559  -2.060687
57110.11866 12.154  0.030 W1 10  1.6497 277.319474  -2.060487
57109.52781 12.179  0.026 W1  5  1.7433 277.319530  -2.060506
58008.89928 12.251  0.027 W1 10  1.7882 277.319481  -2.060443
58008.57189 12.204  0.027 W1 10  1.8706 277.319576  -2.060506
57109.65910 12.279  0.024 W1 10  1.8937 277.319539  -2.060454
58008.83383 12.202  0.027 W1  5  1.9293 277.319546  -2.060447
57840.66171 12.379  0.033 W1  5  1.9708 277.319565  -2.060451
58009.16109 12.167  0.023 W1  5  1.9725 277.319564  -2.060449
58369.45896 12.234  0.024 W1  5  1.9762 277.319545  -2.060428
58368.93548 12.289  0.027 W1  5  2.0221 277.319624  -2.060499
58008.70280 12.136  0.025 W1  5  2.0298 277.319611  -2.060478
58735.96635 12.715  0.035 W1  0  2.0460 277.319476  -2.060351
58568.98633 12.194  0.024 W1 10  2.0530 277.319557  -2.060411
56927.86890 12.298  0.029 W1  5  2.0966 277.319614  -2.060452
58009.29250 12.117  0.023 W1  5  2.1021 277.319609  -2.060444
58571.99622 12.235  0.027 W1  5  2.1052 277.319590  -2.060422
56747.48592 12.332  0.038 W1  5  2.1571 277.319619  -2.060433
56927.14549 12.050  0.025 W1 10  2.1655 277.319587  -2.060396
58569.44424 12.239  0.024 W1  5  2.1719 277.319580  -2.060387
58572.71581 12.219  0.026 W1  5  2.2127 277.319612  -2.060403
57474.21226 12.171  0.030 W1  5  2.2145 277.319613  -2.060402
58205.42982 12.150  0.026 W1  5  2.2164 277.319580  -2.060370
58733.54604 12.436  0.032 W1  5  2.2204 277.319557  -2.060350
57473.81904 12.158  0.024 W1  5  2.2209 277.319649  -2.060441
58009.42302 12.076  0.026 W1  5  2.2264 277.319653  -2.060444
57478.79988 12.047  0.027 W1  5  2.2273 277.319603  -2.060388
57109.39640 12.263  0.026 W1  5  2.2435 277.319608  -2.060386
58572.38867 12.428  0.030 W1  5  2.2669 277.319684  -2.060466
58008.83370 12.070  0.026 W1 10  2.2782 277.319647  -2.060413
56747.61758 12.117  0.022 W1  5  2.2874 277.319638  -2.060400
56927.40857 12.154  0.026 W1 10  2.2993 277.319601  -2.060358
58205.88785 12.151  0.031 W1  5  2.3079 277.319627  -2.060380
57289.35483 12.257  0.024 W1  5  2.3167 277.319620  -2.060369
58572.84671 12.082  0.024 W1  5  2.3229 277.319635  -2.060382
58572.45413 12.162  0.023 W1  5  2.3396 277.319617  -2.060358
56932.14388 12.171  0.026 W1 10  2.3665 277.319647  -2.060378
56748.34175 12.106  0.025 W1  5  2.3715 277.319646  -2.060374
58569.83682 12.142  0.026 W1 10  2.3817 277.319576  -2.060308
57840.79262 12.214  0.024 W1  5  2.3882 277.319570  -2.060301
58569.37891 12.228  0.030 W1  5  2.3959 277.319616  -2.060335
57109.79038 12.220  0.024 W1  5  2.3997 277.319632  -2.060349
57841.51297 12.212  0.025 W1  5  2.4100 277.319635  -2.060348
56748.47342 12.234  0.027 W1  5  2.4140 277.319657  -2.060369
57289.55157 12.311  0.028 W1  5  2.4490 277.319661  -2.060358
56927.47440 12.062  0.027 W1 10  2.4532 277.319677  -2.060374
56747.88092 12.095  0.027 W1  5  2.4539 277.319645  -2.060341
58569.24801 12.177  0.024 W1  0  2.4598 277.319639  -2.060333
58205.75708 12.173  0.025 W1  5  2.4654 277.319553  -2.060262
58009.03018 12.188  0.025 W1  5  2.4754 277.319662  -2.060349
58572.32335 12.248  0.028 W1  5  2.4831 277.319690  -2.060377
57286.07511 12.178  0.027 W1  5  2.4889 277.319692  -2.060376
