# MJD mag magerr filter distance ra dec
55264.91521 11.145  0.024 W1  0.1447  85.369913  -7.897518
55264.91521  9.518  0.028 W2  0.1447  85.369913  -7.897518
55264.91521  1.627  0.037 W1mW2  0.1447  85.369913  -7.897518
55265.36885 11.096  0.049 W1  0.1585  85.369918  -7.897519
55265.36885  9.495  0.038 W2  0.1585  85.369918  -7.897519
55265.36885  1.602  0.062 W1mW2  0.1585  85.369918  -7.897519
56724.73510 10.835  0.016 W1  0.1148  85.369904  -7.897522
56724.73510  9.364  0.014 W2  0.1148  85.369904  -7.897522
56724.73510  1.471  0.021 W1mW2  0.1148  85.369904  -7.897522
56729.76155 10.827  0.040 W1  0.2184  85.369931  -7.897526
56729.76155  9.365  0.033 W2  0.2184  85.369931  -7.897526
56729.76155  1.462  0.052 W1mW2  0.2184  85.369931  -7.897526
56730.27740 10.806  0.030 W1  0.1822  85.369920  -7.897527
56730.27740  9.338  0.036 W2  0.1822  85.369920  -7.897527
56730.27740  1.469  0.046 W1mW2  0.1822  85.369920  -7.897527
56920.93217 10.909  0.016 W1  0.2918  85.369962  -7.897506
56920.93217  9.449  0.015 W2  0.2918  85.369962  -7.897506
56920.93217  1.460  0.022 W1mW2  0.2918  85.369962  -7.897506
56921.49118 10.888  0.025 W1  0.2208  85.369940  -7.897489
56921.49118  9.460  0.027 W2  0.2208  85.369940  -7.897489
56921.49118  1.428  0.037 W1mW2  0.2208  85.369940  -7.897489
56922.05019 10.901  0.016 W1  0.2411  85.369948  -7.897499
56922.05019  9.446  0.016 W2  0.2411  85.369948  -7.897499
56922.05019  1.455  0.023 W1mW2  0.2411  85.369948  -7.897499
57088.74281 10.760  0.038 W1  0.1624  85.369919  -7.897522
57088.74281  9.319  0.032 W2  0.1624  85.369919  -7.897522
57088.74281  1.441  0.049 W1mW2  0.1624  85.369919  -7.897522
57089.26819 10.766  0.042 W1  0.1851  85.369922  -7.897525
57089.26819  9.341  0.020 W2  0.1851  85.369922  -7.897525
57089.26819  1.425  0.047 W1mW2  0.1851  85.369922  -7.897525
57282.89560 10.863  0.017 W1  0.3003  85.369964  -7.897498
57282.89560  9.467  0.014 W2  0.3003  85.369964  -7.897498
57282.89560  1.396  0.022 W1mW2  0.3003  85.369964  -7.897498
57283.39852 10.860  0.040 W1  0.2200  85.369940  -7.897493
57283.39852  9.457  0.036 W2  0.2200  85.369940  -7.897493
57283.39852  1.403  0.053 W1mW2  0.2200  85.369940  -7.897493
57447.76491 10.845  0.027 W1  0.2067  85.369932  -7.897520
57447.76491  9.444  0.019 W2  0.2067  85.369932  -7.897520
57447.76491  1.401  0.033 W1mW2  0.2067  85.369932  -7.897520
57448.38759 10.866  0.026 W1  0.2010  85.369929  -7.897521
57448.38759  9.446  0.031 W2  0.2010  85.369929  -7.897521
57448.38759  1.420  0.040 W1mW2  0.2010  85.369929  -7.897521
57647.52939 10.803  0.029 W1  0.2288  85.369942  -7.897500
57647.52939  9.391  0.028 W2  0.2288  85.369942  -7.897500
57647.52939  1.411  0.040 W1mW2  0.2288  85.369942  -7.897500
57648.04251 10.808  0.019 W1  0.2026  85.369937  -7.897501
57648.04251  9.406  0.015 W2  0.2026  85.369937  -7.897501
57648.04251  1.402  0.024 W1mW2  0.2026  85.369937  -7.897501
57654.39695 10.771  0.019 W1  0.1427  85.369891  -7.897538
57654.39695  9.276  0.017 W2  0.1427  85.369891  -7.897538
57654.39695  1.495  0.025 W1mW2  0.1427  85.369891  -7.897538
57811.87913 10.623  0.017 W1  0.2402  85.369943  -7.897525
57811.87913  9.213  0.015 W2  0.2402  85.369943  -7.897525
57811.87913  1.410  0.023 W1mW2  0.2402  85.369943  -7.897525
57812.44837 10.681  0.037 W1  0.1944  85.369927  -7.897524
57812.44837  9.248  0.032 W2  0.1944  85.369927  -7.897524
57812.44837  1.433  0.049 W1mW2  0.1944  85.369927  -7.897524
57818.49335 10.575  0.017 W1  0.2889  85.369943  -7.897551
57818.49335  9.200  0.014 W2  0.2889  85.369943  -7.897551
57818.49335  1.375  0.022 W1mW2  0.2889  85.369943  -7.897551
58014.49854 10.684  0.030 W1  0.2221  85.369940  -7.897487
58014.49854  9.285  0.034 W2  0.2221  85.369940  -7.897487
58014.49854  1.398  0.045 W1mW2  0.2221  85.369940  -7.897487
58015.06592 10.670  0.049 W1  0.1882  85.369930  -7.897488
58015.06592  9.286  0.036 W2  0.1882  85.369930  -7.897488
58015.06592  1.385  0.061 W1mW2  0.1882  85.369930  -7.897488
58168.94094 10.638  0.022 W1  0.1785  85.369927  -7.897517
58168.94094  9.219  0.016 W2  0.1785  85.369927  -7.897517
58168.94094  1.419  0.027 W1mW2  0.1785  85.369927  -7.897517
58169.49725 10.641  0.033 W1  0.1893  85.369918  -7.897529
58169.49725  9.286  0.021 W2  0.1893  85.369918  -7.897529
58169.49725  1.355  0.039 W1mW2  0.1893  85.369918  -7.897529
58170.05363 10.691  0.016 W1  0.1380  85.369914  -7.897518
58170.05363  9.315  0.014 W2  0.1380  85.369914  -7.897518
58170.05363  1.376  0.021 W1mW2  0.1380  85.369914  -7.897518
58174.11116 10.643  0.019 W1  0.2733  85.369942  -7.897544
58174.11116  9.327  0.016 W2  0.2733  85.369942  -7.897544
58174.11116  1.316  0.025 W1mW2  0.2733  85.369942  -7.897544
58378.68093 10.687  0.026 W1  0.2130  85.369938  -7.897496
58378.68093  9.280  0.030 W2  0.2130  85.369938  -7.897496
58378.68093  1.407  0.040 W1mW2  0.2130  85.369938  -7.897496
58379.17828 10.729  0.024 W1  0.2159  85.369939  -7.897491
58379.17828  9.336  0.021 W2  0.2159  85.369939  -7.897491
