# MJD mag magerr filter distance ra dec
55263.81926 10.905  0.197 W1  2.5209  83.839586  -5.161330
55263.81926 10.129  0.091 W2  2.5209  83.839586  -5.161330
55263.81926  0.776  0.217 W1mW2  2.5209  83.839586  -5.161330
57087.95535 10.706  0.021 W1  1.7003  83.839511  -5.161697
57087.95535 10.050  0.061 W2  1.7003  83.839511  -5.161697
57087.95535  0.656  0.065 W1mW2  1.7003  83.839511  -5.161697
58168.05798 10.957  0.108 W1  2.6440  83.839650  -5.162049
58168.05798  9.805  0.078 W2  2.6440  83.839650  -5.162049
58168.05798  1.152  0.133 W1mW2  2.6440  83.839650  -5.162049
58534.73568 11.245  0.060 W1  2.4155  83.839607  -5.161387
58534.73568  9.926  0.048 W2  2.4155  83.839607  -5.161387
58534.73568  1.319  0.077 W1mW2  2.4155  83.839607  -5.161387
59109.18885 10.493  0.017 W1  2.2646  83.839561  -5.161395
59109.18885  9.822  0.038 W2  2.2646  83.839561  -5.161395
59109.18885  0.671  0.042 W1mW2  2.2646  83.839561  -5.161395
