# MJD mag magerr filter distance ra dec
55263.74678  8.814  0.219 W1  0.6141  83.860352  -5.298923
55263.74678  8.641  0.070 W2  0.6141  83.860352  -5.298923
55263.74678  0.173  0.230 W1mW2  0.6141  83.860352  -5.298923
56728.55473  8.979  0.050 W1  0.7658  83.860409  -5.298918
56728.55473  8.802  0.098 W2  0.7658  83.860409  -5.298918
56728.55473  0.177  0.110 W1mW2  0.7658  83.860409  -5.298918
57282.43604  8.803  0.046 W1  0.7413  83.860418  -5.298940
57282.43604  8.644  0.116 W2  0.7413  83.860418  -5.298940
57282.43604  0.159  0.125 W1mW2  0.7413  83.860418  -5.298940
57818.42828  8.672  0.036 W1  0.7669  83.860389  -5.298898
57818.42828  8.996  0.042 W2  0.7669  83.860389  -5.298898
57818.42828 -0.324  0.055 W1mW2  0.7669  83.860389  -5.298898
58168.22097  8.870  0.038 W1  0.9013  83.860427  -5.298882
58168.22097  8.912  0.108 W2  0.9013  83.860427  -5.298882
58168.22097 -0.042  0.114 W1mW2  0.9013  83.860427  -5.298882
58377.73809  8.699  0.036 W1  0.7402  83.860377  -5.298898
58377.73809  9.398  0.162 W2  0.7402  83.860377  -5.298898
58377.73809 -0.699  0.166 W1mW2  0.7402  83.860377  -5.298898
58741.56075  9.037  0.084 W1  0.8117  83.860390  -5.298884
58741.56075  8.891  0.082 W2  0.8117  83.860390  -5.298884
58741.56075  0.146  0.117 W1mW2  0.8117  83.860390  -5.298884
59108.46914  9.156  0.043 W1  0.8152  83.860373  -5.298870
59108.46914  9.030  0.021 W2  0.8152  83.860373  -5.298870
59108.46914  0.126  0.048 W1mW2  0.8152  83.860373  -5.298870
