# MJD mag magerr filter distance ra dec
55282.74786 12.127  0.064 W1  2.1054 277.172291  -4.093604
55282.74786 11.653  0.053 W2  2.1054 277.172291  -4.093604
55282.74786  0.474  0.083 W1mW2  2.1054 277.172291  -4.093604
55283.33382 12.135  0.159 W1  2.1233 277.172281  -4.093592
55283.33382 11.669  0.118 W2  2.1233 277.172281  -4.093592
55283.33382  0.465  0.198 W1mW2  2.1233 277.172281  -4.093592
56747.65747 12.087  0.079 W1  2.1715 277.172287  -4.093616
56747.65747 11.714  0.049 W2  2.1715 277.172287  -4.093616
56747.65747  0.374  0.093 W1mW2  2.1715 277.172287  -4.093616
56748.21047 12.284  0.041 W1  2.0239 277.172631  -4.093607
56748.21047 11.859  0.034 W2  2.0239 277.172631  -4.093607
56748.21047  0.425  0.053 W1mW2  2.0239 277.172631  -4.093607
56926.88203 12.190  0.034 W1  2.0762 277.172731  -4.093589
56926.88203 11.035  0.026 W2  2.0762 277.172731  -4.093589
56926.88203  1.155  0.043 W1mW2  2.0762 277.172731  -4.093589
56927.58362 12.111  0.122 W1  2.2237 277.172267  -4.093622
56927.58362 11.694  0.047 W2  2.2237 277.172267  -4.093622
56927.58362  0.418  0.131 W1mW2  2.2237 277.172267  -4.093622
56932.14349 12.491  0.034 W1  1.6422 277.172689  -4.093475
56932.14349 12.073  0.053 W2  1.6422 277.172689  -4.093475
56932.14349  0.418  0.063 W1mW2  1.6422 277.172689  -4.093475
57109.68134 12.146  0.111 W1  1.9686 277.172391  -4.093586
57109.68134 11.733  0.109 W2  1.9686 277.172391  -4.093586
57109.68134  0.413  0.156 W1mW2  1.9686 277.172391  -4.093586
57285.94357 12.052  0.027 W1  2.4620 277.172190  -4.093670
57285.94357 11.705  0.033 W2  2.4620 277.172190  -4.093670
57285.94357  0.347  0.043 W1mW2  2.4620 277.172190  -4.093670
57289.28887 12.211  0.120 W1  2.1870 277.172427  -4.093648
57289.28887 11.778  0.107 W2  2.1870 277.172427  -4.093648
57289.28887  0.433  0.161 W1mW2  2.1870 277.172427  -4.093648
57473.72116 12.140  0.162 W1  2.3418 277.172366  -4.093644
57473.72116 11.759  0.159 W2  2.3418 277.172366  -4.093644
57473.72116  0.381  0.227 W1mW2  2.3418 277.172366  -4.093644
57474.08161 12.059  0.109 W1  2.2500 277.172219  -4.093616
57474.08161 11.712  0.115 W2  2.2500 277.172219  -4.093616
57474.08161  0.347  0.158 W1mW2  2.2500 277.172219  -4.093616
57647.74556 12.308  0.078 W1  1.8060 277.172603  -4.093535
57647.74556 11.906  0.126 W2  1.8060 277.172603  -4.093535
57647.74556  0.402  0.148 W1mW2  1.8060 277.172603  -4.093535
57648.23690 12.243  0.183 W1  1.9447 277.172434  -4.093571
57648.23690 11.791  0.106 W2  1.9447 277.172434  -4.093571
57648.23690  0.451  0.212 W1mW2  1.9447 277.172434  -4.093571
57840.85845 12.279  0.119 W1  1.8464 277.172546  -4.093561
57840.85845 11.833  0.102 W2  1.8464 277.172546  -4.093561
57840.85845  0.446  0.157 W1mW2  1.8464 277.172546  -4.093561
57841.27323 12.029  0.091 W1  2.1093 277.172320  -4.093612
57841.27323 11.735  0.043 W2  2.1093 277.172320  -4.093612
57841.27323  0.295  0.100 W1mW2  2.1093 277.172320  -4.093612
58008.44060 12.095  0.066 W1  2.4486 277.172213  -4.093677
58008.44060 11.796  0.039 W2  2.4486 277.172213  -4.093677
58008.44060  0.299  0.076 W1mW2  2.4486 277.172213  -4.093677
58204.64478 12.302  0.032 W1  2.0068 277.172574  -4.093613
58204.64478 11.888  0.036 W2  2.0068 277.172574  -4.093613
58204.64478  0.414  0.048 W1mW2  2.0068 277.172574  -4.093613
58205.34293 12.169  0.154 W1  2.3582 277.172263  -4.093665
58205.34293 11.793  0.120 W2  2.3582 277.172263  -4.093665
58205.34293  0.376  0.195 W1mW2  2.3582 277.172263  -4.093665
58368.80419 12.439  0.035 W1  2.0549 277.172753  -4.093572
58368.80419 11.852  0.048 W2  2.0549 277.172753  -4.093572
58368.80419  0.587  0.059 W1mW2  2.0549 277.172753  -4.093572
58369.24032 12.123  0.074 W1  2.0817 277.172337  -4.093606
58369.24032 11.710  0.073 W2  2.0817 277.172337  -4.093606
58369.24032  0.413  0.104 W1mW2  2.0817 277.172337  -4.093606
58569.47734 12.229  0.164 W1  2.1085 277.172432  -4.093594
58569.47734 11.886  0.096 W2  2.1085 277.172432  -4.093594
58569.47734  0.344  0.190 W1mW2  2.1085 277.172432  -4.093594
58571.86576 12.056  0.145 W1  2.2472 277.172266  -4.093621
58571.86576 11.827  0.072 W2  2.2472 277.172266  -4.093621
58571.86576  0.229  0.162 W1mW2  2.2472 277.172266  -4.093621
58572.35640 12.300  0.156 W1  2.1376 277.172465  -4.093630
58572.35640 11.888  0.102 W2  2.1376 277.172465  -4.093630
58572.35640  0.412  0.186 W1mW2  2.1376 277.172465  -4.093630
58732.95736 12.270  0.028 W1  2.0949 277.172578  -4.093637
58732.95736 11.964  0.046 W2  2.0949 277.172578  -4.093637
58732.95736  0.306  0.054 W1mW2  2.0949 277.172578  -4.093637
58733.34982 12.409  0.039 W1  2.0740 277.172571  -4.093632
58733.34982 11.947  0.041 W2  2.0740 277.172571  -4.093632
58733.34982  0.462  0.057 W1mW2  2.0740 277.172571  -4.093632
58735.83515 12.165  0.056 W1  2.2121 277.172225  -4.093604
58735.83515 11.891  0.088 W2  2.2121 277.172225  -4.093604
58735.83515  0.274  0.105 W1mW2  2.2121 277.172225  -4.093604
58736.42388 11.957  0.025 W1  2.5874 277.172019  -4.093596
58736.42388 11.964  0.050 W2  2.5874 277.172019  -4.093596
58736.42388 -0.007  0.056 W1mW2  2.5874 277.172019  -4.093596
58936.80208 12.079  0.166 W1  2.2490 277.172345  -4.093644
58936.80208 11.828  0.088 W2  2.2490 277.172345  -4.093644
58936.80208  0.251  0.188 W1mW2  2.2490 277.172345  -4.093644
59100.40430 12.219  0.141 W1  2.0801 277.172417  -4.093613
