# MJD mag magerr filter distance ra dec
58540.27221 10.815  0.017 W1  0.7834 244.618872 -37.660755
58540.27221 10.863  0.024 W2  0.7834 244.618872 -37.660755
58540.27221 -0.048  0.029 W1mW2  0.7834 244.618872 -37.660755
58543.62905 10.765  0.040 W1  0.7670 244.618926 -37.660720
58543.62905 10.838  0.034 W2  0.7670 244.618926 -37.660720
58543.62905 -0.073  0.053 W1mW2  0.7670 244.618926 -37.660720
58544.13260 10.774  0.019 W1  0.7848 244.618960 -37.660701
58544.13260 10.831  0.031 W2  0.7848 244.618960 -37.660701
58544.13260 -0.057  0.036 W1mW2  0.7848 244.618960 -37.660701
58703.71972 10.782  0.027 W1  0.7744 244.618923 -37.660724
58703.71972 10.861  0.058 W2  0.7744 244.618923 -37.660724
58703.71972 -0.078  0.064 W1mW2  0.7744 244.618923 -37.660724
58704.16825 10.778  0.018 W1  0.7716 244.618923 -37.660725
58704.16825 10.868  0.057 W2  0.7716 244.618923 -37.660725
58704.16825 -0.090  0.060 W1mW2  0.7716 244.618923 -37.660725
58706.71895 10.839  0.100 W1  0.8176 244.618944 -37.660704
58706.71895 10.966  0.102 W2  0.8176 244.618944 -37.660704
58706.71895 -0.128  0.143 W1mW2  0.8176 244.618944 -37.660704
58707.25536 10.827  0.060 W1  0.7741 244.618939 -37.660712
58707.25536 10.887  0.043 W2  0.7741 244.618939 -37.660712
58707.25536 -0.060  0.074 W1mW2  0.7741 244.618939 -37.660712
58907.79644 10.781  0.030 W1  0.7272 244.618933 -37.660700
58907.79644 10.807  0.031 W2  0.7272 244.618933 -37.660700
58907.79644 -0.026  0.043 W1mW2  0.7272 244.618933 -37.660700
58908.26082 10.748  0.040 W1  0.7392 244.618926 -37.660711
58908.26082 10.848  0.054 W2  0.7392 244.618926 -37.660711
58908.26082 -0.099  0.068 W1mW2  0.7392 244.618926 -37.660711
59070.80070 10.783  0.021 W1  0.7958 244.618937 -37.660723
59070.80070 10.848  0.030 W2  0.7958 244.618937 -37.660723
59070.80070 -0.065  0.037 W1mW2  0.7958 244.618937 -37.660723
59071.27735 10.790  0.029 W1  0.7573 244.618929 -37.660715
59071.27735 10.853  0.044 W2  0.7573 244.618929 -37.660715
59071.27735 -0.063  0.052 W1mW2  0.7573 244.618929 -37.660715
