# MJD mag magerr filter distance ra dec
55253.39239 12.296  0.038 W1  0.8936 245.674001 -24.427316
55253.39239 11.769  0.065 W2  0.8936 245.674001 -24.427316
55253.39239  0.527  0.075 W1mW2  0.8936 245.674001 -24.427316
56718.02424 11.946  0.055 W1  0.9414 245.673982 -24.427374
56718.02424 11.169  0.041 W2  0.9414 245.673982 -24.427374
56718.02424  0.777  0.069 W1mW2  0.9414 245.673982 -24.427374
56897.42664 12.281  0.046 W1  0.9320 245.673962 -24.427390
56897.42664 11.715  0.084 W2  0.9320 245.673962 -24.427390
56897.42664  0.566  0.096 W1mW2  0.9320 245.673962 -24.427390
57079.94872 12.209  0.048 W1  0.9447 245.673979 -24.427378
57079.94872 11.566  0.056 W2  0.9447 245.673979 -24.427378
57079.94872  0.643  0.073 W1mW2  0.9447 245.673979 -24.427378
57257.51350 12.185  0.033 W1  0.9223 245.673970 -24.427376
57257.51350 11.499  0.202 W2  0.9223 245.673970 -24.427376
57257.51350  0.687  0.205 W1mW2  0.9223 245.673970 -24.427376
57444.88244 12.257  0.073 W1  0.9720 245.673977 -24.427391
57444.88244 11.643  0.294 W2  0.9720 245.673977 -24.427391
57444.88244  0.614  0.302 W1mW2  0.9720 245.673977 -24.427391
57617.65012 12.319  0.039 W1  0.9609 245.673969 -24.427397
57617.65012 11.814  0.049 W2  0.9609 245.673969 -24.427397
57617.65012  0.505  0.063 W1mW2  0.9609 245.673969 -24.427397
57811.31084 12.256  0.037 W1  0.9811 245.673985 -24.427388
57811.31084 11.658  0.058 W2  0.9811 245.673985 -24.427388
57811.31084  0.597  0.069 W1mW2  0.9811 245.673985 -24.427388
57978.10432 12.327  0.095 W1  0.9118 245.673941 -24.427401
57978.10432 11.870  0.213 W2  0.9118 245.673941 -24.427401
57978.10432  0.456  0.233 W1mW2  0.9118 245.673941 -24.427401
58175.50267 12.143  0.031 W1  0.9939 245.673987 -24.427390
58175.50267 11.489  0.056 W2  0.9939 245.673987 -24.427390
58175.50267  0.654  0.064 W1mW2  0.9939 245.673987 -24.427390
58338.55304 12.101  0.050 W1  0.9223 245.673941 -24.427406
58338.55304 11.395  0.054 W2  0.9223 245.673941 -24.427406
58338.55304  0.705  0.073 W1mW2  0.9223 245.673941 -24.427406
58541.15724 12.256  0.057 W1  0.9725 245.673961 -24.427406
58541.15724 11.635  0.089 W2  0.9725 245.673961 -24.427406
58541.15724  0.621  0.105 W1mW2  0.9725 245.673961 -24.427406
58704.12877 12.318  0.042 W1  0.9599 245.673957 -24.427408
58704.12877 11.828  0.159 W2  0.9599 245.673957 -24.427408
58704.12877  0.490  0.164 W1mW2  0.9599 245.673957 -24.427408
58906.78683 12.345  0.061 W1  0.9761 245.673969 -24.427403
58906.78683 11.823  0.051 W2  0.9761 245.673969 -24.427403
58906.78683  0.522  0.079 W1mW2  0.9761 245.673969 -24.427403
59069.87218 12.251  0.044 W1  0.9531 245.673951 -24.427410
59069.87218 11.708  0.070 W2  0.9531 245.673951 -24.427410
59069.87218  0.543  0.083 W1mW2  0.9531 245.673951 -24.427410
