# MJD mag magerr filter distance ra dec
55265.43610 11.678  0.322 W1  1.1718  85.376107  -1.888980
55265.43610  9.936  0.215 W2  1.1718  85.376107  -1.888980
55265.43610  1.742  0.387 W1mW2  1.1718  85.376107  -1.888980
56727.43607 11.494  0.201 W1  1.0784  85.376119  -1.889143
56730.13588 11.350  0.112 W2  1.2626  85.376161  -1.889177
57283.02574 11.800  0.288 W1  1.5404  85.376232  -1.889220
57283.02574 10.929  0.196 W2  1.5404  85.376232  -1.889220
57283.02574  0.871  0.348 W1mW2  1.5404  85.376232  -1.889220
57812.46960 11.597  0.212 W1  1.1523  85.376249  -1.889027
57812.46960 11.424  0.247 W2  1.1523  85.376249  -1.889027
57812.46960  0.173  0.326 W1mW2  1.1523  85.376249  -1.889027
58014.30096 11.829  0.296 W1  1.2568  85.375991  -1.889238
58014.30096 11.530  0.332 W2  1.2568  85.375991  -1.889238
58014.30096  0.299  0.445 W1mW2  1.2568  85.375991  -1.889238
58379.56985 11.403  0.219 W1  1.5789  85.376335  -1.889118
58536.89534 12.020  0.279 W1  0.9390  85.376104  -1.889108
58743.17367 11.712  0.392 W1  1.2958  85.376200  -1.889151
58743.06467 12.106  0.417 W2  1.2379  85.376145  -1.889180
59110.36545 11.996  0.394 W1  1.9156  85.376096  -1.889404
