# MJD mag magerr filter distance ra dec
55283.60698 11.549  0.035 W1  1.8045 277.471286   1.104926
55283.60698 11.056  0.044 W2  1.8045 277.471286   1.104926
55283.60698  0.493  0.056 W1mW2  1.8045 277.471286   1.104926
55284.13623 11.582  0.067 W1  1.8441 277.471308   1.104902
55284.13623 11.062  0.027 W2  1.8441 277.471308   1.104902
55284.13623  0.520  0.072 W1mW2  1.8441 277.471308   1.104902
55292.14151 11.766  0.024 W1  1.8805 277.471309   1.104929
55292.14151 11.254  0.032 W2  1.8805 277.471309   1.104929
55292.14151  0.512  0.040 W1mW2  1.8805 277.471309   1.104929
56747.81457 11.985  0.022 W1  1.8731 277.471312   1.104915
56747.81457 11.512  0.049 W2  1.8731 277.471312   1.104915
56747.81457  0.473  0.053 W1mW2  1.8731 277.471312   1.104915
56748.40708 11.957  0.045 W1  1.8636 277.471313   1.104904
56748.40708 11.497  0.055 W2  1.8636 277.471313   1.104904
56748.40708  0.460  0.072 W1mW2  1.8636 277.471313   1.104904
56927.69415 11.665  0.061 W1  1.8093 277.471295   1.104910
56927.69415 11.110  0.046 W2  1.8093 277.471295   1.104910
56927.69415  0.555  0.077 W1mW2  1.8093 277.471295   1.104910
56928.17206 11.787  0.043 W1  1.8247 277.471300   1.104909
56928.17206 11.215  0.067 W2  1.8247 277.471300   1.104909
56928.17206  0.572  0.080 W1mW2  1.8247 277.471300   1.104909
56932.14438 11.516  0.019 W1  1.7965 277.471293   1.104907
56932.14438 10.901  0.023 W2  1.7965 277.471293   1.104907
56932.14438  0.615  0.030 W1mW2  1.7965 277.471293   1.104907
57109.78981 11.834  0.055 W1  1.8537 277.471308   1.104912
57109.78981 11.368  0.052 W2  1.8537 277.471308   1.104912
57109.78981  0.465  0.076 W1mW2  1.8537 277.471308   1.104912
57110.30688 11.886  0.063 W1  1.8584 277.471309   1.104913
57110.30688 11.405  0.073 W2  1.8584 277.471309   1.104913
57110.30688  0.481  0.097 W1mW2  1.8584 277.471309   1.104913
57286.55670 12.015  0.082 W1  1.8416 277.471302   1.104917
57286.55670 11.349  0.062 W2  1.8416 277.471302   1.104917
57286.55670  0.666  0.103 W1mW2  1.8416 277.471302   1.104917
57289.63415 11.985  0.076 W1  1.8126 277.471306   1.104882
57289.63415 11.454  0.076 W2  1.8126 277.471306   1.104882
57289.63415  0.531  0.107 W1mW2  1.8126 277.471306   1.104882
57290.20808 11.902  0.042 W1  1.7671 277.471289   1.104894
57290.20808 11.444  0.033 W2  1.7671 277.471289   1.104894
57290.20808  0.458  0.053 W1mW2  1.7671 277.471289   1.104894
57473.94956 11.641  0.020 W1  1.9271 277.471329   1.104915
57473.94956 11.082  0.023 W2  1.9271 277.471329   1.104915
57473.94956  0.559  0.030 W1mW2  1.9271 277.471329   1.104915
57474.50368 11.658  0.075 W1  1.8432 277.471305   1.104910
57474.50368 11.135  0.055 W2  1.8432 277.471305   1.104910
57474.50368  0.523  0.093 W1mW2  1.8432 277.471305   1.104910
57475.06377 11.735  0.024 W1  1.9233 277.471334   1.104898
57475.06377 11.339  0.029 W2  1.9233 277.471334   1.104898
57475.06377  0.396  0.038 W1mW2  1.9233 277.471334   1.104898
57478.79924 11.678  0.020 W1  1.8754 277.471317   1.104907
57478.79924 11.218  0.025 W2  1.8754 277.471317   1.104907
57478.79924  0.460  0.032 W1mW2  1.8754 277.471317   1.104907
57648.60632 12.035  0.103 W1  1.7967 277.471297   1.104894
57648.60632 11.508  0.094 W2  1.7967 277.471297   1.104894
57648.60632  0.527  0.139 W1mW2  1.7967 277.471297   1.104894
57649.18773 12.037  0.040 W1  1.8874 277.471331   1.104874
57649.18773 11.454  0.048 W2  1.8874 277.471331   1.104874
57649.18773  0.582  0.062 W1mW2  1.8874 277.471331   1.104874
57841.53417 11.901  0.062 W1  1.8556 277.471309   1.104911
57841.53417 11.475  0.054 W2  1.8556 277.471309   1.104911
57841.53417  0.426  0.082 W1mW2  1.8556 277.471309   1.104911
57842.03621 11.996  0.026 W1  1.8574 277.471311   1.104907
57842.03621 11.430  0.032 W2  1.8574 277.471311   1.104907
57842.03621  0.566  0.041 W1mW2  1.8574 277.471311   1.104907
58008.83434 11.514  0.028 W1  1.7931 277.471299   1.104886
58008.83434 11.004  0.036 W2  1.7931 277.471299   1.104886
58008.83434  0.510  0.046 W1mW2  1.7931 277.471299   1.104886
58009.37133 11.653  0.041 W1  1.8284 277.471305   1.104899
58009.37133 11.150  0.063 W2  1.8284 277.471305   1.104899
58009.37133  0.503  0.075 W1mW2  1.8284 277.471305   1.104899
58205.58193 11.786  0.099 W1  1.8907 277.471322   1.104904
58205.58193 11.191  0.056 W2  1.8907 277.471322   1.104904
58205.58193  0.595  0.113 W1mW2  1.8907 277.471322   1.104904
58206.08370 12.066  0.027 W1  1.8327 277.471306   1.104899
58206.08370 11.427  0.044 W2  1.8327 277.471306   1.104899
58206.08370  0.639  0.052 W1mW2  1.8327 277.471306   1.104899
58369.59691 12.073  0.124 W1  1.8168 277.471305   1.104889
58369.59691 11.525  0.100 W2  1.8168 277.471305   1.104889
58369.59691  0.548  0.159 W1mW2  1.8168 277.471305   1.104889
58370.14649 12.140  0.048 W1  1.8034 277.471299   1.104897
58370.14649 11.536  0.030 W2  1.8034 277.471299   1.104897
58370.14649  0.604  0.056 W1mW2  1.8034 277.471299   1.104897
58569.63996 12.066  0.039 W1  1.8909 277.471324   1.104898
58569.63996 11.617  0.050 W2  1.8909 277.471324   1.104898
58569.63996  0.450  0.063 W1mW2  1.8909 277.471324   1.104898
58572.67158 11.928  0.114 W1  1.8682 277.471319   1.104891
58572.67158 11.430  0.077 W2  1.8682 277.471319   1.104891
58572.67158  0.499  0.137 W1mW2  1.8682 277.471319   1.104891
58573.23861 12.103  0.077 W1  1.9067 277.471325   1.104906
58573.23861 11.574  0.100 W2  1.9067 277.471325   1.104906
58573.23861  0.529  0.126 W1mW2  1.9067 277.471325   1.104906
58733.62875 11.628  0.051 W1  1.8023 277.471298   1.104896
58733.62875 11.181  0.048 W2  1.8023 277.471298   1.104896
58733.62875  0.447  0.070 W1mW2  1.8023 277.471298   1.104896
