# MJD mag magerr filter flag distance ra dec
57845.51382  4.855  0.264 W2 10  2.9565 285.493635 -36.963934
56934.83363  5.090  0.181 W2 10  2.9783 285.495426 -36.964087
55287.91440  1.265  0.108 W1mW2 10  0.6417 285.494517 -36.963781
55287.91440  1.013  0.076 W1mW2 10  2.5858 285.495222 -36.964113
55288.31131  1.130  0.104 W1mW2 10  1.1032 285.494774 -36.963874
55287.98049  1.216  0.109 W1mW2 10  1.3786 285.494889 -36.963903
55287.84819  1.392  0.137 W1mW2 10  1.3928 285.494869 -36.963920
55287.71588  1.087  0.101 W1mW2 10  1.4001 285.494885 -36.963913
55287.58358  1.192  0.110 W1mW2 10  1.4070 285.494865 -36.963927
55288.17901  1.225  0.110 W1mW2 10  1.4528 285.494919 -36.963909
55287.78210  1.171  0.114 W1mW2 10  1.5149 285.494994 -36.963870
55287.31897  1.322  0.112 W1mW2 10  1.5181 285.494892 -36.963950
55288.04671  1.152  0.111 W1mW2 10  1.5267 285.494920 -36.963935
55287.45127  1.080  0.110 W1mW2 10  1.6040 285.494932 -36.963955
55292.47934  1.324  0.108 W1mW2 10  1.7310 285.494992 -36.963961
55287.91440  1.265  0.108 W1mW2 10  0.6417 285.494517 -36.963781
55287.91440  1.013  0.076 W1mW2 10  2.5858 285.495222 -36.964113
56934.76793  0.839  0.234 W1mW2 10  0.6797 285.494630 -36.963794
56935.35979  1.307  0.247 W1mW2 10  1.7552 285.495182 -36.963531
58941.25539  0.875  0.323 W1mW2 10  2.2402 285.493948 -36.963246
57652.32516  1.326  0.226 W1mW2 10  2.7380 285.494126 -36.962941
57845.38279  1.106  0.377 W1mW2 10  2.8183 285.494688 -36.962832
57114.85245  1.072  0.296 W1mW2 10  2.8247 285.495443 -36.963984
57481.75540  2.089  0.313 W1mW2 10  2.8384 285.493614 -36.963449
57652.58722  1.228  0.279 W1mW2 10  2.9394 285.494668 -36.962797
57845.51382  1.190  0.414 W1mW2 10  2.9565 285.493635 -36.963934
56934.83363  1.189  0.238 W1mW2 10  2.9783 285.495426 -36.964087
