# MJD mag magerr filter flag distance ra dec
55264.12170 10.294  0.020 W1 10  0.0273  83.652248  -5.604787
55263.12923 10.317  0.021 W1 10  0.0354  83.652259  -5.604783
55263.98927 10.266  0.019 W1 10  0.0421  83.652243  -5.604770
55263.39384 10.304  0.019 W1 10  0.0518  83.652264  -5.604775
55263.72466 10.282  0.019 W1 10  0.0568  83.652238  -5.604770
55263.46006 10.304  0.022 W1 10  0.0573  83.652265  -5.604775
55263.59236 10.293  0.020 W1 10  0.0599  83.652264  -5.604771
55263.26154 10.303  0.021 W1 10  0.0602  83.652259  -5.604766
55262.99693 10.319  0.020 W1 10  0.0869  83.652270  -5.604766
55263.52615 10.298  0.017 W1 10  0.0960  83.652275  -5.604772
55263.85697 10.308  0.019 W1 10  0.1364  83.652285  -5.604766
55263.65845 10.322  0.025 W1 10  0.1659  83.652273  -5.604740
55264.12158 10.318  0.030 W1 10  0.1831  83.652281  -5.604740
57446.32338 10.320  0.017 W1 10  0.0075  83.652252  -5.604779
58741.36458 10.285  0.017 W1  5  0.0273  83.652246  -5.604774
56919.74779 10.317  0.017 W1 10  0.0301  83.652254  -5.604772
57645.94576 10.276  0.017 W1 10  0.0345  83.652255  -5.604772
57810.17687 10.276  0.016 W1 10  0.0353  83.652253  -5.604771
56728.75236 10.322  0.019 W1 10  0.0364  83.652244  -5.604788
57087.95522 10.309  0.015 W1 10  0.0374  83.652257  -5.604772
58173.98063 10.288  0.016 W1 10  0.0391  83.652243  -5.604772
57645.48722 10.230  0.015 W1 10  0.0441  83.652249  -5.604768
56728.48889 10.329  0.017 W1  0  0.0454  83.652252  -5.604768
58899.09556 10.266  0.016 W1 10  0.0489  83.652254  -5.604767
58013.45059 10.302  0.016 W1 10  0.0508  83.652261  -5.604771
57446.65102 10.322  0.018 W1  5  0.0541  83.652254  -5.604766
57087.23283 10.286  0.016 W1 10  0.0589  83.652256  -5.604765
58898.44206 10.287  0.020 W1 10  0.0590  83.652266  -5.604782
57281.64883 10.303  0.018 W1 10  0.0592  83.652266  -5.604777
56728.35723 10.318  0.018 W1  0  0.0598  83.652255  -5.604764
58167.82876 10.313  0.016 W1 10  0.0605  83.652265  -5.604772
57446.19222 10.270  0.018 W1  5  0.0610  83.652267  -5.604777
56728.02793 10.292  0.017 W1  5  0.0615  83.652260  -5.604766
56728.42306 10.323  0.015 W1  0  0.0625  83.652257  -5.604764
58167.89422 10.327  0.015 W1 10  0.0626  83.652242  -5.604765
58012.92685 10.312  0.015 W1 10  0.0628  83.652267  -5.604775
56724.53798 10.302  0.017 W1 10  0.0630  83.652250  -5.604762
58741.75704 10.265  0.017 W1 10  0.0631  83.652259  -5.604795
58534.60465 10.348  0.020 W1 10  0.0636  83.652254  -5.604763
57281.58325 10.269  0.017 W1 10  0.0666  83.652268  -5.604783
57811.15916 10.315  0.015 W1 10  0.0704  83.652263  -5.604766
57810.56984 10.277  0.016 W1 10  0.0715  83.652252  -5.604760
57446.58557 10.267  0.016 W1 10  0.0720  83.652263  -5.604795
57087.29854 10.327  0.021 W1  5  0.0727  83.652270  -5.604780
58377.47641 10.299  0.018 W1 10  0.0747  83.652252  -5.604759
58741.29913 10.303  0.016 W1 10  0.0765  83.652246  -5.604759
58740.90668 10.295  0.016 W1 10  0.0768  83.652259  -5.604761
57446.38883 10.323  0.019 W1 10  0.0771  83.652271  -5.604781
58168.35238 10.292  0.015 W1 10  0.0775  83.652248  -5.604759
57810.76632 10.270  0.018 W1 10  0.0776  83.652254  -5.604759
58167.63241 10.328  0.016 W1 10  0.0780  83.652263  -5.604763
58377.60731 10.307  0.017 W1 10  0.0792  83.652267  -5.604766
56919.35317 10.321  0.014 W1 10  0.0793  83.652272  -5.604776
58167.95967 10.300  0.019 W1 10  0.0794  83.652247  -5.604758
58898.83439 10.262  0.019 W1 10  0.0800  83.652239  -5.604761
58167.37060 10.310  0.017 W1 10  0.0817  83.652272  -5.604773
59108.53497 10.296  0.017 W1  5  0.0825  83.652273  -5.604776
58534.86646 10.284  0.020 W1 10  0.0826  83.652265  -5.604763
58377.08383 10.306  0.016 W1 10  0.0829  83.652261  -5.604760
58899.55334 10.256  0.016 W1 10  0.0833  83.652232  -5.604766
59108.07719 10.255  0.017 W1 10  0.0850  83.652241  -5.604758
57281.32094 10.324  0.015 W1 10  0.0853  83.652250  -5.604756
58898.57233 10.239  0.017 W1 10  0.0862  83.652263  -5.604760
58012.33766 10.302  0.015 W1 10  0.0875  83.652274  -5.604776
57811.29019 10.317  0.017 W1 10  0.0877  83.652243  -5.604757
57446.51999 10.346  0.016 W1 10  0.0881  83.652264  -5.604760
57087.49553 10.305  0.016 W1 10  0.0882  83.652244  -5.604756
57087.10142 10.324  0.017 W1  5  0.0884  83.652259  -5.604757
