# MJD mag magerr filter distance ra dec
55283.43071 14.926  0.673 W2  1.9129 277.235994   0.502256
56747.88054 14.696  0.384 W2  2.2254 277.235896   0.501605
56927.86940 14.210  0.270 W2  0.6344 277.235894   0.502384
57109.95401 15.026  0.415 W2  2.1023 277.235505   0.502295
57289.65044 14.796  0.419 W2  2.0425 277.236185   0.502612
57475.87207 14.821  0.648 W2  1.5211 277.236040   0.502132
57648.53245 14.951  0.387 W2  1.7037 277.235828   0.502578
57840.95586 14.730  0.448 W2  1.3959 277.236193   0.502297
58009.29301 14.836  0.400 W2  2.9159 277.236411   0.502785
58369.78660 14.581  0.288 W2  1.3158 277.235832   0.501854
58572.73720 14.981  0.490 W2  2.3743 277.236333   0.502270
58733.35071 13.962  0.240 W2  2.8677 277.236340   0.501608
58936.89935 14.595  0.356 W2  0.8614 277.235922   0.502050
