# MJD mag magerr filter flag distance ra dec
55232.90941 14.558  0.070 W1 10  0.5691 337.773264  75.227097
55232.04925 14.723  0.082 W1 10  0.6446 337.773079  75.227107
55232.38007 14.544  0.071 W1 10  0.6458 337.773163  75.227114
55232.97563 14.715  0.086 W1 10  0.7182 337.773732  75.227111
55231.91681 14.524  0.071 W1 10  0.7255 337.773138  75.227136
55233.57106 14.633  0.073 W1 10  0.7358 337.773145  75.227139
55232.64468 14.537  0.072 W1 10  0.7971 337.773092  75.227153
55232.57859 14.535  0.080 W1 10  0.8731 337.772849  75.227149
55233.04172 14.648  0.074 W1 10  0.8890 337.772962  75.227168
55231.65221 14.708  0.087 W1 10  0.9076 337.773212  75.227190
55232.71089 14.603  0.076 W1 10  0.9209 337.773560  75.227189
55232.97550 14.686  0.082 W1 10  0.9268 337.773087  75.227190
55232.24777 14.621  0.076 W1 10  0.9619 337.773141  75.227203
55233.30645 14.566  0.070 W1 10  1.0019 337.773319  75.227218
55231.85073 14.611  0.073 W1 10  1.0057 337.772861  75.227193
55232.11533 14.470  0.075 W1 10  1.0071 337.773001  75.227207
55232.31385 14.607  0.078 W1 10  1.0262 337.773126  75.227220
55232.77711 14.554  0.070 W1 10  1.0554 337.772969  75.227218
55231.78451 14.521  0.070 W1 10  1.0576 337.772883  75.227211
55231.98303 14.550  0.072 W1 10  1.0639 337.773185  75.227233
55232.18155 14.590  0.074 W1 10  1.1819 337.773016  75.227258
57248.96393 14.583  0.067 W1 10  0.0335 337.773358  75.226946
59076.47439 14.717  0.090 W1  5  0.0493 337.773288  75.226949
56884.60543 14.736  0.081 W1 10  0.0656 337.773315  75.226958
57417.69529 14.426  0.066 W1 10  0.0688 337.773399  75.226933
56697.02486 14.764  0.098 W1 10  0.0749 337.773276  75.226956
57250.40718 14.486  0.070 W1 10  0.0808 337.773370  75.226960
57613.36910 14.554  0.072 W1 10  0.0893 337.773334  75.226965
58138.78523 14.590  0.076 W1 10  0.0913 337.773233  75.226934
58867.45689 14.747  0.084 W1  0  0.0921 337.773258  75.226958
58867.78389 14.587  0.076 W1  5  0.0993 337.773437  75.226943
57249.16080 14.528  0.071 W1 10  0.1019 337.773391  75.226964
57056.05169 14.514  0.067 W1 10  0.1092 337.773434  75.226955
56697.81537 14.561  0.066 W1 10  0.1148 337.773297  75.226971
56696.69556 14.837  0.088 W1 10  0.1170 337.773221  75.226957
56696.89319 14.548  0.066 W1 10  0.1178 337.773292  75.226971
56697.09082 14.675  0.073 W1 10  0.1199 337.773404  75.226967
58137.54113 14.449  0.071 W1 10  0.1228 337.773325  75.226906
58504.98338 14.775  0.079 W1 10  0.1251 337.773297  75.226974
56696.30031 14.778  0.076 W1 10  0.1305 337.773211  75.226920
56697.09069 14.656  0.109 W1 10  0.1316 337.773446  75.226918
