# MJD mag magerr filter flag distance ra dec
55263.59249 13.196    NaN W1 10  1.6394  83.844960  -5.142600
57282.17359 12.848  0.384 W1 10  0.3808  83.844642  -5.142750
56724.60394 13.147  0.183 W1  5  0.3977  83.844452  -5.142713
57645.48722 12.744    NaN W1 10  0.5489  83.844460  -5.142650
58377.14915 12.399    NaN W1 10  0.6149  83.844600  -5.142620
57281.58325 12.879  0.438 W1 10  1.4792  83.844920  -5.142940
59108.60030 12.851  0.047 W1 10  1.5247  83.844892  -5.142542
58012.92685 13.625  0.153 W1 10  1.7876  83.844117  -5.143042
57087.49553 12.884  0.392 W1 10  2.6408  83.845170  -5.142400
55263.59249 11.803    NaN W2 10  1.6394  83.844960  -5.142600
57282.17359 11.291    NaN W2 10  0.3808  83.844642  -5.142750
56724.60394 13.064  0.148 W2  5  0.3977  83.844452  -5.142713
57645.48722 12.537  0.236 W2 10  0.5489  83.844460  -5.142650
58377.14915 11.436    NaN W2 10  0.6149  83.844600  -5.142620
57281.58325 11.773    NaN W2 10  1.4792  83.844920  -5.142940
59108.60030 11.872    NaN W2 10  1.5247  83.844892  -5.142542
58012.92685 13.000    NaN W2 10  1.7876  83.844117  -5.143042
57087.49553 13.074    NaN W2 10  2.6408  83.845170  -5.142400
55263.59249  1.393    NaN W1mW2 10  1.6394  83.844960  -5.142600
57282.17359  1.557    NaN W1mW2 10  0.3808  83.844642  -5.142750
56724.60394  0.083  0.235 W1mW2  5  0.3977  83.844452  -5.142713
57645.48722  0.207    NaN W1mW2 10  0.5489  83.844460  -5.142650
58377.14915  0.963    NaN W1mW2 10  0.6149  83.844600  -5.142620
57281.58325  1.106    NaN W1mW2 10  1.4792  83.844920  -5.142940
59108.60030  0.979    NaN W1mW2 10  1.5247  83.844892  -5.142542
58012.92685  0.625    NaN W1mW2 10  1.7876  83.844117  -5.143042
57087.49553 -0.190    NaN W1mW2 10  2.6408  83.845170  -5.142400
