# MJD mag magerr filter distance ra dec
55255.34114 10.688  0.065 W1  0.7700 244.618948 -37.660703
55255.34114 10.714  0.039 W2  0.7700 244.618948 -37.660703
55255.34114 -0.027  0.076 W1mW2  0.7700 244.618948 -37.660703
56719.28537 10.740  0.055 W1  0.7783 244.618936 -37.660717
56719.28537 10.790  0.035 W2  0.7783 244.618936 -37.660717
56719.28537 -0.049  0.065 W1mW2  0.7783 244.618936 -37.660717
56898.61837 10.748  0.033 W1  0.8008 244.618939 -37.660723
56898.61837 10.832  0.042 W2  0.8008 244.618939 -37.660723
56898.61837 -0.084  0.053 W1mW2  0.8008 244.618939 -37.660723
57081.22087 10.750  0.030 W1  0.7798 244.618926 -37.660724
57081.22087 10.820  0.032 W2  0.7798 244.618926 -37.660724
57081.22087 -0.070  0.044 W1mW2  0.7798 244.618926 -37.660724
57258.61094 10.779  0.059 W1  0.8167 244.618956 -37.660713
57258.61094 10.867  0.079 W2  0.8167 244.618956 -37.660713
57258.61094 -0.088  0.099 W1mW2  0.8167 244.618956 -37.660713
57445.74417 10.741  0.038 W1  0.7693 244.618920 -37.660724
57445.74417 10.806  0.034 W2  0.7693 244.618920 -37.660724
57445.74417 -0.065  0.051 W1mW2  0.7693 244.618920 -37.660724
57618.99763 10.783  0.027 W1  0.7980 244.618939 -37.660719
57618.99763 10.839  0.036 W2  0.7980 244.618939 -37.660719
57618.99763 -0.056  0.045 W1mW2  0.7980 244.618939 -37.660719
57812.53005 10.771  0.059 W1  0.8063 244.618940 -37.660725
57812.53005 10.810  0.039 W2  0.8063 244.618940 -37.660725
57812.53005 -0.039  0.070 W1mW2  0.8063 244.618940 -37.660725
57979.44933 10.784  0.028 W1  0.8005 244.618934 -37.660727
57979.44933 10.834  0.054 W2  0.8005 244.618934 -37.660727
57979.44933 -0.051  0.061 W1mW2  0.8005 244.618934 -37.660727
58176.72290 10.787  0.031 W1  0.7167 244.618916 -37.660709
58176.72290 10.829  0.039 W2  0.7167 244.618916 -37.660709
58176.72290 -0.041  0.049 W1mW2  0.7167 244.618916 -37.660709
58339.83638 10.789  0.037 W1  0.7659 244.618927 -37.660719
58339.83638 10.845  0.050 W2  0.7659 244.618927 -37.660719
58339.83638 -0.056  0.062 W1mW2  0.7659 244.618927 -37.660719
58543.44830 10.770  0.038 W1  0.7710 244.618927 -37.660720
58543.44830 10.839  0.033 W2  0.7710 244.618927 -37.660720
58543.44830 -0.069  0.051 W1mW2  0.7710 244.618927 -37.660720
58705.54825 10.810  0.066 W1  0.7870 244.618933 -37.660715
58705.54825 10.900  0.081 W2  0.7870 244.618933 -37.660715
58705.54825 -0.090  0.105 W1mW2  0.7870 244.618933 -37.660715
58908.04974 10.763  0.038 W1  0.7338 244.618929 -37.660706
58908.04974 10.829  0.049 W2  0.7338 244.618929 -37.660706
58908.04974 -0.066  0.062 W1mW2  0.7338 244.618929 -37.660706
59071.10712 10.788  0.026 W1  0.7711 244.618932 -37.660718
59071.10712 10.851  0.039 W2  0.7711 244.618932 -37.660718
59071.10712 -0.063  0.047 W1mW2  0.7711 244.618932 -37.660718
