# MJD mag magerr filter distance ra dec
55283.80617 12.832  0.081 W1  1.3386 278.038246  -2.334347
55283.80617 13.212  0.214 W2  1.3386 278.038246  -2.334347
55283.80617 -0.380  0.228 W1mW2  1.3386 278.038246  -2.334347
55284.31886 12.912  0.079 W1  1.5252 278.038273  -2.334399
55284.31886 12.990  0.317 W2  1.5252 278.038273  -2.334399
55284.31886 -0.078  0.327 W1mW2  1.5252 278.038273  -2.334399
55292.14215 12.962  0.081 W1  1.5445 278.038316  -2.334336
55292.14215 13.071  0.176 W2  1.5445 278.038316  -2.334336
55292.14215 -0.109  0.194 W1mW2  1.5445 278.038316  -2.334336
56748.61344 12.916  0.139 W1  1.4727 278.038262  -2.334389
56748.61344 13.103  0.226 W2  1.4727 278.038262  -2.334389
56748.61344 -0.187  0.265 W1mW2  1.4727 278.038262  -2.334389
56749.06605 12.929  0.182 W1  1.3841 278.038259  -2.334350
56749.06605 13.082  0.100 W2  1.3841 278.038259  -2.334350
56749.06605 -0.153  0.208 W1mW2  1.3841 278.038259  -2.334350
56927.86883 12.803  0.083 W1  1.3479 278.038267  -2.334309
56927.86883 13.207  0.131 W2  1.3479 278.038267  -2.334309
56927.86883 -0.405  0.155 W1mW2  1.3479 278.038267  -2.334309
56928.38406 12.883  0.140 W1  1.4797 278.038245  -2.334419
56928.38406 13.135  0.213 W2  1.4797 278.038245  -2.334419
56928.38406 -0.252  0.255 W1mW2  1.4797 278.038245  -2.334419
56932.20958 12.989  0.062 W1  1.6451 278.038330  -2.334372
56932.20958 13.016  0.105 W2  1.6451 278.038330  -2.334372
56932.20958 -0.027  0.122 W1mW2  1.6451 278.038330  -2.334372
57110.54084 12.950  0.131 W1  1.5256 278.038282  -2.334385
57110.54084 13.123  0.151 W2  1.5256 278.038282  -2.334385
57110.54084 -0.173  0.200 W1mW2  1.5256 278.038282  -2.334385
57111.10362 12.835  0.084 W1  1.7029 278.038307  -2.334436
57111.10362 12.990  0.116 W2  1.7029 278.038307  -2.334436
57111.10362 -0.154  0.143 W1mW2  1.7029 278.038307  -2.334436
57286.73103 12.814  0.072 W1  1.4895 278.038254  -2.334414
57286.73103 13.023  0.111 W2  1.4895 278.038254  -2.334414
57286.73103 -0.209  0.132 W1mW2  1.4895 278.038254  -2.334414
57290.35500 12.919  0.197 W1  1.4390 278.038252  -2.334389
57290.35500 13.284  0.410 W2  1.4390 278.038252  -2.334389
57290.35500 -0.365  0.454 W1mW2  1.4390 278.038252  -2.334389
57474.73011 13.098  0.338 W1  1.4769 278.038252  -2.334407
57474.73011 13.057  0.211 W2  1.4769 278.038252  -2.334407
57474.73011  0.041  0.398 W1mW2  1.4769 278.038252  -2.334407
57475.26095 13.054  0.104 W1  1.5610 278.038272  -2.334413
57475.26095 13.247  0.254 W2  1.5610 278.038272  -2.334413
57475.26095 -0.193  0.275 W1mW2  1.5610 278.038272  -2.334413
57648.81588 13.065  0.185 W1  1.2782 278.038237  -2.334330
57648.81588 13.221  0.284 W2  1.2782 278.038237  -2.334330
57648.81588 -0.156  0.339 W1mW2  1.2782 278.038237  -2.334330
57649.32903 12.895  0.171 W1  1.4267 278.038253  -2.334382
57649.32903 13.069  0.175 W2  1.4267 278.038253  -2.334382
57649.32903 -0.174  0.244 W1mW2  1.4267 278.038253  -2.334382
57841.66033 12.885  0.106 W1  1.4601 278.038256  -2.334396
57841.66033 13.189  0.188 W2  1.4601 278.038256  -2.334396
57841.66033 -0.304  0.216 W1mW2  1.4601 278.038256  -2.334396
57842.21142 12.912  0.167 W1  1.4914 278.038239  -2.334425
57842.21142 13.255  0.203 W2  1.4914 278.038239  -2.334425
57842.21142 -0.342  0.263 W1mW2  1.4914 278.038239  -2.334425
58009.55396 12.934  0.133 W1  1.4907 278.038274  -2.334383
58009.55396 13.158  0.249 W2  1.4907 278.038274  -2.334383
58009.55396 -0.224  0.283 W1mW2  1.4907 278.038274  -2.334383
58205.77889 12.931  0.160 W1  1.4296 278.038251  -2.334385
58205.77889 13.277  0.264 W2  1.4296 278.038251  -2.334385
58205.77889 -0.345  0.309 W1mW2  1.4296 278.038251  -2.334385
58206.29937 12.977  0.164 W1  1.3837 278.038223  -2.334391
58206.29937 13.169  0.299 W2  1.3837 278.038223  -2.334391
58206.29937 -0.192  0.341 W1mW2  1.3837 278.038223  -2.334391
58369.85154 12.994  0.133 W1  1.3187 278.038227  -2.334370
58369.85154 13.121  0.155 W2  1.3187 278.038227  -2.334370
58369.85154 -0.127  0.205 W1mW2  1.3187 278.038227  -2.334370
58370.25213 12.969  0.143 W1  1.4563 278.038260  -2.334388
58370.25213 13.103  0.204 W2  1.4563 278.038260  -2.334388
58370.25213 -0.134  0.249 W1mW2  1.4563 278.038260  -2.334388
58569.83688 13.018  0.085 W1  1.3598 278.038228  -2.334388
58569.83688 13.181  0.166 W2  1.3598 278.038228  -2.334388
58569.83688 -0.163  0.187 W1mW2  1.3598 278.038228  -2.334388
58572.84671 12.974  0.116 W1  1.4962 278.038246  -2.334427
58572.84671 13.114  0.161 W2  1.4962 278.038246  -2.334427
58572.84671 -0.140  0.198 W1mW2  1.4962 278.038246  -2.334427
58573.31557 12.825  0.089 W1  1.3876 278.038257  -2.334356
58573.31557 13.199  0.209 W2  1.3876 278.038257  -2.334356
58573.31557 -0.374  0.227 W1mW2  1.3876 278.038257  -2.334356
58733.74265 12.899  0.070 W1  1.1502 278.038167  -2.334373
58733.74265 13.019  0.135 W2  1.1502 278.038167  -2.334373
58733.74265 -0.120  0.152 W1mW2  1.1502 278.038167  -2.334373
58736.88217 12.773  0.064 W1  1.2049 278.038178  -2.334383
58736.88217 12.929  0.090 W2  1.2049 278.038178  -2.334383
58736.88217 -0.156  0.110 W1mW2  1.2049 278.038178  -2.334383
58737.43163 12.841  0.090 W1  1.3509 278.038244  -2.334356
58737.43163 13.110  0.168 W2  1.3509 278.038244  -2.334356
58737.43163 -0.269  0.190 W1mW2  1.3509 278.038244  -2.334356
58936.99797 12.992  0.073 W1  1.4835 278.038199  -2.334473
58936.99797 13.051  0.123 W2  1.4835 278.038199  -2.334473
58936.99797 -0.059  0.143 W1mW2  1.4835 278.038199  -2.334473
58937.54721 13.095  0.123 W1  1.5023 278.038202  -2.334466
58937.54721 13.310  0.360 W2  1.5023 278.038202  -2.334466
58937.54721 -0.215  0.380 W1mW2  1.5023 278.038202  -2.334466
59101.40514 12.910  0.153 W1  1.4036 278.038236  -2.334393
59101.40514 13.183  0.251 W2  1.4036 278.038236  -2.334393
59101.40514 -0.273  0.294 W1mW2  1.4036 278.038236  -2.334393
