# MJD mag magerr filter flag distance ra dec
58741.75704 11.856    NaN W1 10  1.4800  83.881944  -5.450473
59108.86197 10.862  0.040 W1 10  1.6226  83.881963  -5.450400
59108.79652 11.410    NaN W1 10  1.8373  83.882025  -5.450394
58013.45059 10.990  0.238 W1 10  2.1864  83.882140  -5.450670
57281.58325 11.744    NaN W1 10  2.3228  83.881680  -5.451190
56915.73576 13.021    NaN W1 10  2.6090  83.882018  -5.451107
57087.82394 11.800    NaN W1 10  2.6779  83.882170  -5.450160
58741.75704 13.794    NaN W2 10  1.4800  83.881944  -5.450473
59108.86197 12.352  0.147 W2 10  1.6226  83.881963  -5.450400
59108.79652 13.755    NaN W2 10  1.8373  83.882025  -5.450394
58013.45059 13.202    NaN W2 10  2.1864  83.882140  -5.450670
57281.58325 12.920    NaN W2 10  2.3228  83.881680  -5.451190
56915.73576 13.581    NaN W2 10  2.6090  83.882018  -5.451107
57087.82394 13.884    NaN W2 10  2.6779  83.882170  -5.450160
58741.75704 -1.938    NaN W1mW2 10  1.4800  83.881944  -5.450473
59108.86197 -1.490  0.152 W1mW2 10  1.6226  83.881963  -5.450400
59108.79652 -2.345    NaN W1mW2 10  1.8373  83.882025  -5.450394
58013.45059 -2.212    NaN W1mW2 10  2.1864  83.882140  -5.450670
57281.58325 -1.176    NaN W1mW2 10  2.3228  83.881680  -5.451190
56915.73576 -0.560    NaN W1mW2 10  2.6090  83.882018  -5.451107
57087.82394 -2.084    NaN W1mW2 10  2.6779  83.882170  -5.450160
