# MJD mag magerr filter distance ra dec
55263.63061 12.570  0.040 W1  0.2537  83.914016  -7.343961
55263.63061 12.214  0.062 W2  0.2537  83.914016  -7.343961
55263.63061  0.357  0.074 W1mW2  0.2537  83.914016  -7.343961
55264.18747 12.578  0.040 W1  0.2359  83.914021  -7.343981
55264.18747 12.214  0.045 W2  0.2359  83.914021  -7.343981
55264.18747  0.364  0.061 W1mW2  0.2359  83.914021  -7.343981
56724.57051 12.537  0.042 W1  0.2328  83.914014  -7.343967
56724.57051 12.120  0.047 W2  0.2328  83.914014  -7.343967
56724.57051  0.417  0.063 W1mW2  0.2328  83.914014  -7.343967
56728.44069 12.561  0.069 W1  0.2586  83.914013  -7.343956
56728.44069 12.197  0.072 W2  0.2586  83.914013  -7.343956
56728.44069  0.365  0.099 W1mW2  0.2586  83.914013  -7.343956
56729.01531 12.568  0.026 W1  0.2793  83.914009  -7.343939
56729.01531 12.101  0.040 W2  0.2793  83.914009  -7.343939
56729.01531  0.467  0.048 W1mW2  0.2793  83.914009  -7.343939
56915.73614 12.511  0.027 W1  0.2550  83.914016  -7.343956
56915.73614 12.075  0.048 W2  0.2550  83.914016  -7.343956
56915.73614  0.436  0.055 W1mW2  0.2550  83.914016  -7.343956
56919.66046 12.548  0.048 W1  0.3019  83.914035  -7.343964
56919.66046 12.138  0.044 W2  0.3019  83.914035  -7.343964
56919.66046  0.410  0.065 W1mW2  0.3019  83.914035  -7.343964
56920.20852 12.549  0.060 W1  0.2949  83.914021  -7.343946
56920.20852 12.140  0.074 W2  0.2949  83.914021  -7.343946
56920.20852  0.409  0.095 W1mW2  0.2949  83.914021  -7.343946
57087.53895 12.449  0.041 W1  0.2676  83.914020  -7.343961
57087.53895 12.055  0.061 W2  0.2676  83.914020  -7.343961
57087.53895  0.394  0.073 W1mW2  0.2676  83.914020  -7.343961
57088.15190 12.482  0.027 W1  0.2678  83.914027  -7.343967
57088.15190 12.070  0.046 W2  0.2678  83.914027  -7.343967
57088.15190  0.411  0.054 W1mW2  0.2678  83.914027  -7.343967
57281.71481 12.468  0.039 W1  0.2466  83.914018  -7.343965
57281.71481 12.045  0.057 W2  0.2466  83.914018  -7.343965
57281.71481  0.423  0.069 W1mW2  0.2466  83.914018  -7.343965
57282.23956 12.501  0.038 W1  0.3096  83.914028  -7.343950
57282.23956 12.138  0.073 W2  0.3096  83.914028  -7.343950
57282.23956  0.363  0.082 W1mW2  0.3096  83.914028  -7.343950
57446.60706 12.570  0.035 W1  0.2899  83.914026  -7.343959
57446.60706 12.171  0.065 W2  0.2899  83.914026  -7.343959
57446.60706  0.399  0.073 W1mW2  0.2899  83.914026  -7.343959
57447.17511 12.563  0.035 W1  0.2786  83.914017  -7.343952
57447.17511 12.150  0.049 W2  0.2786  83.914017  -7.343952
57447.17511  0.413  0.060 W1mW2  0.2786  83.914017  -7.343952
57645.73869 12.539  0.040 W1  0.2920  83.914023  -7.343956
57645.73869 12.162  0.065 W2  0.2920  83.914023  -7.343956
57645.73869  0.378  0.076 W1mW2  0.2920  83.914023  -7.343956
57646.31112 12.581  0.048 W1  0.2879  83.914025  -7.343959
57646.31112 12.195  0.070 W2  0.2879  83.914025  -7.343959
57646.31112  0.386  0.085 W1mW2  0.2879  83.914025  -7.343959
57654.26579 12.521  0.032 W1  0.4128  83.914052  -7.343931
57654.26579 12.086  0.040 W2  0.4128  83.914052  -7.343931
57654.26579  0.435  0.051 W1mW2  0.4128  83.914052  -7.343931
57810.74959 12.565  0.044 W1  0.2366  83.914021  -7.343983
57810.74959 12.210  0.083 W2  0.2366  83.914021  -7.343983
57810.74959  0.356  0.094 W1mW2  0.2366  83.914021  -7.343983
57811.19815 12.567  0.039 W1  0.2911  83.914022  -7.343949
57811.19815 12.165  0.066 W2  0.2911  83.914022  -7.343949
57811.19815  0.402  0.076 W1mW2  0.2911  83.914022  -7.343949
57818.42802 12.534  0.026 W1  0.2758  83.913993  -7.343930
57818.42802 12.165  0.046 W2  0.2758  83.913993  -7.343930
57818.42802  0.369  0.053 W1mW2  0.2758  83.913993  -7.343930
58012.76354 12.622  0.034 W1  0.2984  83.914029  -7.343963
58012.76354 12.211  0.061 W2  0.2984  83.914029  -7.343963
58012.76354  0.411  0.070 W1mW2  0.2984  83.914029  -7.343963
58013.25452 12.622  0.051 W1  0.3374  83.914021  -7.343938
58013.25452 12.232  0.072 W2  0.3374  83.914021  -7.343938
58013.25452  0.390  0.089 W1mW2  0.3374  83.914021  -7.343938
58167.81532 12.575  0.039 W1  0.2600  83.914020  -7.343970
58167.81532 12.197  0.050 W2  0.2600  83.914020  -7.343970
58167.81532  0.378  0.063 W1mW2  0.2600  83.914020  -7.343970
58168.30830 12.597  0.041 W1  0.2726  83.914021  -7.343959
58168.30830 12.207  0.051 W2  0.2726  83.914021  -7.343959
58168.30830  0.390  0.065 W1mW2  0.2726  83.914021  -7.343959
58173.98038 12.616  0.029 W1  0.3351  83.914054  -7.343993
58173.98038 12.257  0.048 W2  0.3351  83.914054  -7.343993
58173.98038  0.359  0.056 W1mW2  0.3351  83.914054  -7.343993
58376.75695 12.534  0.027 W1  0.2163  83.914006  -7.343963
