# MJD mag magerr filter flag distance ra dec
55238.45728 15.596  0.172 W1 10  2.5287  52.323454  31.463865
57785.49448 16.111  0.266 W1 10  1.7839  52.323480  31.463199
57785.75641 16.341    NaN W1 10  1.8798  52.323420  31.463631
58145.12363 15.379  0.166 W1 10  2.4493  52.322191  31.463054
57619.40631 16.391    NaN W1 10  2.6775  52.323498  31.463887
56893.75900 16.175    NaN W1 10  2.7487  52.323161  31.462595
55238.45728 13.911  0.139 W2 10  2.5287  52.323454  31.463865
57785.49448 14.002  0.146 W2 10  1.7839  52.323480  31.463199
57785.75641 13.988  0.166 W2 10  1.8798  52.323420  31.463631
58145.12363 12.722  0.098 W2 10  2.4493  52.322191  31.463054
57619.40631 14.564  0.275 W2 10  2.6775  52.323498  31.463887
56893.75900 11.575    NaN W2 10  2.7487  52.323161  31.462595
55238.45728  1.685  0.221 W1mW2 10  2.5287  52.323454  31.463865
57785.49448  2.109  0.303 W1mW2 10  1.7839  52.323480  31.463199
57785.75641  2.353    NaN W1mW2 10  1.8798  52.323420  31.463631
58145.12363  2.657  0.193 W1mW2 10  2.4493  52.322191  31.463054
57619.40631  1.827    NaN W1mW2 10  2.6775  52.323498  31.463887
56893.75900  4.600    NaN W1mW2 10  2.7487  52.323161  31.462595
