# MJD mag magerr filter distance ra dec
58535.83108  9.030  0.042 W1  1.0998  85.027401  -7.400165
58535.83108  8.182  0.052 W2  1.0998  85.027401  -7.400165
58535.83108  0.848  0.067 W1mW2  1.0998  85.027401  -7.400165
58536.29725  9.062  0.030 W1  1.1510  85.027415  -7.400153
58536.29725  8.197  0.047 W2  1.1510  85.027415  -7.400153
58536.29725  0.865  0.055 W1mW2  1.1510  85.027415  -7.400153
58742.57872  9.090  0.031 W1  1.1693  85.027386  -7.400146
58742.57872  8.238  0.051 W2  1.1693  85.027386  -7.400146
58742.57872  0.853  0.060 W1mW2  1.1693  85.027386  -7.400146
58743.15291  9.100  0.040 W1  1.2008  85.027390  -7.400137
58743.15291  8.249  0.045 W2  1.2008  85.027390  -7.400137
58743.15291  0.851  0.060 W1mW2  1.2008  85.027390  -7.400137
58899.88060  9.191  0.017 W1  1.0185  85.027423  -7.400190
58899.88060  8.326  0.041 W2  1.0185  85.027423  -7.400190
58899.88060  0.865  0.044 W1mW2  1.0185  85.027423  -7.400190
58900.40376  9.168  0.030 W1  1.0585  85.027407  -7.400178
58900.40376  8.351  0.050 W2  1.0585  85.027407  -7.400178
58900.40376  0.817  0.058 W1mW2  1.0585  85.027407  -7.400178
59109.66011  9.263  0.029 W1  1.1513  85.027385  -7.400152
59109.66011  8.418  0.047 W2  1.1513  85.027385  -7.400152
59109.66011  0.845  0.056 W1mW2  1.1513  85.027385  -7.400152
59110.23556  9.253  0.023 W1  1.1465  85.027398  -7.400152
59110.23556  8.377  0.047 W2  1.1465  85.027398  -7.400152
59110.23556  0.876  0.052 W1mW2  1.1465  85.027398  -7.400152
