# MJD mag magerr filter distance ra dec
55264.91617 11.444  0.171 W1  1.5105  85.247488  -2.356504
55264.91617 11.476  0.540 W2  1.5105  85.247488  -2.356504
55264.91617 -0.032  0.566 W1mW2  1.5105  85.247488  -2.356504
55265.35286 11.402  0.144 W1  1.1224  85.247527  -2.356633
55265.35286 11.025  0.107 W2  1.1224  85.247527  -2.356633
55265.35286  0.377  0.180 W1mW2  1.1224  85.247527  -2.356633
56724.73612 11.287  0.017 W1  1.1458  85.247453  -2.356602
56724.73612 11.910  0.045 W2  1.1458  85.247453  -2.356602
56724.73612 -0.623  0.048 W1mW2  1.1458  85.247453  -2.356602
56729.74062 11.357  0.081 W1  0.7707  85.247408  -2.356729
56729.74062 11.973  0.062 W2  0.7707  85.247408  -2.356729
56729.74062 -0.616  0.102 W1mW2  0.7707  85.247408  -2.356729
56730.25921 11.284  0.059 W1  1.0361  85.247417  -2.356648
56730.25921 11.940  0.060 W2  1.0361  85.247417  -2.356648
56730.25921 -0.656  0.084 W1mW2  1.0361  85.247417  -2.356648
56921.51109 11.380  0.063 W1  0.6394  85.247396  -2.356770
56921.51109 11.973  0.094 W2  0.6394  85.247396  -2.356770
56921.51109 -0.594  0.113 W1mW2  0.6394  85.247396  -2.356770
56922.04917 11.209  0.021 W1  0.7237  85.247343  -2.356757
56922.04917 11.948  0.042 W2  0.7237  85.247343  -2.356757
56922.04917 -0.739  0.047 W1mW2  0.7237  85.247343  -2.356757
57088.80949 11.349  0.092 W1  0.7457  85.247386  -2.356733
57088.80949 11.964  0.075 W2  0.7457  85.247386  -2.356733
57088.80949 -0.615  0.119 W1mW2  0.7457  85.247386  -2.356733
57089.35459 11.464  0.422 W1  0.8396  85.247371  -2.356747
57089.35459 11.959  0.092 W2  0.8396  85.247371  -2.356747
57089.35459 -0.495  0.432 W1mW2  0.8396  85.247371  -2.356747
57282.89458 11.386  0.019 W1  1.0141  85.247264  -2.356718
57282.89458 11.912  0.039 W2  1.0141  85.247264  -2.356718
57282.89458 -0.526  0.043 W1mW2  1.0141  85.247264  -2.356718
57283.39552 11.360  0.114 W1  0.8221  85.247383  -2.356750
57283.39552 11.943  0.134 W2  0.8221  85.247383  -2.356750
57283.39552 -0.583  0.176 W1mW2  0.8221  85.247383  -2.356750
57284.00968 11.206  0.022 W1  0.9837  85.247446  -2.356647
57284.00968 12.005  0.041 W2  0.9837  85.247446  -2.356647
57284.00968 -0.799  0.047 W1mW2  0.9837  85.247446  -2.356647
57447.83145 11.390  0.153 W1  0.9449  85.247567  -2.356680
57447.83145 11.924  0.049 W2  0.9449  85.247567  -2.356680
57447.83145 -0.534  0.160 W1mW2  0.9449  85.247567  -2.356680
57448.42733 11.392  0.102 W1  0.9167  85.247415  -2.356694
57448.42733 11.950  0.060 W2  0.9167  85.247415  -2.356694
57448.42733 -0.558  0.118 W1mW2  0.9167  85.247415  -2.356694
57647.52293 11.402  0.084 W1  0.8325  85.247389  -2.356733
57647.52293 11.951  0.072 W2  0.8325  85.247389  -2.356733
57647.52293 -0.549  0.111 W1mW2  0.8325  85.247389  -2.356733
57648.10700 11.322  0.086 W1  1.1427  85.247299  -2.356648
57648.10700 11.949  0.058 W2  1.1427  85.247299  -2.356648
57648.10700 -0.627  0.104 W1mW2  1.1427  85.247299  -2.356648
57654.39593 11.398  0.022 W1  1.1938  85.247335  -2.356613
57654.39593 11.894  0.053 W2  1.1938  85.247335  -2.356613
57654.39593 -0.496  0.057 W1mW2  1.1938  85.247335  -2.356613
57812.46450 11.380  0.110 W1  0.8759  85.247416  -2.356707
57812.46450 11.930  0.096 W2  0.8759  85.247416  -2.356707
