# MJD mag magerr filter distance ra dec
55283.80604 11.066  0.041 W1  1.1025 278.172386  -2.166123
55283.80604 11.098  0.033 W2  1.1025 278.172386  -2.166123
55283.80604 -0.031  0.053 W1mW2  1.1025 278.172386  -2.166123
55284.30777 11.070  0.051 W1  1.1712 278.172405  -2.166120
55284.30777 11.063  0.055 W2  1.1712 278.172405  -2.166120
55284.30777  0.007  0.075 W1mW2  1.1712 278.172405  -2.166120
55292.20824 11.093  0.027 W1  1.2494 278.172426  -2.166080
55292.20824 11.133  0.027 W2  1.2494 278.172426  -2.166080
55292.20824 -0.040  0.038 W1mW2  1.2494 278.172426  -2.166080
56748.67569 11.062  0.066 W1  1.1931 278.172406  -2.166159
56748.67569 11.109  0.052 W2  1.1931 278.172406  -2.166159
56748.67569 -0.047  0.084 W1mW2  1.1931 278.172406  -2.166159
56749.15376 11.052  0.032 W1  1.1488 278.172397  -2.166148
56749.15376 11.148  0.052 W2  1.1488 278.172397  -2.166148
56749.15376 -0.096  0.061 W1mW2  1.1488 278.172397  -2.166148
56927.93473 11.088  0.020 W1  1.2125 278.172415  -2.166145
56927.93473 11.122  0.026 W2  1.2125 278.172415  -2.166145
56927.93473 -0.034  0.033 W1mW2  1.2125 278.172415  -2.166145
56928.49373 11.054  0.023 W1  1.1765 278.172403  -2.166159
56928.49373 11.097  0.041 W2  1.1765 278.172403  -2.166159
56928.49373 -0.043  0.047 W1mW2  1.1765 278.172403  -2.166159
56932.20958 11.068  0.018 W1  1.1589 278.172400  -2.166150
56932.20958 11.094  0.029 W2  1.1589 278.172400  -2.166150
56932.20958 -0.026  0.034 W1mW2  1.1589 278.172400  -2.166150
57110.57012 11.224  0.432 W1  1.1894 278.172404  -2.166163
57110.57012 11.272  0.413 W2  1.1894 278.172404  -2.166163
57110.57012 -0.048  0.598 W1mW2  1.1894 278.172404  -2.166163
57111.16926 11.067  0.044 W1  1.1884 278.172407  -2.166156
57111.16926 11.139  0.036 W2  1.1884 278.172407  -2.166156
57111.16926 -0.072  0.056 W1mW2  1.1884 278.172407  -2.166156
57289.87946 11.023  0.023 W1  1.2633 278.172429  -2.166147
57289.87946 11.107  0.028 W2  1.2633 278.172429  -2.166147
57289.87946 -0.084  0.036 W1mW2  1.2633 278.172429  -2.166147
57290.38785 11.059  0.032 W1  1.2198 278.172415  -2.166161
57290.38785 11.104  0.047 W2  1.2198 278.172415  -2.166161
57290.38785 -0.045  0.057 W1mW2  1.2198 278.172415  -2.166161
57474.80216 11.037  0.042 W1  1.1738 278.172404  -2.166147
57474.80216 11.143  0.074 W2  1.1738 278.172404  -2.166147
57474.80216 -0.105  0.085 W1mW2  1.1738 278.172404  -2.166147
57475.26092 11.065  0.045 W1  1.1031 278.172385  -2.166137
57475.26092 11.177  0.039 W2  1.1031 278.172385  -2.166137
57475.26092 -0.112  0.059 W1mW2  1.1031 278.172385  -2.166137
57478.86533 11.030  0.020 W1  1.1065 278.172383  -2.166164
57478.86533 11.199  0.028 W2  1.1065 278.172383  -2.166164
57478.86533 -0.169  0.034 W1mW2  1.1065 278.172383  -2.166164
57648.79406 11.073  0.034 W1  1.1488 278.172398  -2.166139
57648.79406 11.139  0.030 W2  1.1488 278.172398  -2.166139
57648.79406 -0.066  0.046 W1mW2  1.1488 278.172398  -2.166139
57649.36910 11.070  0.033 W1  1.2020 278.172411  -2.166151
57649.36910 11.112  0.047 W2  1.2020 278.172411  -2.166151
57649.36910 -0.042  0.057 W1mW2  1.2020 278.172411  -2.166151
57841.82945 11.084  0.029 W1  1.2072 278.172413  -2.166146
57841.82945 11.118  0.041 W2  1.2072 278.172413  -2.166146
57841.82945 -0.033  0.050 W1mW2  1.2072 278.172413  -2.166146
57842.26599 11.065  0.026 W1  1.1581 278.172400  -2.166133
57842.26599 11.138  0.040 W2  1.1581 278.172400  -2.166133
57842.26599 -0.073  0.047 W1mW2  1.1581 278.172400  -2.166133
58009.67669 11.058  0.029 W1  1.1788 278.172404  -2.166158
58009.67669 11.116  0.032 W2  1.1788 278.172404  -2.166158
58009.67669 -0.058  0.043 W1mW2  1.1788 278.172404  -2.166158
58010.14311 11.049  0.025 W1  1.1786 278.172406  -2.166140
58010.14311 11.088  0.065 W2  1.1786 278.172406  -2.166140
58010.14311 -0.039  0.070 W1mW2  1.1786 278.172406  -2.166140
58205.82253 11.104  0.020 W1  1.1298 278.172392  -2.166146
58205.82253 11.131  0.040 W2  1.1298 278.172392  -2.166146
58205.82253 -0.027  0.045 W1mW2  1.1298 278.172392  -2.166146
58206.30678 11.059  0.044 W1  1.2173 278.172414  -2.166160
58206.30678 11.149  0.061 W2  1.2173 278.172414  -2.166160
58206.30678 -0.089  0.075 W1mW2  1.2173 278.172414  -2.166160
58369.85154 11.089  0.021 W1  1.1450 278.172391  -2.166173
58369.85154 11.143  0.051 W2  1.1450 278.172391  -2.166173
58369.85154 -0.053  0.055 W1mW2  1.1450 278.172391  -2.166173
58370.36675 11.064  0.031 W1  1.1914 278.172409  -2.166146
58370.36675 11.138  0.048 W2  1.1914 278.172409  -2.166146
58370.36675 -0.074  0.057 W1mW2  1.1914 278.172409  -2.166146
58569.90227 11.071  0.020 W1  1.2040 278.172408  -2.166176
58569.90227 11.133  0.029 W2  1.2040 278.172408  -2.166176
58569.90227 -0.062  0.035 W1mW2  1.2040 278.172408  -2.166176
58572.86848 11.063  0.041 W1  1.1390 278.172393  -2.166160
58572.86848 11.117  0.048 W2  1.1390 278.172393  -2.166160
58572.86848 -0.054  0.063 W1mW2  1.1390 278.172393  -2.166160
58573.42239 11.075  0.033 W1  1.1501 278.172398  -2.166143
58573.42239 11.116  0.035 W2  1.1501 278.172398  -2.166143
58573.42239 -0.041  0.048 W1mW2  1.1501 278.172398  -2.166143
