# MJD mag magerr filter distance ra dec
58573.82764  8.414  0.040 W1  0.4762 278.926712  -0.020125
58573.82764  8.376  0.041 W2  0.4762 278.926712  -0.020125
58573.82764  0.038  0.057 W1mW2  0.4762 278.926712  -0.020125
58574.35097  8.421  0.037 W1  0.4932 278.926709  -0.020131
58574.35097  8.388  0.044 W2  0.4932 278.926709  -0.020131
58574.35097  0.033  0.058 W1mW2  0.4932 278.926709  -0.020131
58737.79836  8.387  0.046 W1  0.4644 278.926703  -0.020123
58737.79836  8.336  0.045 W2  0.4644 278.926703  -0.020123
58737.79836  0.050  0.064 W1mW2  0.4644 278.926703  -0.020123
58738.36530  8.391  0.038 W1  0.5357 278.926716  -0.020142
58738.36530  8.346  0.045 W2  0.5357 278.926716  -0.020142
58738.36530  0.045  0.059 W1mW2  0.5357 278.926716  -0.020142
58937.91315  8.434  0.034 W1  0.5270 278.926729  -0.020134
58937.91315  8.342  0.041 W2  0.5270 278.926729  -0.020134
58937.91315  0.092  0.053 W1mW2  0.5270 278.926729  -0.020134
58938.48390  8.411  0.038 W1  0.4870 278.926710  -0.020129
58938.48390  8.344  0.044 W2  0.4870 278.926710  -0.020129
58938.48390  0.066  0.058 W1mW2  0.4870 278.926710  -0.020129
58939.02494  8.435  0.034 W1  0.5315 278.926740  -0.020130
58939.02494  8.358  0.041 W2  0.5315 278.926740  -0.020130
58939.02494  0.077  0.053 W1mW2  0.5315 278.926740  -0.020130
59101.96142  8.406  0.035 W1  0.5498 278.926721  -0.020144
59101.96142  8.318  0.041 W2  0.5498 278.926721  -0.020144
59101.96142  0.088  0.054 W1mW2  0.5498 278.926721  -0.020144
59102.49681  8.405  0.035 W1  0.5113 278.926707  -0.020136
59102.49681  8.309  0.049 W2  0.5113 278.926707  -0.020136
59102.49681  0.096  0.060 W1mW2  0.5113 278.926707  -0.020136
