# MJD mag magerr filter flag distance ra dec
55264.12158 10.284  0.019 W1 10  0.2667  83.743039  -5.908003
55263.79075 10.311  0.020 W1 10  0.3118  83.743070  -5.907992
55263.65845 10.267  0.021 W1 10  0.3396  83.743054  -5.908017
55263.26141 10.324  0.023 W1 10  0.3448  83.743057  -5.908017
55263.45993 10.324  0.021 W1 10  0.3613  83.743059  -5.908022
55263.59223 10.274  0.024 W1 10  0.3823  83.743067  -5.908023
55263.52615 10.277  0.021 W1 10  0.3910  83.743078  -5.908016
55263.85697 10.305  0.020 W1 10  0.3923  83.743041  -5.908041
55263.26154 10.341  0.023 W1 10  0.4080  83.743048  -5.908043
55263.39384 10.315  0.022 W1 10  0.4255  83.743060  -5.908042
55263.72466 10.305  0.020 W1 10  0.4260  83.743065  -5.908039
55263.12911 10.344  0.023 W1 10  0.4356  83.743068  -5.908041
55263.98927 10.322  0.019 W1 10  0.4699  83.743077  -5.908046
58012.79595 10.863  0.019 W1 10  0.1943  83.743043  -5.907973
57811.02813 10.837  0.018 W1 10  0.2307  83.743043  -5.907988
58376.49451 10.705  0.022 W1 10  0.2446  83.743040  -5.907995
57645.35631 11.038  0.020 W1 10  0.2533  83.743054  -5.907986
57645.61825 11.057  0.023 W1 10  0.2579  83.743052  -5.907990
57446.71660 10.996  0.023 W1 10  0.2621  83.743031  -5.908006
58376.75670 10.684  0.016 W1  5  0.2636  83.743057  -5.907986
57447.17540 10.973  0.017 W1  5  0.2689  83.743046  -5.907999
58377.14928 10.722  0.020 W1  5  0.2704  83.743044  -5.908001
58012.86140 10.931  0.020 W1 10  0.2709  83.743013  -5.908014
58012.86153 10.902  0.022 W1  5  0.2748  83.743067  -5.907977
56920.01100 10.751  0.019 W1 10  0.2771  83.743058  -5.907991
56919.22176 10.794  0.017 W1 10  0.2809  83.743040  -5.908007
58012.99243 10.892  0.021 W1 10  0.2827  83.743054  -5.907997
56920.20825 10.718  0.019 W1 10  0.2859  83.743056  -5.907996
57654.26554 10.965  0.020 W1 10  0.2896  83.743048  -5.908005
59108.46914  9.759  0.016 W1 10  0.2904  83.743060  -5.907995
57818.42828 10.829  0.021 W1 10  0.2917  83.743064  -5.907990
56920.33979 10.745  0.019 W1  5  0.2918  83.743056  -5.907999
58898.57233 10.799  0.022 W1 10  0.2984  83.743058  -5.907999
57281.71454 10.974  0.018 W1  5  0.2991  83.743048  -5.908008
58899.55334 10.802  0.017 W1 10  0.2994  83.743045  -5.908010
58741.03758 10.816  0.019 W1 10  0.3029  83.743053  -5.908005
58898.96516 10.790  0.018 W1 10  0.3036  83.743056  -5.908003
58535.45515 10.819  0.016 W1  5  0.3047  83.743035  -5.908017
58535.32437 10.825  0.018 W1 10  0.3056  83.743049  -5.908010
57645.48734 10.985  0.017 W1 10  0.3077  83.743049  -5.908010
58167.82876 10.810  0.021 W1 10  0.3083  83.743054  -5.908007
58167.63228 10.763  0.019 W1 10  0.3087  83.743049  -5.908011
57645.94589 11.011  0.019 W1 10  0.3093  83.743068  -5.907993
59108.92743  9.760  0.016 W1 10  0.3098  83.743030  -5.908021
58173.98063 10.856  0.022 W1 10  0.3101  83.743059  -5.908004
59108.07732  9.788  0.015 W1  5  0.3130  83.743044  -5.908015
58167.95967 10.790  0.021 W1 10  0.3142  83.743056  -5.908007
58013.45072 10.917  0.020 W1 10  0.3161  83.743067  -5.907997
58376.95305 10.666  0.018 W1 10  0.3176  83.743079  -5.907980
58741.49549 10.855  0.017 W1 10  0.3190  83.743070  -5.907995
58741.75716 10.816  0.020 W1  5  0.3191  83.743043  -5.908018
58740.77590 10.813  0.019 W1 10  0.3195  83.743078  -5.907984
56728.62056 10.358  0.015 W1  0  0.3206  83.743050  -5.908014
57810.56971 10.808  0.020 W1 10  0.3219  83.743061  -5.908006
57446.19222 11.007  0.018 W1  5  0.3221  83.743062  -5.908005
57087.42982 10.694  0.020 W1 10  0.3223  83.743072  -5.907993
58167.63241 10.801  0.022 W1 10  0.3225  83.743059  -5.908008
58012.59960 10.921  0.016 W1  5  0.3228  83.743070  -5.907996
57646.01134 11.012  0.020 W1 10  0.3231  83.743071  -5.907996
59108.20810  9.783  0.015 W1 10  0.3236  83.743062  -5.908005
57086.97001 10.704  0.019 W1 10  0.3237  83.743033  -5.908024
57811.29006 10.844  0.017 W1 10  0.3259  83.743058  -5.908010
57281.84570 11.009  0.021 W1  5  0.3291  83.743064  -5.908005
59108.53510  9.737  0.015 W1 10  0.3296  83.743057  -5.908012
57446.78205 11.005  0.021 W1 10  0.3298  83.743066  -5.908004
57446.45441 10.956  0.017 W1 10  0.3305  83.743063  -5.908007
57645.88031 10.984  0.018 W1 10  0.3311  83.743071  -5.907999
58167.37060 10.792  0.021 W1 10  0.3318  83.743058  -5.908012
57281.32094 10.951  0.017 W1 10  0.3318  83.743065  -5.908005
56728.88390 10.347  0.015 W1 10  0.3336  83.743056  -5.908014
58377.28018 10.664  0.018 W1 10  0.3342  83.743065  -5.908007
58534.47375 10.811  0.018 W1 10  0.3346  83.743057  -5.908014
58168.09045 10.758  0.022 W1 10  0.3355  83.743074  -5.907997
58899.16139 10.800  0.018 W1 10  0.3360  83.743061  -5.908011
58741.88794 10.850  0.019 W1 10  0.3360  83.743075  -5.907996
57810.83177 10.801  0.018 W1 10  0.3362  83.743048  -5.908020
57810.30778 10.838  0.018 W1 10  0.3375  83.743057  -5.908015
58535.19347 10.839  0.017 W1 10  0.3376  83.743070  -5.908003
58741.29913 10.889  0.022 W1 10  0.3382  83.743073  -5.907999
57281.78012 10.928  0.016 W1 10  0.3389  83.743064  -5.908010
56915.73588 10.843  0.020 W1 10  0.3393  83.743072  -5.908001
58173.98051 10.819  0.019 W1 10  0.3405  83.743066  -5.908008
57281.91128 10.891  0.021 W1 10  0.3419  83.743089  -5.907975
