# MJD mag magerr filter distance ra dec
55263.39809 11.447  0.033 W1  0.1786  83.566218  -6.575744
55263.39809 10.307  0.045 W2  0.1786  83.566218  -6.575744
55263.39809  1.140  0.056 W1mW2  0.1786  83.566218  -6.575744
56727.94546 11.293  0.054 W1  0.2427  83.566233  -6.575752
56727.94546 10.208  0.079 W2  0.2427  83.566233  -6.575752
56727.94546  1.085  0.095 W1mW2  0.2427  83.566233  -6.575752
56919.34869 11.213  0.027 W1  0.2606  83.566239  -6.575730
56919.34869 10.140  0.026 W2  0.2606  83.566239  -6.575730
56919.34869  1.073  0.038 W1mW2  0.2606  83.566239  -6.575730
57087.28955 11.253  0.029 W1  0.2517  83.566239  -6.575753
57087.28955 10.173  0.029 W2  0.2517  83.566239  -6.575753
57087.28955  1.079  0.041 W1mW2  0.2517  83.566239  -6.575753
57281.49915 11.453  0.034 W1  0.2530  83.566232  -6.575724
57281.49915 10.303  0.037 W2  0.2530  83.566232  -6.575724
57281.49915  1.150  0.051 W1mW2  0.2530  83.566232  -6.575724
57446.41055 11.269  0.032 W1  0.2203  83.566230  -6.575744
57446.41055 10.149  0.051 W2  0.2203  83.566230  -6.575744
57446.41055  1.120  0.060 W1mW2  0.2203  83.566230  -6.575744
57646.32034 11.362  0.029 W1  0.2286  83.566228  -6.575728
57646.32034 10.204  0.035 W2  0.2286  83.566228  -6.575728
57646.32034  1.157  0.046 W1mW2  0.2286  83.566228  -6.575728
57811.15434 11.347  0.077 W1  0.2418  83.566235  -6.575746
57811.15434 10.203  0.046 W2  0.2418  83.566235  -6.575746
57811.15434  1.144  0.089 W1mW2  0.2418  83.566235  -6.575746
58012.75248 11.327  0.043 W1  0.2741  83.566243  -6.575730
58012.75248 10.157  0.042 W2  0.2741  83.566243  -6.575730
58012.75248  1.170  0.060 W1mW2  0.2741  83.566243  -6.575730
58168.20252 11.390  0.034 W1  0.2604  83.566240  -6.575754
58168.20252 10.176  0.037 W2  0.2604  83.566240  -6.575754
58168.20252  1.214  0.050 W1mW2  0.2604  83.566240  -6.575754
58376.92258 11.644  0.040 W1  0.2821  83.566245  -6.575729
58376.92258 10.465  0.033 W2  0.2821  83.566245  -6.575729
58376.92258  1.179  0.051 W1mW2  0.2821  83.566245  -6.575729
58534.70266 11.568  0.030 W1  0.2299  83.566233  -6.575753
58534.70266 10.414  0.024 W2  0.2299  83.566233  -6.575753
58534.70266  1.153  0.039 W1mW2  0.2299  83.566233  -6.575753
58741.56971 11.457  0.032 W1  0.2726  83.566241  -6.575728
58741.56971 10.336  0.031 W2  0.2726  83.566241  -6.575728
58741.56971  1.121  0.045 W1mW2  0.2726  83.566241  -6.575728
58898.86692 11.161  0.048 W1  0.2530  83.566240  -6.575749
58898.86692 10.021  0.043 W2  0.2530  83.566240  -6.575749
58898.86692  1.139  0.064 W1mW2  0.2530  83.566240  -6.575749
59108.21256 11.438  0.049 W1  0.2678  83.566241  -6.575730
59108.21256 10.322  0.048 W2  0.2678  83.566241  -6.575730
59108.21256  1.115  0.069 W1mW2  0.2678  83.566241  -6.575730
