# MJD mag magerr filter flag distance ra dec
55264.45215  9.320  0.025 W1 10  0.1447  84.465494  -6.947742
55264.78297  9.314  0.019 W1 10  0.1577  84.465479  -6.947760
55264.05523  9.304  0.017 W1 10  0.1618  84.465497  -6.947746
55264.51836  9.297  0.019 W1 10  0.1881  84.465499  -6.947755
55264.38606  9.314  0.018 W1 10  0.1993  84.465503  -6.947756
55264.18754  9.294  0.019 W1 10  0.1998  84.465504  -6.947755
55264.31984  9.311  0.016 W1 10  0.2017  84.465510  -6.947746
55264.25375  9.309  0.020 W1 10  0.2034  84.465511  -6.947745
55264.65067  9.296  0.021 W1 10  0.2157  84.465514  -6.947746
55264.45227  9.337  0.025 W1 10  0.2357  84.465514  -6.947757
55264.91540  9.112  0.020 W1 10  0.2537  84.465525  -6.947749
55263.79063  9.282  0.023 W1 10  0.3131  84.465520  -6.947783
58014.10549  9.184  0.017 W1 10  0.0428  84.465472  -6.947723
58535.52047  9.276  0.018 W1  0  0.0857  84.465481  -6.947731
58535.52034  9.237  0.017 W1  0  0.1042  84.465462  -6.947749
57088.28324  9.284  0.017 W1 10  0.1225  84.465493  -6.947711
57447.37176  9.298  0.019 W1 10  0.1235  84.465494  -6.947716
57282.10827  9.267  0.014 W1 10  0.1285  84.465483  -6.947748
57647.12529  9.406  0.018 W1 10  0.1305  84.465496  -6.947726
58741.69184  9.245  0.014 W1 10  0.1367  84.465492  -6.947741
58168.15577  9.343  0.016 W1  5  0.1384  84.465498  -6.947726
58377.80392  9.263  0.016 W1  5  0.1414  84.465482  -6.947687
58377.86938  9.280  0.014 W1 10  0.1468  84.465499  -6.947732
58377.93470  9.264  0.020 W1  5  0.1499  84.465475  -6.947759
58013.64733  9.248  0.020 W1 10  0.1535  84.465502  -6.947712
56729.54223  9.166  0.013 W1 10  0.1543  84.465496  -6.947743
57646.14263  9.391  0.015 W1 10  0.1562  84.465501  -6.947735
58535.71670  9.314  0.014 W1 10  0.1603  84.465496  -6.947747
58535.65125  9.311  0.014 W1 10  0.1623  84.465504  -6.947729
57646.47014  9.396  0.015 W1 10  0.1672  84.465507  -6.947717
58377.93483  9.296  0.019 W1 10  0.1676  84.465499  -6.947694
57446.97854  9.297  0.015 W1 10  0.1684  84.465506  -6.947731
58378.26196  9.292  0.019 W1 10  0.1694  84.465507  -6.947721
57646.27366  9.390  0.016 W1 10  0.1712  84.465506  -6.947735
57812.07574  9.322  0.014 W1 10  0.1744  84.465508  -6.947730
58899.88060  9.292  0.015 W1 10  0.1755  84.465508  -6.947710
57646.99426  9.391  0.017 W1 10  0.1766  84.465507  -6.947735
58535.12789  9.335  0.016 W1 10  0.1774  84.465492  -6.947758
58013.77823  9.221  0.017 W1  5  0.1786  84.465506  -6.947701
57088.08625  9.244  0.018 W1  5  0.1787  84.465502  -6.947746
56729.21294  9.170  0.013 W1 10  0.1800  84.465506  -6.947740
58899.48776  9.276  0.016 W1 10  0.1800  84.465506  -6.947740
58013.38540  9.235  0.015 W1 10  0.1808  84.465505  -6.947742
56729.67390  9.179  0.016 W1 10  0.1820  84.465510  -6.947711
58013.12359  9.276  0.021 W1 10  0.1827  84.465449  -6.947770
58742.54233  9.286  0.020 W1 10  0.1833  84.465503  -6.947748
57646.73220  9.383  0.015 W1 10  0.1840  84.465499  -6.947753
57654.33124  9.260  0.018 W1 10  0.1851  84.465510  -6.947733
57282.82989  9.199  0.016 W1 10  0.1865  84.465512  -6.947727
59108.86223  9.360  0.014 W1  5  0.1898  84.465508  -6.947742
58377.41121  9.326  0.015 W1 10  0.1906  84.465509  -6.947741
58168.41758  9.307  0.017 W1 10  0.1915  84.465513  -6.947715
58013.71278  9.242  0.015 W1 10  0.1924  84.465512  -6.947734
56920.60312  9.323  0.014 W1 10  0.1939  84.465508  -6.947745
58535.38957  9.307  0.015 W1 10  0.1942  84.465503  -6.947753
58742.08442  9.279  0.017 W1 10  0.1966  84.465515  -6.947713
57646.66662  9.318  0.018 W1 10  0.1971  84.465508  -6.947746
58535.97838  9.290  0.014 W1 10  0.1973  84.465500  -6.947758
57447.17515  9.316  0.018 W1 10  0.1995  84.465515  -6.947728
58748.16862  9.274  0.017 W1 10  0.2011  84.465516  -6.947717
58014.23652  9.254  0.017 W1 10  0.2012  84.465512  -6.947699
57646.40469  9.401  0.017 W1 10  0.2025  84.465512  -6.947743
57646.53572  9.380  0.020 W1 10  0.2037  84.465514  -6.947737
57811.22436  9.290  0.019 W1 10  0.2043  84.465516  -6.947710
59109.25456  9.405  0.017 W1  5  0.2069  84.465514  -6.947699
57088.61165  9.264  0.014 W1 10  0.2070  84.465507  -6.947754
56920.99774  9.277  0.015 W1 10  0.2070  84.465518  -6.947725
57282.69874  9.212  0.017 W1 10  0.2078  84.465517  -6.947733
57281.84595  9.297  0.014 W1 10  0.2093  84.465518  -6.947714
57088.28337  9.289  0.016 W1 10  0.2110  84.465515  -6.947742
58377.73847  9.293  0.015 W1 10  0.2113  84.465519  -6.947724
56920.14267  9.297  0.014 W1 10  0.2128  84.465519  -6.947729
58535.84747  9.239  0.017 W1  5  0.2135  84.465515  -6.947743
57810.96255  9.337  0.019 W1 10  0.2141  84.465510  -6.947752
59109.12378  9.367  0.015 W1 10  0.2142  84.465517  -6.947740
57818.42802  9.302  0.017 W1 10  0.2144  84.465509  -6.947755
57087.62656  9.300  0.014 W1 10  0.2166  84.465517  -6.947741
57088.34895  9.266  0.016 W1 10  0.2190  84.465512  -6.947753
58378.00028  9.267  0.018 W1  5  0.2196  84.465515  -6.947748
56729.27877  9.185  0.015 W1 10  0.2198  84.465519  -6.947738
57282.56745  9.225  0.015 W1 10  0.2200  84.465520  -6.947735
59109.32001  9.358  0.017 W1 10  0.2201  84.465517  -6.947744
56728.94960  9.187  0.014 W1 10  0.2201  84.465516  -6.947745
57811.35539  9.308  0.016 W1 10  0.2227  84.465515  -6.947749
58168.28667  9.345  0.015 W1  5  0.2237  84.465508  -6.947760
57447.69952  9.327  0.014 W1 10  0.2252  84.465515  -6.947751
56920.86620  9.282  0.015 W1 10  0.2256  84.465519  -6.947743
57282.30513  9.249  0.015 W1 10  0.2276  84.465524  -6.947725
56920.53729  9.294  0.016 W1 10  0.2295  84.465524  -6.947726
58899.61905  9.274  0.015 W1 10  0.2302  84.465516  -6.947751
58741.88820  9.194  0.019 W1 10  0.2317  84.465525  -6.947727
57811.68278  9.314  0.019 W1 10  0.2323  84.465525  -6.947720
57282.43629  9.255  0.014 W1 10  0.2331  84.465524  -6.947735
57447.43733  9.336  0.019 W1 10  0.2340  84.465512  -6.947760
58168.02487  9.375  0.017 W1 10  0.2343  84.465520  -6.947747
58741.56106  9.248  0.014 W1 10  0.2346  84.465526  -6.947718
58899.35737  9.251  0.016 W1 10  0.2346  84.465522  -6.947742
57282.50187  9.258  0.017 W1 10  0.2349  84.465524  -6.947733
59109.18923  9.376  0.015 W1 10  0.2358  84.465521  -6.947745
58900.07683  9.307  0.015 W1 10  0.2367  84.465521  -6.947746
58535.25866  9.327  0.017 W1  5  0.2369  84.465522  -6.947698
58174.04583  9.336  0.015 W1 10  0.2369  84.465519  -6.947750
57447.30630  9.309  0.017 W1  5  0.2377  84.465519  -6.947749
58899.94605  9.280  0.015 W1 10  0.2394  84.465514  -6.947681
