# MJD mag magerr filter distance ra dec
55265.41100  8.171  0.063 W1  0.1399  85.579488 -10.002203
55265.41100  6.482  0.072 W2  0.1399  85.579488 -10.002203
55265.41100  1.689  0.095 W1mW2  0.1399  85.579488 -10.002203
56729.64412  7.189  0.128 W1  0.3218  85.579541 -10.002214
56729.64412  5.489  0.186 W2  0.3218  85.579541 -10.002214
56729.64412  1.700  0.226 W1mW2  0.3218  85.579541 -10.002214
56921.62310  7.583  0.074 W1  0.1750  85.579475 -10.002166
56921.62310  5.928  0.132 W2  0.1750  85.579475 -10.002166
56921.62310  1.655  0.151 W1mW2  0.1750  85.579475 -10.002166
57089.24435  7.900  0.055 W1  0.2781  85.579508 -10.002258
57089.24435  6.097  0.127 W2  0.2781  85.579508 -10.002258
57089.24435  1.803  0.138 W1mW2  0.2781  85.579508 -10.002258
57283.49047  7.625  0.094 W1  0.2448  85.579494 -10.002155
57283.49047  5.903  0.152 W2  0.2448  85.579494 -10.002155
57283.49047  1.723  0.179 W1mW2  0.2448  85.579494 -10.002155
57448.31073  7.976  0.052 W1  0.2305  85.579514 -10.002242
57448.31073  6.318  0.107 W2  0.2305  85.579514 -10.002242
57448.31073  1.657  0.119 W1mW2  0.2305  85.579514 -10.002242
57648.12482  7.784  0.064 W1  0.1768  85.579494 -10.002166
57648.12482  6.092  0.148 W2  0.1768  85.579494 -10.002166
57648.12482  1.691  0.161 W1mW2  0.1768  85.579494 -10.002166
57812.98656  7.458  0.102 W1  0.3268  85.579549 -10.002237
57812.98656  5.740  0.173 W2  0.3268  85.579549 -10.002237
57812.98656  1.718  0.201 W1mW2  0.3268  85.579549 -10.002237
58014.75070  7.821  0.051 W1  0.1734  85.579504 -10.002179
58014.75070  6.134  0.146 W2  0.1734  85.579504 -10.002179
58014.75070  1.688  0.155 W1mW2  0.1734  85.579504 -10.002179
58170.33007  8.074  0.050 W1  0.2046  85.579504 -10.002245
58170.33007  6.384  0.092 W2  0.2046  85.579504 -10.002245
58170.33007  1.691  0.105 W1mW2  0.2046  85.579504 -10.002245
58378.86547  8.116  0.038 W1  0.1330  85.579498 -10.002181
58378.86547  6.534  0.093 W2  0.1330  85.579498 -10.002181
58378.86547  1.581  0.101 W1mW2  0.1330  85.579498 -10.002181
58536.59639  7.818  0.060 W1  0.2449  85.579514 -10.002235
58536.59639  5.965  0.152 W2  0.2449  85.579514 -10.002235
58536.59639  1.853  0.163 W1mW2  0.2449  85.579514 -10.002235
58743.51012  7.738  0.080 W1  0.2105  85.579486 -10.002159
58743.51012  6.013  0.145 W2  0.2105  85.579486 -10.002159
58743.51012  1.725  0.166 W1mW2  0.2105  85.579486 -10.002159
58900.82835  7.384  0.131 W1  0.3031  85.579544 -10.002237
58900.82835  5.629  0.203 W2  0.3031  85.579544 -10.002237
58900.82835  1.755  0.241 W1mW2  0.3031  85.579544 -10.002237
59110.26117  7.438  0.092 W1  0.2494  85.579460 -10.002157
59110.26117  5.719  0.174 W2  0.2494  85.579460 -10.002157
59110.26117  1.720  0.197 W1mW2  0.2494  85.579460 -10.002157
