# MJD mag magerr filter distance ra dec
55253.90520 10.968  0.027 W1  1.3219 246.746050 -24.599198
55253.90520 10.005  0.022 W2  1.3219 246.746050 -24.599198
55253.90520  0.963  0.035 W1mW2  1.3219 246.746050 -24.599198
55254.58334 10.944  0.042 W1  1.3379 246.746038 -24.599210
55254.58334 10.013  0.055 W2  1.3379 246.746038 -24.599210
55254.58334  0.931  0.069 W1mW2  1.3379 246.746038 -24.599210
55262.44033 10.906  0.021 W1  1.3050 246.745998 -24.599219
55262.44033 10.027  0.034 W2  1.3050 246.745998 -24.599219
55262.44033  0.879  0.040 W1mW2  1.3050 246.745998 -24.599219
56718.72517 11.054  0.034 W1  1.5208 246.746030 -24.599271
56718.72517 10.180  0.027 W2  1.5208 246.746030 -24.599271
56718.72517  0.875  0.044 W1mW2  1.5208 246.746030 -24.599271
56719.16336 11.051  0.027 W1  1.4732 246.746010 -24.599264
56719.16336 10.194  0.032 W2  1.4732 246.746010 -24.599264
56719.16336  0.857  0.042 W1mW2  1.4732 246.746010 -24.599264
56897.70746 11.025  0.043 W1  1.5165 246.746015 -24.599276
56897.70746 10.208  0.040 W2  1.5165 246.746015 -24.599276
56897.70746  0.817  0.058 W1mW2  1.5165 246.746015 -24.599276
56898.18766 11.035  0.040 W1  1.5345 246.745996 -24.599288
56898.18766 10.206  0.036 W2  1.5345 246.745996 -24.599288
56898.18766  0.830  0.054 W1mW2  1.5345 246.745996 -24.599288
56902.80522 10.968  0.038 W1  1.3633 246.745977 -24.599244
56902.80522  9.602  0.132 W2  1.3633 246.745977 -24.599244
56902.80522  1.366  0.137 W1mW2  1.3633 246.745977 -24.599244
57080.66751 11.010  0.033 W1  1.4774 246.746020 -24.599262
57080.66751 10.118  0.141 W2  1.4774 246.746020 -24.599262
57080.66751  0.892  0.144 W1mW2  1.4774 246.746020 -24.599262
57081.22940 11.005  0.023 W1  1.4808 246.746019 -24.599263
57081.22940 10.174  0.018 W2  1.4808 246.746019 -24.599263
57081.22940  0.831  0.029 W1mW2  1.4808 246.746019 -24.599263
57256.62743 10.955  0.035 W1  1.5948 246.746022 -24.599296
57256.62743 10.109  0.030 W2  1.5948 246.746022 -24.599296
57256.62743  0.846  0.046 W1mW2  1.5948 246.746022 -24.599296
57257.07728 11.038  0.049 W1  1.5516 246.746014 -24.599287
57257.07728 10.324  0.302 W2  1.5516 246.746014 -24.599287
57257.07728  0.714  0.306 W1mW2  1.5516 246.746014 -24.599287
57259.64380 10.956  0.083 W1  1.5725 246.745999 -24.599294
57259.64380 10.131  0.072 W2  1.5725 246.745999 -24.599294
57259.64380  0.825  0.110 W1mW2  1.5725 246.745999 -24.599294
57260.16040 10.951  0.051 W1  1.5747 246.746022 -24.599290
57260.16040 10.080  0.046 W2  1.5747 246.746022 -24.599290
57260.16040  0.871  0.068 W1mW2  1.5747 246.746022 -24.599290
57444.78883 11.050  0.036 W1  1.5849 246.746041 -24.599286
57444.78883 10.267  0.060 W2  1.5849 246.746041 -24.599286
57444.78883  0.784  0.070 W1mW2  1.5849 246.746041 -24.599286
57445.27573 11.040  0.138 W1  1.5022 246.746023 -24.599268
57445.27573 10.302  0.049 W2  1.5022 246.746023 -24.599268
57445.27573  0.738  0.146 W1mW2  1.5022 246.746023 -24.599268
57449.18034 11.162  0.024 W1  1.6801 246.746126 -24.599271
57449.18034 10.050  0.027 W2  1.6801 246.746126 -24.599271
57449.18034  1.112  0.036 W1mW2  1.6801 246.746126 -24.599271
57618.54741 11.009  0.033 W1  1.5441 246.746020 -24.599280
57618.54741 10.116  0.276 W2  1.5441 246.746020 -24.599280
57618.54741  0.894  0.277 W1mW2  1.5441 246.746020 -24.599280
57619.11318 11.043  0.018 W1  1.5327 246.745982 -24.599293
57619.11318 10.205  0.018 W2  1.5327 246.745982 -24.599293
57619.11318  0.838  0.025 W1mW2  1.5327 246.745982 -24.599293
57811.85260 10.970  0.028 W1  1.5996 246.746040 -24.599291
57811.85260 10.130  0.066 W2  1.5996 246.746040 -24.599291
57811.85260  0.840  0.072 W1mW2  1.5996 246.746040 -24.599291
57812.31831 11.042  0.060 W1  1.5552 246.746014 -24.599287
57812.31831 10.179  0.030 W2  1.5552 246.746014 -24.599287
57812.31831  0.862  0.067 W1mW2  1.5552 246.746014 -24.599287
57978.80533 10.855  0.038 W1  1.6005 246.746003 -24.599305
57978.80533 10.025  0.031 W2  1.6005 246.746003 -24.599305
57978.80533  0.830  0.049 W1mW2  1.6005 246.746003 -24.599305
57979.31226 10.898  0.037 W1  1.5615 246.745994 -24.599296
57979.31226 10.007  0.031 W2  1.5615 246.745994 -24.599296
57979.31226  0.892  0.048 W1mW2  1.5615 246.745994 -24.599296
58175.91721 10.994  0.023 W1  1.7997 246.746056 -24.599346
58175.91721 10.245  0.040 W2  1.7997 246.746056 -24.599346
58175.91721  0.748  0.046 W1mW2  1.7997 246.746056 -24.599346
58176.45537 10.998  0.033 W1  1.5551 246.746015 -24.599287
58176.45537 10.232  0.032 W2  1.5551 246.746015 -24.599287
58176.45537  0.766  0.046 W1mW2  1.5551 246.746015 -24.599287
58338.96093 11.046  0.021 W1  1.5140 246.745926 -24.599301
58338.96093 10.308  0.020 W2  1.5140 246.745926 -24.599301
58338.96093  0.738  0.029 W1mW2  1.5140 246.745926 -24.599301
58339.51704 11.015  0.046 W1  1.5751 246.745996 -24.599301
58339.51704 10.265  0.031 W2  1.5751 246.745996 -24.599301
58339.51704  0.750  0.055 W1mW2  1.5751 246.745996 -24.599301
58540.18805 11.134  0.075 W1  1.5924 246.746030 -24.599292
58540.18805 10.464  0.397 W2  1.5924 246.746030 -24.599292
58540.18805  0.671  0.404 W1mW2  1.5924 246.746030 -24.599292
58542.95280 11.038  0.017 W1  1.6827 246.746036 -24.599318
58542.95280 10.323  0.019 W2  1.6827 246.746036 -24.599318
58542.95280  0.715  0.025 W1mW2  1.6827 246.746036 -24.599318
58543.47612 11.088  0.061 W1  1.5953 246.746014 -24.599299
58543.47612 10.319  0.062 W2  1.5953 246.746014 -24.599299
58543.47612  0.769  0.087 W1mW2  1.5953 246.746014 -24.599299
58703.50341 11.064  0.061 W1  1.6436 246.745993 -24.599321
58703.50341 10.365  0.040 W2  1.6436 246.745993 -24.599321
58703.50341  0.699  0.073 W1mW2  1.6436 246.745993 -24.599321
58704.10528 11.033  0.023 W1  1.6557 246.745983 -24.599328
58704.10528 10.249  0.132 W2  1.6557 246.745983 -24.599328
58704.10528  0.784  0.134 W1mW2  1.6557 246.745983 -24.599328
58706.54693 11.020  0.091 W1  1.5814 246.745988 -24.599304
58706.54693 10.351  0.038 W2  1.5814 246.745988 -24.599304
58706.54693  0.669  0.098 W1mW2  1.5814 246.745988 -24.599304
58707.11389 11.043  0.020 W1  1.6607 246.746009 -24.599322
58707.11389 10.320  0.019 W2  1.6607 246.746009 -24.599322
58707.11389  0.723  0.028 W1mW2  1.6607 246.746009 -24.599322
58907.57162 10.960  0.035 W1  1.6426 246.746024 -24.599310
58907.57162 10.215  0.024 W2  1.6426 246.746024 -24.599310
58907.57162  0.746  0.043 W1mW2  1.6426 246.746024 -24.599310
58908.11670 10.974  0.036 W1  1.5623 246.745995 -24.599296
58908.11670 10.219  0.032 W2  1.5623 246.745995 -24.599296
58908.11670  0.754  0.049 W1mW2  1.5623 246.745995 -24.599296
59070.64129 11.097  0.027 W1  1.6461 246.745994 -24.599321
59070.64129 10.389  0.049 W2  1.6461 246.745994 -24.599321
59070.64129  0.708  0.056 W1mW2  1.6461 246.745994 -24.599321
59071.15626 11.063  0.035 W1  1.6857 246.745994 -24.599334
