# MJD mag magerr filter flag distance ra dec
55258.04133 14.035  0.056 W1 10  0.0426  74.454238  30.255326
55257.84281 14.289  0.075 W1 10  0.0666  74.454239  30.255336
55258.17363 14.290  0.065 W1 10  0.1645  74.454200  30.255306
55257.90902 14.204  0.070 W1 10  0.2211  74.454223  30.255377
55257.31346 14.216  0.070 W1 10  0.2407  74.454178  30.255345
55258.30594 14.232  0.061 W1 10  0.2486  74.454253  30.255389
55257.71050 14.234  0.062 W1 10  0.3168  74.454245  30.255408
55257.64429 14.462  0.084 W1 10  0.3221  74.454200  30.255398
55257.77659 14.248  0.062 W1 10  0.3738  74.454234  30.255423
55257.44590 14.389  0.080 W1 10  0.3780  74.454138  30.255362
55257.77672 14.329  0.078 W1 10  0.3996  74.454201  30.255423
55257.57820 14.265  0.084 W1 10  0.4223  74.454214  30.255433
56910.66453 14.351  0.065 W1 10  0.0141  74.454247  30.255317
56720.19818 14.304  0.061 W1  0  0.0255  74.454251  30.255313
57805.14089 14.254  0.064 W1 10  0.0271  74.454254  30.255313
58893.67363 14.170  0.057 W1 10  0.0282  74.454258  30.255324
56911.12498 14.179  0.058 W1 10  0.0371  74.454251  30.255310
58525.97558 14.157  0.056 W1 10  0.0420  74.454263  30.255321
56911.38819 14.223  0.083 W1 10  0.0460  74.454247  30.255308
57804.81338 14.027  0.060 W1 10  0.0467  74.454248  30.255333
57640.30530 14.220  0.070 W1 10  0.0485  74.454261  30.255330
58525.97545 14.258  0.069 W1 10  0.0565  74.454261  30.255308
57440.29978 14.388  0.070 W1 10  0.0611  74.454231  30.255315
57275.86997 14.315  0.063 W1 10  0.0630  74.454270  30.255318
58004.14754 14.277  0.063 W1 10  0.0637  74.454270  30.255317
57078.43900 14.160  0.069 W1 10  0.0642  74.454255  30.255337
57081.72279 14.232  0.060 W1 10  0.0666  74.454269  30.255312
57640.17427 14.343  0.107 W1 10  0.0687  74.454245  30.255339
57640.56736 14.230  0.059 W1 10  0.0714  74.454259  30.255302
58004.67128 14.190  0.065 W1 10  0.0714  74.454229  30.255328
58892.95417 14.129  0.058 W1 10  0.0760  74.454274  30.255319
58735.47050 14.036  0.062 W1  5  0.0788  74.454269  30.255334
57440.88961 14.212  0.072 W1 10  0.0796  74.454238  30.255339
58526.23726 14.090  0.057 W1 10  0.0853  74.454239  30.255298
58004.40947 14.360  0.084 W1 10  0.0866  74.454248  30.255344
58526.10636 14.285  0.091 W1 10  0.0902  74.454277  30.255310
58370.72967 14.175  0.060 W1 10  0.0962  74.454223  30.255307
58003.82028 14.176  0.059 W1 10  0.0976  74.454247  30.255293
58162.33753 14.231  0.058 W1 10  0.1037  74.454217  30.255319
56719.93472 14.241  0.059 W1  5  0.1045  74.454262  30.255293
58893.08495 14.280  0.084 W1 10  0.1048  74.454269  30.255296
57441.02076 14.278  0.060 W1 10  0.1074  74.454284  30.255319
57639.91221 14.201  0.061 W1 10  0.1105  74.454232  30.255294
57078.30759 14.332  0.068 W1 10  0.1153  74.454239  30.255351
58162.14117 14.227  0.059 W1 10  0.1172  74.454247  30.255288
59100.15742 14.203  0.062 W1  5  0.1247  74.454280  30.255343
58004.54038 14.146  0.065 W1 10  0.1260  74.454286  30.255304
56719.86889 14.213  0.058 W1  5  0.1268  74.454225  30.255348
57078.70170 14.264  0.064 W1 10  0.1302  74.454287  30.255337
56911.05927 14.139  0.059 W1 10  0.1332  74.454215  30.255341
58371.12238 14.145  0.065 W1 10  0.1369  74.454208  30.255308
58371.44951 14.313  0.074 W1  5  0.1370  74.454252  30.255358
57081.85420 14.405  0.070 W1  0  0.1378  74.454290  30.255336
56719.80305 14.168  0.055 W1 10  0.1386  74.454217  30.255346
57804.68247 14.241  0.063 W1 10  0.1428  74.454271  30.255285
58893.93518 14.094  0.063 W1 10  0.1490  74.454203  30.255313
58735.33972 14.173  0.061 W1 10  0.1503  74.454223  30.255354
57805.20634 14.183  0.059 W1 10  0.1505  74.454273  30.255283
57275.67311 14.365  0.066 W1 10  0.1542  74.454289  30.255347
58162.59934 14.114  0.065 W1 10  0.1650  74.454221  30.255282
58893.28117 14.298  0.066 W1 10  0.1653  74.454266  30.255364
58003.82015 14.222  0.066 W1 10  0.1691  74.454207  30.255292
58162.46843 14.273  0.061 W1 10  0.1733  74.454201  30.255297
58526.69517 14.201  0.067 W1 10  0.1753  74.454251  30.255271
57078.57041 14.205  0.065 W1 10  0.1779  74.454219  30.255362
57440.69300 14.283  0.060 W1 10  0.1810  74.454281  30.255277
56719.47376 14.112  0.073 W1 10  0.1825  74.454195  30.255303
57639.45366 14.144  0.058 W1 10  0.1829  74.454309  30.255319
58893.21572 14.207  0.064 W1 10  0.1855  74.454309  30.255313
58526.82607 14.133  0.060 W1 10  0.1873  74.454273  30.255368
57440.75858 14.180  0.057 W1 10  0.1896  74.454191  30.255334
59103.16552 14.279  0.096 W1 10  0.1905  74.454308  30.255338
58528.98471 14.297  0.093 W1 10  0.1938  74.454308  30.255300
57276.00113 14.259  0.066 W1 10  0.1938  74.454188  30.255321
58371.71131 14.237  0.060 W1 10  0.1956  74.454189  30.255334
56911.38806 14.141  0.065 W1 10  0.1968  74.454187  30.255314
58003.68925 14.190  0.059 W1 10  0.1993  74.454261  30.255265
58735.60127 14.224  0.064 W1 10  0.2006  74.454286  30.255274
56915.99222 14.188  0.062 W1 10  0.2025  74.454277  30.255371
57639.71573 14.215  0.062 W1 10  0.2032  74.454232  30.255374
57275.80427 14.142  0.072 W1 10  0.2040  74.454227  30.255373
57275.93555 14.149  0.060 W1 10  0.2050  74.454315  30.255312
57275.41079 14.271  0.082 W1 10  0.2063  74.454316  30.255322
57081.32881 14.223  0.063 W1 10  0.2087  74.454289  30.255273
57640.43633 14.167  0.064 W1  5  0.2106  74.454195  30.255354
58893.34663 14.172  0.060 W1 10  0.2121  74.454201  30.255279
58529.70442 14.111  0.065 W1  5  0.2144  74.454296  30.255365
56910.92773 14.254  0.063 W1 10  0.2153  74.454311  30.255292
58893.80441 14.176  0.064 W1 10  0.2178  74.454180  30.255325
58529.83520 14.212  0.065 W1 10  0.2187  74.454265  30.255261
57082.05120 14.179  0.059 W1 10  0.2193  74.454312  30.255291
58526.56439 14.292  0.063 W1 10  0.2206  74.454190  30.255287
58370.99147 14.153  0.064 W1 10  0.2213  74.454313  30.255292
56910.79619 14.118  0.058 W1 10  0.2289  74.454177  30.255317
59099.30732 14.238  0.063 W1 10  0.2308  74.454202  30.255271
57081.78850 14.122  0.056 W1 10  0.2325  74.454309  30.255360
57081.19740 14.208  0.058 W1 10  0.2356  74.454176  30.255306
56910.86190 14.246  0.061 W1 10  0.2372  74.454307  30.255364
59099.17654 14.194  0.060 W1  5  0.2438  74.454268  30.255254
58370.86057 14.187  0.059 W1  5  0.2443  74.454242  30.255253
58735.73218 14.211  0.066 W1 10  0.2477  74.454178  30.255350
58529.18094 14.082  0.077 W1 10  0.2478  74.454171  30.255326
56911.25652 14.251  0.063 W1 10  0.2480  74.454285  30.255382
56719.73722 14.112  0.053 W1 10  0.2482  74.454175  30.255343
59100.02665 14.263  0.067 W1  5  0.2483  74.454279  30.255256
58161.74845 14.205  0.063 W1 10  0.2488  74.454245  30.255251
58526.30258 14.341  0.068 W1 10  0.2546  74.454285  30.255384
57276.26345 14.318  0.065 W1 10  0.2559  74.454192  30.255370
57081.91991 14.248  0.068 W1 10  0.2569  74.454246  30.255249
57440.43081 14.302  0.070 W1 10  0.2631  74.454283  30.255387
57078.76741 14.134  0.061 W1 10  0.2661  74.454191  30.255374
58735.01259 14.257  0.064 W1 10  0.2672  74.454202  30.255258
58161.87936 14.157  0.070 W1 10  0.2681  74.454164  30.255325
58526.95698 14.188  0.069 W1 10  0.2716  74.454336  30.255330
59099.69964 14.242  0.077 W1  5  0.2717  74.454185  30.255269
57078.57029 14.171  0.078 W1 10  0.2725  74.454249  30.255244
56910.53299 14.162  0.057 W1 10  0.2729  74.454244  30.255396
57441.28295 14.203  0.059 W1 10  0.2761  74.454183  30.255371
57079.03010 14.229  0.068 W1 10  0.2826  74.454203  30.255387
58371.31873 14.402  0.073 W1 10  0.2860  74.454260  30.255241
58162.73024 14.129  0.059 W1 10  0.2903  74.454243  30.255400
58735.27427 14.113  0.109 W1 10  0.2975  74.454346  30.255325
59099.63432 14.299  0.067 W1  0  0.3082  74.454173  30.255266
57640.10882 14.111  0.058 W1 10  0.3123  74.454346  30.255345
57082.18261 14.120  0.056 W1 10  0.3134  74.454150  30.255311
58162.20662 14.167  0.065 W1 10  0.3164  74.454242  30.255232
57440.95519 14.208  0.058 W1  5  0.3203  74.454264  30.255408
57639.84676 14.287  0.077 W1 10  0.3223  74.454147  30.255308
57805.53386 14.159  0.057 W1 10  0.3300  74.454353  30.255297
56720.06651 14.164  0.060 W1 10  0.3335  74.454241  30.255228
59103.03525 14.164  0.069 W1  5  0.3343  74.454148  30.255291
58162.07572 14.162  0.057 W1 10  0.3372  74.454156  30.255273
57276.13229 14.262  0.081 W1 10  0.3377  74.454308  30.255241
57805.40283 14.196  0.059 W1 10  0.3429  74.454246  30.255225
58526.43349 14.201  0.058 W1 10  0.3483  74.454242  30.255223
57639.97779 14.059  0.057 W1 10  0.3508  74.454172  30.255249
57804.81350 14.232  0.070 W1 10  0.3517  74.454186  30.255240
58371.18783 14.244  0.061 W1 10  0.3633  74.454146  30.255367
58526.30271 14.141  0.065 W1 10  0.3698  74.454258  30.255218
58003.95119 14.115  0.060 W1 10  0.3841  74.454143  30.255267
57275.27951 14.312  0.071 W1 10  0.3878  74.454289  30.255422
59099.76509 14.168  0.062 W1  5  0.3880  74.454146  30.255380
57275.73869 14.221  0.058 W1 10  0.3951  74.454226  30.255428
58162.27208 14.116  0.053 W1  5  0.3973  74.454204  30.255423
57805.00986 14.450  0.076 W1 10  0.3991  74.454204  30.255217
58004.21299 14.260  0.084 W1 10  0.4025  74.454186  30.255223
58004.27844 14.260  0.062 W1 10  0.4105  74.454299  30.255214
56911.51960 14.236  0.062 W1 10  0.4114  74.454357  30.255252
59099.56887 14.248  0.073 W1  0  0.4144  74.454120  30.255294
58529.11549 14.212  0.116 W1 10  0.4174  74.454120  30.255291
58893.47740 14.230  0.059 W1 10  0.4218  74.454189  30.255425
57081.46009 14.108  0.053 W1 10  0.4218  74.454279  30.255205
57805.07544 14.219  0.060 W1 10  0.4243  74.454172  30.255223
58893.54285 14.172  0.057 W1  5  0.4288  74.454213  30.255205
57440.82416 14.069  0.085 W1 10  0.4327  74.454125  30.255267
58526.36804 14.241  0.058 W1  5  0.4450  74.454232  30.255197
56719.34209 14.277  0.071 W1 10  0.4470  74.454220  30.255441
56910.99344 14.238  0.065 W1 10  0.4614  74.454211  30.255444
57078.96440 14.099  0.070 W1  5  0.4616  74.454185  30.255205
57639.58469 14.192  0.063 W1 10  0.4763  74.454113  30.255379
57640.04324 14.307  0.068 W1 10  0.4798  74.454352  30.255420
57081.59151 14.913  0.095 W1  0  0.4847  74.454405  30.255309
56910.66465 14.270  0.068 W1 10  0.4880  74.454146  30.255421
58004.08209 14.270  0.065 W1 10  0.4888  74.454353  30.255218
58529.31184 14.238  0.097 W1 10  0.4951  74.454261  30.255183
57078.83311 14.179  0.080 W1 10  0.4958  74.454125  30.255406
57275.54195 14.326  0.071 W1 10  0.4998  74.454126  30.255408
57078.89869 14.191  0.072 W1 10  0.5006  74.454320  30.255195
58529.24639 14.355  0.094 W1 10  0.5017  74.454210  30.255185
57804.94441 14.183  0.061 W1 10  0.5044  74.454125  30.255231
57805.27192 14.102  0.056 W1 10  0.5052  74.454112  30.255394
58526.49843 14.179  0.056 W1  5  0.5209  74.454189  30.255455
57441.15179 14.104  0.057 W1  5  0.5254  74.454200  30.255459
57440.56197 14.395  0.066 W1  5  0.5337  74.454094  30.255382
58004.34402 14.251  0.081 W1  5  0.5407  74.454295  30.255175
59099.89587 14.240  0.063 W1  5  0.5724  74.454430  30.255288
58734.88182 14.134  0.059 W1 10  0.5837  74.454437  30.255329
58371.58041 14.271  0.103 W1 10  0.5849  74.454438  30.255315
57081.65721 14.501  0.094 W1 10  0.6108  74.454441  30.255360
58893.41195 14.269  0.069 W1 10  0.6163  74.454305  30.255156
58735.40505 14.197  0.076 W1  5  0.6344  74.454181  30.255154
58529.44262 13.956  0.159 W1 10  0.6363  74.454391  30.255192
59099.50354 14.477  0.078 W1  0  0.6762  74.454036  30.255289
58735.14337 14.410  0.087 W1 10  0.7053  74.454027  30.255356
59099.43809 14.814  0.123 W1  0  0.7187  74.454086  30.255179
58735.86295 14.703  0.192 W1  0  0.7313  74.454042  30.255415
56719.60542 14.168  0.068 W1  5  0.7513  74.454070  30.255459
58529.57352 14.253  0.079 W1 10  0.7603  74.454251  30.255109
55258.04133 13.916  0.141 W2 10  0.0426  74.454238  30.255326
55257.84281 13.828  0.122 W2 10  0.0666  74.454239  30.255336
55258.17363 13.552  0.101 W2 10  0.1645  74.454200  30.255306
55257.90902 13.904  0.147 W2 10  0.2211  74.454223  30.255377
55257.31346 13.969  0.134 W2 10  0.2407  74.454178  30.255345
55258.30594 14.317  0.189 W2 10  0.2486  74.454253  30.255389
55257.71050 13.782  0.123 W2 10  0.3168  74.454245  30.255408
55257.64429 13.753  0.111 W2 10  0.3221  74.454200  30.255398
55257.77659 13.759  0.116 W2 10  0.3738  74.454234  30.255423
55257.44590 13.810  0.124 W2 10  0.3780  74.454138  30.255362
55257.77672 13.837  0.126 W2 10  0.3996  74.454201  30.255423
55257.57820 13.940  0.132 W2 10  0.4223  74.454214  30.255433
56910.66453 13.792  0.148 W2 10  0.0141  74.454247  30.255317
56720.19818 14.037  0.166 W2  0  0.0255  74.454251  30.255313
57805.14089 13.918  0.154 W2 10  0.0271  74.454254  30.255313
58893.67363 13.751  0.215 W2 10  0.0282  74.454258  30.255324
56911.12498 14.102  0.166 W2 10  0.0371  74.454251  30.255310
58525.97558 13.821  0.126 W2 10  0.0420  74.454263  30.255321
56911.38819 13.998  0.168 W2 10  0.0460  74.454247  30.255308
57804.81338 13.911  0.139 W2 10  0.0467  74.454248  30.255333
57640.30530 14.264  0.248 W2 10  0.0485  74.454261  30.255330
58525.97545 13.955  0.148 W2 10  0.0565  74.454261  30.255308
57440.29978 13.723  0.108 W2 10  0.0611  74.454231  30.255315
57275.86997 14.016  0.221 W2 10  0.0630  74.454270  30.255318
58004.14754 13.900  0.174 W2 10  0.0637  74.454270  30.255317
57078.43900 13.730  0.180 W2 10  0.0642  74.454255  30.255337
57081.72279 14.010  0.207 W2 10  0.0666  74.454269  30.255312
57640.17427 14.105  0.175 W2 10  0.0687  74.454245  30.255339
57640.56736 13.816  0.166 W2 10  0.0714  74.454259  30.255302
58004.67128 13.704  0.122 W2 10  0.0714  74.454229  30.255328
58892.95417 13.864  0.164 W2 10  0.0760  74.454274  30.255319
58735.47050 13.577  0.119 W2  5  0.0788  74.454269  30.255334
57440.88961 14.658  0.353 W2 10  0.0796  74.454238  30.255339
58526.23726 14.086  0.239 W2 10  0.0853  74.454239  30.255298
58004.40947 14.211  0.211 W2 10  0.0866  74.454248  30.255344
58526.10636 13.910  0.154 W2 10  0.0902  74.454277  30.255310
58370.72967 13.935  0.179 W2 10  0.0962  74.454223  30.255307
58003.82028 13.891  0.160 W2 10  0.0976  74.454247  30.255293
58162.33753 13.612  0.133 W2 10  0.1037  74.454217  30.255319
56719.93472 14.043  0.154 W2  5  0.1045  74.454262  30.255293
58893.08495 14.036  0.170 W2 10  0.1048  74.454269  30.255296
57441.02076 13.957  0.223 W2 10  0.1074  74.454284  30.255319
57639.91221 13.756  0.151 W2 10  0.1105  74.454232  30.255294
57078.30759 13.744  0.139 W2 10  0.1153  74.454239  30.255351
58162.14117 13.897  0.138 W2 10  0.1172  74.454247  30.255288
59100.15742 13.699  0.170 W2  5  0.1247  74.454280  30.255343
58004.54038 14.003  0.210 W2 10  0.1260  74.454286  30.255304
56719.86889 13.706  0.130 W2  5  0.1268  74.454225  30.255348
57078.70170 14.175  0.335 W2 10  0.1302  74.454287  30.255337
56911.05927 13.730  0.146 W2 10  0.1332  74.454215  30.255341
58371.12238 13.700  0.145 W2 10  0.1369  74.454208  30.255308
58371.44951 13.810  0.126 W2  5  0.1370  74.454252  30.255358
57081.85420 13.860  0.159 W2  0  0.1378  74.454290  30.255336
56719.80305 13.850  0.133 W2 10  0.1386  74.454217  30.255346
57804.68247 14.117  0.168 W2 10  0.1428  74.454271  30.255285
58893.93518 13.901  0.134 W2 10  0.1490  74.454203  30.255313
58735.33972 13.841  0.138 W2 10  0.1503  74.454223  30.255354
57805.20634 13.881  0.142 W2 10  0.1505  74.454273  30.255283
57275.67311 13.676  0.161 W2 10  0.1542  74.454289  30.255347
58162.59934 13.546  0.116 W2 10  0.1650  74.454221  30.255282
58893.28117 13.966  0.190 W2 10  0.1653  74.454266  30.255364
58003.82015 13.831  0.143 W2 10  0.1691  74.454207  30.255292
58162.46843 13.960  0.130 W2 10  0.1733  74.454201  30.255297
58526.69517 14.047  0.164 W2 10  0.1753  74.454251  30.255271
57078.57041 13.940  0.190 W2 10  0.1779  74.454219  30.255362
57440.69300 13.746  0.157 W2 10  0.1810  74.454281  30.255277
56719.47376 13.894  0.132 W2 10  0.1825  74.454195  30.255303
57639.45366 13.983  0.149 W2 10  0.1829  74.454309  30.255319
58893.21572 13.848  0.131 W2 10  0.1855  74.454309  30.255313
58526.82607 13.676  0.138 W2 10  0.1873  74.454273  30.255368
57440.75858 13.866  0.128 W2 10  0.1896  74.454191  30.255334
59103.16552 13.630  0.194 W2 10  0.1905  74.454308  30.255338
58528.98471 13.765  0.324 W2 10  0.1938  74.454308  30.255300
57276.00113 14.113  0.311 W2 10  0.1938  74.454188  30.255321
58371.71131 14.003  0.215 W2 10  0.1956  74.454189  30.255334
56911.38806 13.792  0.173 W2 10  0.1968  74.454187  30.255314
58003.68925 13.894  0.162 W2 10  0.1993  74.454261  30.255265
58735.60127 13.841  0.136 W2 10  0.2006  74.454286  30.255274
56915.99222 14.256  0.410 W2 10  0.2025  74.454277  30.255371
57639.71573 13.551  0.158 W2 10  0.2032  74.454232  30.255374
57275.80427 13.894  0.180 W2 10  0.2040  74.454227  30.255373
57275.93555 13.533  0.108 W2 10  0.2050  74.454315  30.255312
57275.41079 13.938  0.171 W2 10  0.2063  74.454316  30.255322
57081.32881 13.855  0.180 W2 10  0.2087  74.454289  30.255273
57640.43633 13.728  0.123 W2  5  0.2106  74.454195  30.255354
58893.34663 13.907  0.142 W2 10  0.2121  74.454201  30.255279
58529.70442 13.973  0.284 W2  5  0.2144  74.454296  30.255365
