# MJD mag magerr filter distance ra dec
55282.49335 10.808  0.034 W1  0.9007 276.490243  -3.951055
55282.49335 10.820  0.038 W2  0.9007 276.490243  -3.951055
55282.49335 -0.012  0.051 W1mW2  0.9007 276.490243  -3.951055
56747.07334 10.808  0.027 W1  0.9286 276.490256  -3.951074
56747.07334 10.845  0.039 W2  0.9286 276.490256  -3.951074
56747.07334 -0.037  0.048 W1mW2  0.9286 276.490256  -3.951074
56927.04431 10.819  0.025 W1  0.9178 276.490252  -3.951068
56927.04431 10.830  0.031 W2  0.9178 276.490252  -3.951068
56927.04431 -0.012  0.040 W1mW2  0.9178 276.490252  -3.951068
57108.98093 10.815  0.030 W1  0.9442 276.490260  -3.951075
57108.98093 10.836  0.035 W2  0.9442 276.490260  -3.951075
57108.98093 -0.021  0.046 W1mW2  0.9442 276.490260  -3.951075
57287.24180 10.810  0.031 W1  0.9306 276.490255  -3.951067
57287.24180 10.829  0.037 W2  0.9306 276.490255  -3.951067
57287.24180 -0.018  0.048 W1mW2  0.9306 276.490255  -3.951067
57473.28003 10.814  0.027 W1  0.9401 276.490258  -3.951073
57473.28003 10.823  0.048 W2  0.9401 276.490258  -3.951073
57473.28003 -0.009  0.055 W1mW2  0.9401 276.490258  -3.951073
57647.54439 10.806  0.033 W1  0.9140 276.490252  -3.951076
57647.54439 10.834  0.030 W2  0.9140 276.490252  -3.951076
57647.54439 -0.028  0.045 W1mW2  0.9140 276.490252  -3.951076
57840.34002 10.819  0.023 W1  0.9239 276.490255  -3.951079
57840.34002 10.834  0.040 W2  0.9239 276.490255  -3.951079
57840.34002 -0.015  0.046 W1mW2  0.9239 276.490255  -3.951079
58008.00962 10.813  0.026 W1  0.9003 276.490249  -3.951081
58008.00962 10.817  0.036 W2  0.9003 276.490249  -3.951081
58008.00962 -0.004  0.044 W1mW2  0.9003 276.490249  -3.951081
58204.49605 10.816  0.031 W1  0.9501 276.490262  -3.951074
58204.49605 10.852  0.029 W2  0.9501 276.490262  -3.951074
58204.49605 -0.036  0.043 W1mW2  0.9501 276.490262  -3.951074
58368.49487 10.813  0.022 W1  0.9060 276.490250  -3.951076
58368.49487 10.851  0.030 W2  0.9060 276.490250  -3.951076
58368.49487 -0.038  0.037 W1mW2  0.9060 276.490250  -3.951076
58570.05544 10.829  0.064 W1  0.9320 276.490257  -3.951079
58570.05544 10.851  0.061 W2  0.9320 276.490257  -3.951079
58570.05544 -0.022  0.089 W1mW2  0.9320 276.490257  -3.951079
58734.09376 10.818  0.032 W1  0.9226 276.490253  -3.951070
58734.09376 10.846  0.041 W2  0.9226 276.490253  -3.951070
58734.09376 -0.028  0.052 W1mW2  0.9226 276.490253  -3.951070
58935.83195 10.821  0.025 W1  0.9409 276.490260  -3.951078
58935.80322 10.827  0.033 W2  0.9464 276.490261  -3.951075
58935.83195 -0.006  0.041 W1mW2  0.9409 276.490260  -3.951078
59099.76066 10.808  0.040 W1  0.9332 276.490255  -3.951065
59099.76066 10.845  0.039 W2  0.9332 276.490255  -3.951065
59099.76066 -0.037  0.056 W1mW2  0.9332 276.490255  -3.951065
