# MJD mag magerr filter distance ra dec
55284.59998 11.876  0.089 W1  0.7160 277.949775  -2.224438
55284.59998 11.899  0.136 W2  0.7160 277.949775  -2.224438
55284.59998 -0.023  0.163 W1mW2  0.7160 277.949775  -2.224438
56748.66555 11.847  0.073 W1  0.8406 277.949809  -2.224459
56748.66555 11.932  0.086 W2  0.8406 277.949809  -2.224459
56748.66555 -0.085  0.113 W1mW2  0.8406 277.949809  -2.224459
56928.52191 11.882  0.058 W1  0.8745 277.949817  -2.224472
56928.52191 11.914  0.110 W2  0.8745 277.949817  -2.224472
56928.52191 -0.031  0.124 W1mW2  0.8745 277.949817  -2.224472
57110.54003 11.892  0.255 W1  0.7737 277.949788  -2.224461
57110.54003 12.015  0.265 W2  0.7737 277.949788  -2.224461
57110.54003 -0.122  0.368 W1mW2  0.7737 277.949788  -2.224461
57289.84416 11.873  0.077 W1  0.8221 277.949800  -2.224459
57289.84416 11.955  0.099 W2  0.8221 277.949800  -2.224459
57289.84416 -0.082  0.126 W1mW2  0.8221 277.949800  -2.224459
57475.10801 11.864  0.085 W1  0.7463 277.949779  -2.224454
57475.10801 11.946  0.095 W2  0.7463 277.949779  -2.224454
57475.10801 -0.082  0.127 W1mW2  0.7463 277.949779  -2.224454
57648.98330 11.869  0.065 W1  0.6916 277.949765  -2.224432
57648.98330 11.960  0.090 W2  0.6916 277.949765  -2.224432
57648.98330 -0.091  0.111 W1mW2  0.6916 277.949765  -2.224432
57841.82252 11.889  0.064 W1  0.7741 277.949786  -2.224441
57841.82252 11.947  0.096 W2  0.7741 277.949786  -2.224441
57841.82252 -0.058  0.115 W1mW2  0.7741 277.949786  -2.224441
58009.47913 11.879  0.077 W1  0.8776 277.949820  -2.224436
58009.47913 11.945  0.087 W2  0.8776 277.949820  -2.224436
58009.47913 -0.067  0.116 W1mW2  0.8776 277.949820  -2.224436
58206.02431 11.841  0.093 W1  0.7979 277.949786  -2.224425
58206.02431 11.976  0.098 W2  0.7979 277.949786  -2.224425
58206.02431 -0.136  0.135 W1mW2  0.7979 277.949786  -2.224425
58370.05373 11.891  0.068 W1  0.8501 277.949813  -2.224457
58370.05373 11.996  0.088 W2  0.8501 277.949813  -2.224457
58370.05373 -0.105  0.111 W1mW2  0.8501 277.949813  -2.224457
58572.53402 11.870  0.071 W1  0.7527 277.949785  -2.224448
58572.53402 11.959  0.092 W2  0.7527 277.949785  -2.224448
58572.53402 -0.089  0.116 W1mW2  0.7527 277.949785  -2.224448
58736.60653 11.925  0.133 W1  0.8046 277.949784  -2.224428
58736.60653 12.070  0.235 W2  0.8046 277.949784  -2.224428
58736.60653 -0.145  0.270 W1mW2  0.8046 277.949784  -2.224428
58937.30534 11.846  0.077 W1  0.7385 277.949782  -2.224449
58937.30534 11.952  0.084 W2  0.7385 277.949782  -2.224449
58937.30534 -0.106  0.114 W1mW2  0.7385 277.949782  -2.224449
59101.33975 11.888  0.081 W1  0.7794 277.949788  -2.224444
59101.33975 11.982  0.094 W2  0.7794 277.949788  -2.224444
59101.33975 -0.094  0.125 W1mW2  0.7794 277.949788  -2.224444
