# MJD mag magerr filter distance ra dec
55263.76889 11.915  0.116 W1  0.2396  83.751057  -4.935764
55263.76889 11.344  0.323 W2  0.2396  83.751057  -4.935764
55263.76889  0.571  0.344 W1mW2  0.2396  83.751057  -4.935764
56728.23111 11.965  0.115 W1  0.2391  83.751053  -4.935755
56728.23111 11.734  0.168 W2  0.2391  83.751053  -4.935755
56728.23111  0.230  0.204 W1mW2  0.2391  83.751053  -4.935755
56919.59086 11.905  0.090 W1  0.2014  83.751085  -4.935766
56919.59086 11.595  0.125 W2  0.2014  83.751085  -4.935766
56919.59086  0.310  0.154 W1mW2  0.2014  83.751085  -4.935766
57087.54613 11.984  0.105 W1  0.2623  83.751044  -4.935759
57087.54613 11.691  0.128 W2  0.2623  83.751044  -4.935759
57087.54613  0.293  0.166 W1mW2  0.2623  83.751044  -4.935759
57281.79403 11.910  0.099 W1  0.2049  83.751088  -4.935774
57281.79403 11.618  0.098 W2  0.2049  83.751088  -4.935774
57281.79403  0.291  0.139 W1mW2  0.2049  83.751088  -4.935774
57446.73859 11.944  0.130 W1  0.2060  83.751057  -4.935773
57446.73859 11.673  0.195 W2  0.2060  83.751057  -4.935773
57446.73859  0.272  0.235 W1mW2  0.2060  83.751057  -4.935773
57646.55866 11.980  0.093 W1  0.2723  83.751069  -4.935751
57646.55866 11.708  0.104 W2  0.2723  83.751069  -4.935751
57646.55866  0.272  0.140 W1mW2  0.2723  83.751069  -4.935751
57811.61774 11.923  0.088 W1  0.2429  83.751055  -4.935755
57811.61774 11.702  0.085 W2  0.2429  83.751055  -4.935755
57811.61774  0.222  0.122 W1mW2  0.2429  83.751055  -4.935755
58013.05223 11.896  0.088 W1  0.2432  83.751067  -4.935750
58013.05223 11.608  0.097 W2  0.2432  83.751067  -4.935750
58013.05223  0.288  0.131 W1mW2  0.2432  83.751067  -4.935750
58168.52146 11.816  0.087 W1  0.1943  83.751064  -4.935769
58168.52146 11.486  0.097 W2  0.1943  83.751064  -4.935769
58168.52146  0.329  0.130 W1mW2  0.1943  83.751064  -4.935769
58377.20453 11.935  0.104 W1  0.2451  83.751081  -4.935748
58377.20453 11.640  0.115 W2  0.2451  83.751081  -4.935748
58377.20453  0.295  0.155 W1mW2  0.2451  83.751081  -4.935748
58534.97402 11.914  0.097 W1  0.1768  83.751060  -4.935775
58534.97402 11.635  0.109 W2  0.1768  83.751060  -4.935775
58534.97402  0.279  0.146 W1mW2  0.1768  83.751060  -4.935775
58741.91293 11.924  0.069 W1  0.1691  83.751079  -4.935781
58741.91293 11.652  0.145 W2  0.1691  83.751079  -4.935781
58741.91293  0.272  0.161 W1mW2  0.1691  83.751079  -4.935781
58899.15679 11.884  0.065 W1  0.2218  83.751075  -4.935773
58899.15679 11.623  0.122 W2  0.2218  83.751075  -4.935773
58899.15679  0.261  0.138 W1mW2  0.2218  83.751075  -4.935773
59108.49999 11.857  0.074 W1  0.2200  83.751082  -4.935755
59108.53019 11.532  0.094 W2  0.2164  83.751080  -4.935756
59108.49999  0.324  0.120 W1mW2  0.2200  83.751082  -4.935755
