# MJD mag magerr filter distance ra dec
55263.59233 10.850  0.120 W1  0.3447  83.768738  -5.587330
55263.59233  9.145  0.038 W2  0.3447  83.768738  -5.587330
55263.59233  1.706  0.125 W1mW2  0.3447  83.768738  -5.587330
55264.18785 10.875  0.028 W1  0.2587  83.768777  -5.587343
55264.18785  9.236  0.021 W2  0.2587  83.768777  -5.587343
55264.18785  1.639  0.035 W1mW2  0.2587  83.768777  -5.587343
56724.53798 10.728  0.020 W1  0.2658  83.768800  -5.587257
56724.53798  9.530  0.025 W2  0.2658  83.768800  -5.587257
56724.53798  1.198  0.032 W1mW2  0.2658  83.768800  -5.587257
56728.48291 10.842  0.192 W1  0.2381  83.768788  -5.587325
56728.48291  9.381  0.043 W2  0.2381  83.768788  -5.587325
56728.48291  1.461  0.197 W1mW2  0.2381  83.768788  -5.587325
56729.01569 10.719  0.017 W1  0.1055  83.768761  -5.587328
56729.01569  9.348  0.015 W2  0.1055  83.768761  -5.587328
56729.01569  1.371  0.023 W1mW2  0.1055  83.768761  -5.587328
56915.73576 11.530  0.089 W1  0.3687  83.768729  -5.587248
56915.73576  9.385  0.016 W2  0.3687  83.768729  -5.587248
56915.73576  2.145  0.090 W1mW2  0.3687  83.768729  -5.587248
56919.69027 11.032  0.244 W1  0.3185  83.768792  -5.587255
56919.69027  9.377  0.032 W2  0.3185  83.768792  -5.587255
56919.69027  1.654  0.246 W1mW2  0.3185  83.768792  -5.587255
56920.22139 10.810  0.075 W1  0.3032  83.768813  -5.587252
56920.22139  9.403  0.032 W2  0.3032  83.768813  -5.587252
56920.22139  1.407  0.082 W1mW2  0.3032  83.768813  -5.587252
57086.97013 11.304  0.029 W1  0.1301  83.768775  -5.587363
57086.97013  9.411  0.013 W2  0.1301  83.768775  -5.587363
57086.97013  1.893  0.032 W1mW2  0.1301  83.768775  -5.587363
57087.53131 10.825  0.204 W1  0.1663  83.768782  -5.587318
57087.53131  9.417  0.025 W2  0.1663  83.768782  -5.587318
57087.53131  1.409  0.206 W1mW2  0.1663  83.768782  -5.587318
57088.08651 10.841  0.018 W1  0.1732  83.768838  -5.587321
57088.08651  9.400  0.015 W2  0.1732  83.768838  -5.587321
57088.08651  1.441  0.023 W1mW2  0.1732  83.768838  -5.587321
57281.63578 11.109  0.226 W1  0.4316  83.768790  -5.587228
57281.63578  9.507  0.041 W2  0.4316  83.768790  -5.587228
57281.63578  1.602  0.230 W1mW2  0.4316  83.768790  -5.587228
57282.17364 10.971  0.282 W1  0.4552  83.768806  -5.587210
57282.17364  9.488  0.038 W2  0.4552  83.768806  -5.587210
57282.17364  1.482  0.284 W1mW2  0.4552  83.768806  -5.587210
57446.52653 11.124  0.240 W1  0.3021  83.768785  -5.587318
57446.52653  9.423  0.046 W2  0.3021  83.768785  -5.587318
57446.52653  1.701  0.245 W1mW2  0.3021  83.768785  -5.587318
57447.10988 11.044  0.131 W1  0.2939  83.768819  -5.587262
57447.10988  9.389  0.016 W2  0.2939  83.768819  -5.587262
57447.10988  1.656  0.132 W1mW2  0.2939  83.768819  -5.587262
57645.72305 11.020  0.181 W1  0.4052  83.768775  -5.587235
57645.72305  9.558  0.036 W2  0.4052  83.768775  -5.587235
57645.72305  1.462  0.185 W1mW2  0.4052  83.768775  -5.587235
57646.20784 11.142  0.212 W1  0.3890  83.768791  -5.587231
57646.20784  9.541  0.039 W2  0.3890  83.768791  -5.587231
57646.20784  1.601  0.215 W1mW2  0.3890  83.768791  -5.587231
57654.26554 10.813  0.020 W1  0.6414  83.768834  -5.587157
57654.26554  9.592  0.018 W2  0.6414  83.768834  -5.587157
57654.26554  1.221  0.027 W1mW2  0.6414  83.768834  -5.587157
57810.68625 11.294  0.308 W1  0.2830  83.768766  -5.587299
57810.68625  9.631  0.055 W2  0.2830  83.768766  -5.587299
57810.68625  1.663  0.313 W1mW2  0.2830  83.768766  -5.587299
57811.22468 11.110  0.260 W1  0.3801  83.768824  -5.587254
57811.22468  9.587  0.054 W2  0.3801  83.768824  -5.587254
57811.22468  1.523  0.266 W1mW2  0.3801  83.768824  -5.587254
57818.42828 11.205  0.026 W1  0.2354  83.768730  -5.587304
57818.42828  9.582  0.017 W2  0.2354  83.768730  -5.587304
57818.42828  1.623  0.031 W1mW2  0.2354  83.768730  -5.587304
58012.76320 11.205  0.201 W1  0.4760  83.768826  -5.587226
58012.76320  9.552  0.046 W2  0.4760  83.768826  -5.587226
58012.76320  1.653  0.206 W1mW2  0.4760  83.768826  -5.587226
58013.28694 11.014  0.183 W1  0.4065  83.768771  -5.587223
58013.28694  9.543  0.065 W2  0.4065  83.768771  -5.587223
58013.28694  1.471  0.194 W1mW2  0.4065  83.768771  -5.587223
58167.76323 11.015  0.215 W1  0.1745  83.768783  -5.587304
58167.76323  9.612  0.028 W2  0.1745  83.768783  -5.587304
58167.76323  1.404  0.217 W1mW2  0.1745  83.768783  -5.587304
58168.22139 11.149  0.208 W1  0.3305  83.768765  -5.587274
58168.22139  9.586  0.050 W2  0.3305  83.768765  -5.587274
58168.22139  1.563  0.213 W1mW2  0.3305  83.768765  -5.587274
58173.98063 11.153  0.023 W1  0.2519  83.768810  -5.587263
58173.98063  9.685  0.018 W2  0.2519  83.768810  -5.587263
