# MJD mag magerr filter distance ra dec
55264.80900 12.358  0.292 W1  0.2323  85.291899  -9.494669
55264.80900 11.844  0.094 W2  0.2323  85.291899  -9.494669
55264.80900  0.514  0.307 W1mW2  0.2323  85.291899  -9.494669
55265.31185 12.489  0.040 W1  0.2284  85.291876  -9.494673
55265.31185 11.861  0.063 W2  0.2284  85.291876  -9.494673
55265.31185  0.628  0.075 W1mW2  0.2284  85.291876  -9.494673
56724.66888 12.437  0.029 W1  0.1137  85.291892  -9.494581
56724.66888 11.903  0.035 W2  0.1137  85.291892  -9.494581
56724.66888  0.534  0.045 W1mW2  0.1137  85.291892  -9.494581
56729.80518 12.525  0.047 W1  0.2885  85.291897  -9.494683
56729.80518 11.956  0.085 W2  0.2885  85.291897  -9.494683
56729.80518  0.569  0.097 W1mW2  0.2885  85.291897  -9.494683
56730.21343 12.527  0.039 W1  0.2076  85.291885  -9.494666
56730.21343 11.962  0.061 W2  0.2076  85.291885  -9.494666
56730.21343  0.566  0.072 W1mW2  0.2076  85.291885  -9.494666
56915.80223 12.524  0.025 W1  0.3122  85.291899  -9.494695
56915.80223 12.015  0.043 W2  0.3122  85.291899  -9.494695
56915.80223  0.509  0.050 W1mW2  0.3122  85.291899  -9.494695
56920.86665 12.529  0.042 W1  0.2160  85.291871  -9.494670
56920.86665 11.974  0.045 W2  0.2160  85.291871  -9.494670
56920.86665  0.555  0.062 W1mW2  0.2160  85.291871  -9.494670
56921.46589 12.529  0.039 W1  0.2315  85.291904  -9.494666
56921.46589 11.988  0.068 W2  0.2315  85.291904  -9.494666
56921.46589  0.541  0.078 W1mW2  0.2315  85.291904  -9.494666
57088.70970 12.441  0.027 W1  0.2259  85.291892  -9.494669
57088.70970 11.928  0.053 W2  0.2259  85.291892  -9.494669
57088.70970  0.513  0.059 W1mW2  0.2259  85.291892  -9.494669
57089.25149 12.465  0.038 W1  0.2558  85.291891  -9.494677
57089.25149 11.928  0.048 W2  0.2558  85.291891  -9.494677
57089.25149  0.537  0.061 W1mW2  0.2558  85.291891  -9.494677
57282.79752 12.535  0.036 W1  0.2678  85.291906  -9.494678
57282.79752 11.944  0.043 W2  0.2678  85.291906  -9.494678
57282.79752  0.591  0.056 W1mW2  0.2678  85.291906  -9.494678
57283.34912 12.520  0.037 W1  0.2492  85.291907  -9.494670
57283.34912 11.956  0.056 W2  0.2492  85.291907  -9.494670
57283.34912  0.563  0.067 W1mW2  0.2492  85.291907  -9.494670
57447.75150 12.522  0.048 W1  0.3107  85.291885  -9.494696
57447.75150 11.960  0.078 W2  0.3107  85.291885  -9.494696
57447.75150  0.562  0.092 W1mW2  0.3107  85.291885  -9.494696
57448.31083 12.559  0.040 W1  0.1962  85.291887  -9.494661
57448.31083 11.991  0.040 W2  0.1962  85.291887  -9.494661
