# MJD mag magerr filter flag distance ra dec
55264.51836 10.839  0.022 W1 10  0.1860  84.579876  -7.347396
55264.58445 10.850  0.021 W1 10  0.1867  84.579870  -7.347387
55264.65067 10.865  0.023 W1 10  0.1888  84.579879  -7.347400
55264.25363 10.899  0.019 W1 10  0.2100  84.579888  -7.347428
55263.92280 10.845  0.023 W1 10  0.2275  84.579894  -7.347419
55264.38593 10.868  0.022 W1 10  0.2289  84.579890  -7.347398
55265.04758 10.912  0.022 W1 10  0.2376  84.579891  -7.347392
55264.18754 10.842  0.023 W1 10  0.2500  84.579894  -7.347392
55264.78297 10.861  0.021 W1 10  0.2621  84.579900  -7.347399
55264.91527 10.856  0.021 W1 10  0.2730  84.579890  -7.347373
55264.45215 10.831  0.018 W1 10  0.2828  84.579907  -7.347400
55264.05511 10.854  0.024 W1 10  0.3105  84.579912  -7.347390
55264.31984 10.831  0.021 W1 10  0.3419  84.579916  -7.347378
55264.51823 10.887  0.023 W1 10  0.3562  84.579925  -7.347389
57447.96159 10.765  0.018 W1 10  0.1047  84.579824  -7.347392
58900.33838 10.705  0.016 W1  5  0.1117  84.579855  -7.347401
56724.60343 10.725  0.019 W1 10  0.1202  84.579860  -7.347404
58013.77823 10.704  0.019 W1  5  0.1258  84.579859  -7.347400
58900.46915 10.743  0.021 W1 10  0.1307  84.579863  -7.347403
57088.87422 10.899  0.018 W1 10  0.1376  84.579863  -7.347400
58742.54233 10.813  0.021 W1 10  0.1476  84.579867  -7.347401
58535.84747 10.762  0.018 W1  5  0.1488  84.579865  -7.347397
58168.87562 10.808  0.019 W1 10  0.1490  84.579871  -7.347411
57811.81368 10.776  0.020 W1 10  0.1503  84.579863  -7.347394
57447.56837 10.700  0.018 W1 10  0.1506  84.579872  -7.347416
57282.69874 10.773  0.016 W1 10  0.1515  84.579857  -7.347387
58535.38944 10.754  0.019 W1 10  0.1646  84.579866  -7.347391
56729.41044 10.775  0.016 W1 10  0.1688  84.579876  -7.347409
58013.90927 10.743  0.020 W1 10  0.1704  84.579860  -7.347384
58168.41745 10.773  0.019 W1 10  0.1768  84.579878  -7.347408
57811.74823 10.762  0.016 W1 10  0.1784  84.579861  -7.347381
57088.48024 10.913  0.017 W1 10  0.1789  84.579876  -7.347400
58378.00028 10.858  0.017 W1  5  0.1797  84.579876  -7.347401
58535.52034 10.810  0.017 W1  0  0.1818  84.579855  -7.347376
56728.94947 10.775  0.017 W1 10  0.1849  84.579877  -7.347398
56724.66927 10.773  0.018 W1 10  0.1854  84.579852  -7.347373
57811.68278 10.781  0.020 W1 10  0.1861  84.579882  -7.347418
57811.35526 10.744  0.024 W1 10  0.1907  84.579873  -7.347389
57447.50279 10.718  0.017 W1 10  0.1928  84.579884  -7.347421
58168.61381 10.761  0.019 W1 10  0.1939  84.579884  -7.347421
58899.81515 10.667  0.019 W1 10  0.1940  84.579884  -7.347416
58169.26833 10.781  0.016 W1 10  0.2022  84.579878  -7.347391
58900.07683 10.708  0.018 W1 10  0.2030  84.579880  -7.347394
57282.56758 10.852  0.016 W1 10  0.2050  84.579869  -7.347378
57088.41453 10.905  0.016 W1 10  0.2057  84.579886  -7.347406
57646.40469 10.819  0.016 W1 10  0.2099  84.579877  -7.347385
57646.92881 10.788  0.018 W1 10  0.2108  84.579883  -7.347394
57646.60130 10.728  0.023 W1 10  0.2134  84.579877  -7.347383
58535.12776 10.741  0.016 W1 10  0.2136  84.579878  -7.347384
59108.99313 10.927  0.021 W1 10  0.2173  84.579878  -7.347383
59109.45091 10.943  0.018 W1 10  0.2183  84.579887  -7.347397
57811.22436 10.788  0.017 W1 10  0.2239  84.579893  -7.347419
57088.15183 10.882  0.021 W1 10  0.2269  84.579888  -7.347395
57088.74293 10.903  0.015 W1 10  0.2279  84.579889  -7.347396
57087.75785 10.881  0.016 W1  5  0.2287  84.579893  -7.347433
57447.10957 10.721  0.019 W1 10  0.2297  84.579889  -7.347396
56920.27434 10.845  0.015 W1 10  0.2312  84.579880  -7.347380
57447.83056 10.718  0.016 W1 10  0.2320  84.579883  -7.347383
57812.20665 10.776  0.016 W1 10  0.2375  84.579883  -7.347380
58013.97472 10.731  0.017 W1 10  0.2382  84.579879  -7.347375
58377.54224 10.840  0.016 W1 10  0.2385  84.579885  -7.347382
58535.97825 10.764  0.019 W1 10  0.2387  84.579895  -7.347405
57282.23955 10.843  0.017 W1 10  0.2400  84.579888  -7.347387
57088.02054 10.903  0.017 W1 10  0.2416  84.579891  -7.347392
58168.81017 10.796  0.016 W1  5  0.2417  84.579879  -7.347374
58169.13692 10.806  0.016 W1  0  0.2422  84.579864  -7.347362
58377.67315 10.805  0.019 W1 10  0.2432  84.579874  -7.347368
58377.73860 10.861  0.021 W1 10  0.2434  84.579878  -7.347372
58377.73847 10.879  0.021 W1 10  0.2447  84.579895  -7.347398
58899.48763 10.727  0.019 W1 10  0.2448  84.579894  -7.347396
58899.94592 10.728  0.019 W1 10  0.2448  84.579888  -7.347383
58013.51643 10.729  0.017 W1 10  0.2461  84.579892  -7.347390
58014.10562 10.732  0.020 W1 10  0.2464  84.579887  -7.347381
57282.96118 10.826  0.020 W1 10  0.2466  84.579895  -7.347396
57811.48629 10.796  0.016 W1 10  0.2475  84.579893  -7.347391
58168.74471 10.842  0.021 W1 10  0.2479  84.579892  -7.347389
59109.12391 10.959  0.018 W1 10  0.2494  84.579895  -7.347396
58900.01137 10.721  0.016 W1 10  0.2501  84.579884  -7.347376
58378.13067 10.826  0.016 W1  5  0.2511  84.579894  -7.347391
58899.35737 10.727  0.020 W1 10  0.2513  84.579893  -7.347390
58899.88060 10.709  0.016 W1 10  0.2540  84.579897  -7.347395
58013.84369 10.716  0.018 W1 10  0.2545  84.579887  -7.347377
57447.24060 10.680  0.019 W1  5  0.2567  84.579891  -7.347382
58742.28065 10.854  0.018 W1 10  0.2583  84.579892  -7.347383
59109.58169 10.953  0.017 W1  5  0.2588  84.579884  -7.347372
57446.84738 10.677  0.016 W1  5  0.2593  84.579903  -7.347418
57282.50200 10.826  0.018 W1 10  0.2596  84.579887  -7.347375
56729.34460 10.758  0.015 W1 10  0.2607  84.579898  -7.347394
58013.38552 10.725  0.017 W1 10  0.2646  84.579889  -7.347376
57654.33137 10.743  0.020 W1 10  0.2656  84.579895  -7.347384
58535.78202 10.778  0.016 W1 10  0.2660  84.579889  -7.347375
56920.73466 10.796  0.019 W1 10  0.2715  84.579882  -7.347365
57447.30618 10.732  0.019 W1 10  0.2719  84.579901  -7.347393
58742.14987 10.832  0.016 W1 10  0.2751  84.579889  -7.347371
57282.10840 10.833  0.016 W1 10  0.2751  84.579902  -7.347391
58535.65112 10.765  0.018 W1 10  0.2758  84.579907  -7.347411
56920.80050 10.823  0.018 W1 10  0.2765  84.579893  -7.347376
57646.86323 10.801  0.018 W1 10  0.2767  84.579900  -7.347388
57088.21754 10.830  0.018 W1  5  0.2769  84.579906  -7.347404
58748.16862 10.790  0.018 W1 10  0.2778  84.579906  -7.347403
57647.12529 10.792  0.019 W1 10  0.2804  84.579895  -7.347376
57282.63316 10.808  0.017 W1 10  0.2808  84.579901  -7.347387
57446.97841 10.726  0.024 W1 10  0.2827  84.579884  -7.347362
56729.67390 10.780  0.015 W1 10  0.2831  84.579902  -7.347386
58536.10915 10.773  0.016 W1 10  0.2836  84.579892  -7.347371
58900.20760 10.723  0.016 W1 10  0.2845  84.579905  -7.347395
59109.38546 10.945  0.018 W1  5  0.2846  84.579897  -7.347377
