# MJD mag magerr filter distance ra dec
55276.66856 10.584  0.037 W1  1.9056 270.758775  -4.709457
55276.66856 10.643  0.031 W2  1.9056 270.758775  -4.709457
55276.66856 -0.059  0.048 W1mW2  1.9056 270.758775  -4.709457
55277.25667 10.632  0.031 W1  1.9274 270.758787  -4.709453
55277.25667 10.619  0.068 W2  1.9274 270.758787  -4.709453
55277.25667  0.014  0.075 W1mW2  1.9274 270.758787  -4.709453
56738.63479 10.635  0.036 W1  1.8833 270.758776  -4.709443
56738.63479 10.732  0.043 W2  1.8833 270.758776  -4.709443
56738.63479 -0.097  0.056 W1mW2  1.8833 270.758776  -4.709443
56739.19074 10.654  0.028 W1  1.8204 270.758760  -4.709438
56739.19074 10.732  0.048 W2  1.8204 270.758760  -4.709438
56739.19074 -0.078  0.055 W1mW2  1.8204 270.758760  -4.709438
56741.53117 10.636  0.035 W1  1.9172 270.758767  -4.709476
56741.53117 10.691  0.037 W2  1.9172 270.758767  -4.709476
56741.53117 -0.055  0.051 W1mW2  1.9172 270.758767  -4.709476
56742.08781 10.636  0.017 W1  1.8290 270.758755  -4.709450
56742.08781 10.692  0.048 W2  1.8290 270.758755  -4.709450
56742.08781 -0.056  0.051 W1mW2  1.8290 270.758755  -4.709450
56920.69965 10.626  0.025 W1  1.8421 270.758749  -4.709466
56920.69965 10.696  0.054 W2  1.8421 270.758749  -4.709466
56920.69965 -0.069  0.060 W1mW2  1.8421 270.758749  -4.709466
56921.26965 10.642  0.030 W1  1.8169 270.758746  -4.709458
56921.26965 10.685  0.030 W2  1.8169 270.758746  -4.709458
56921.26965 -0.043  0.043 W1mW2  1.8169 270.758746  -4.709458
57102.96213 10.623  0.016 W1  1.8711 270.758757  -4.709468
57102.96213 10.681  0.020 W2  1.8711 270.758757  -4.709468
57102.96213 -0.058  0.026 W1mW2  1.8711 270.758757  -4.709468
57103.49343 10.620  0.036 W1  1.8732 270.758765  -4.709457
57103.49343 10.696  0.030 W2  1.8732 270.758765  -4.709457
57103.49343 -0.076  0.047 W1mW2  1.8732 270.758765  -4.709457
57279.72293 10.642  0.033 W1  1.8430 270.758756  -4.709456
57279.72293 10.711  0.041 W2  1.8430 270.758756  -4.709456
57279.72293 -0.069  0.053 W1mW2  1.8430 270.758756  -4.709456
57280.20866 10.645  0.024 W1  1.8563 270.758758  -4.709459
57280.20866 10.696  0.032 W2  1.8563 270.758758  -4.709459
57280.20866 -0.050  0.040 W1mW2  1.8563 270.758758  -4.709459
57286.99296 10.658  0.017 W1  1.7882 270.758748  -4.709441
57286.99296 10.663  0.023 W2  1.7882 270.758748  -4.709441
57286.99296 -0.005  0.029 W1mW2  1.7882 270.758748  -4.709441
57467.56444 10.640  0.024 W1  1.8456 270.758749  -4.709467
57467.56444 10.684  0.078 W2  1.8456 270.758749  -4.709467
57467.56444 -0.044  0.082 W1mW2  1.8456 270.758749  -4.709467
57468.11785 10.636  0.018 W1  1.8975 270.758782  -4.709444
57468.11785 10.647  0.020 W2  1.8975 270.758782  -4.709444
57468.11785 -0.011  0.027 W1mW2  1.8975 270.758782  -4.709444
57638.73318 10.644  0.028 W1  1.8410 270.758747  -4.709467
57638.73318 10.700  0.028 W2  1.8410 270.758747  -4.709467
57638.73318 -0.056  0.039 W1mW2  1.8410 270.758747  -4.709467
57639.20301 10.643  0.020 W1  1.8648 270.758764  -4.709455
57639.20301 10.694  0.031 W2  1.8648 270.758764  -4.709455
57639.20301 -0.050  0.037 W1mW2  1.8648 270.758764  -4.709455
57642.24269 10.664  0.031 W1  1.8860 270.758766  -4.709463
57642.24269 10.708  0.034 W2  1.8860 270.758766  -4.709463
57642.24269 -0.044  0.046 W1mW2  1.8860 270.758766  -4.709463
57831.75636 10.652  0.029 W1  1.8790 270.758762  -4.709464
57831.75636 10.740  0.042 W2  1.8790 270.758762  -4.709464
57831.75636 -0.088  0.051 W1mW2  1.8790 270.758762  -4.709464
57832.16564 10.637  0.028 W1  1.8470 270.758758  -4.709454
57832.16564 10.696  0.031 W2  1.8470 270.758758  -4.709454
57832.16564 -0.059  0.042 W1mW2  1.8470 270.758758  -4.709454
57834.71134 10.627  0.034 W1  1.8723 270.758759  -4.709465
57834.71134 10.693  0.040 W2  1.8723 270.758759  -4.709465
57834.71134 -0.066  0.052 W1mW2  1.8723 270.758759  -4.709465
57835.22698 10.630  0.027 W1  1.8306 270.758755  -4.709451
57835.22698 10.669  0.046 W2  1.8306 270.758755  -4.709451
57835.22698 -0.038  0.053 W1mW2  1.8306 270.758755  -4.709451
58001.89366 10.643  0.019 W1  1.8681 270.758765  -4.709455
58001.89366 10.677  0.023 W2  1.8681 270.758765  -4.709455
58001.89366 -0.034  0.030 W1mW2  1.8681 270.758765  -4.709455
58002.44722 10.638  0.026 W1  1.8205 270.758750  -4.709453
58002.44722 10.708  0.035 W2  1.8205 270.758750  -4.709453
58002.44722 -0.070  0.044 W1mW2  1.8205 270.758750  -4.709453
58198.74216 10.657  0.028 W1  1.9037 270.758763  -4.709476
58198.74216 10.706  0.031 W2  1.9037 270.758763  -4.709476
58198.74216 -0.049  0.041 W1mW2  1.9037 270.758763  -4.709476
58199.21342 10.634  0.045 W1  1.8342 270.758760  -4.709446
58199.21342 10.708  0.040 W2  1.8342 270.758760  -4.709446
58199.21342 -0.074  0.060 W1mW2  1.8342 270.758760  -4.709446
58362.72736 10.644  0.027 W1  1.8671 270.758759  -4.709463
58362.72736 10.715  0.032 W2  1.8671 270.758759  -4.709463
58362.72736 -0.071  0.043 W1mW2  1.8671 270.758759  -4.709463
58363.20224 10.642  0.022 W1  1.7772 270.758744  -4.709441
58363.20224 10.714  0.035 W2  1.7772 270.758744  -4.709441
58363.20224 -0.072  0.041 W1mW2  1.7772 270.758744  -4.709441
58562.83713 10.645  0.017 W1  1.8628 270.758744  -4.709480
58562.83713 10.726  0.024 W2  1.8628 270.758744  -4.709480
58562.83713 -0.081  0.029 W1mW2  1.8628 270.758744  -4.709480
58563.29510 10.637  0.026 W1  1.8496 270.758756  -4.709459
58563.29510 10.714  0.031 W2  1.8496 270.758756  -4.709459
58563.29510 -0.077  0.041 W1mW2  1.8496 270.758756  -4.709459
58570.09952 10.645  0.018 W1  1.8300 270.758737  -4.709476
58570.09952 10.728  0.023 W2  1.8300 270.758737  -4.709476
58570.09952 -0.083  0.029 W1mW2  1.8300 270.758737  -4.709476
58726.76892 10.656  0.041 W1  1.8521 270.758753  -4.709464
58726.76892 10.733  0.027 W2  1.8521 270.758753  -4.709464
58726.76892 -0.077  0.049 W1mW2  1.8521 270.758753  -4.709464
58727.25296 10.647  0.025 W1  1.8133 270.758750  -4.709450
58727.25296 10.729  0.029 W2  1.8133 270.758750  -4.709450
58727.25296 -0.082  0.038 W1mW2  1.8133 270.758750  -4.709450
58733.93812 10.643  0.020 W1  1.8401 270.758733  -4.709486
58733.93812 10.724  0.023 W2  1.8401 270.758733  -4.709486
58733.93812 -0.081  0.030 W1mW2  1.8401 270.758733  -4.709486
58929.86979 10.662  0.025 W1  1.8744 270.758747  -4.709484
58929.86979 10.735  0.032 W2  1.8744 270.758747  -4.709484
58929.86979 -0.072  0.041 W1mW2  1.8744 270.758747  -4.709484
58930.38645 10.643  0.029 W1  1.9162 270.758781  -4.709455
58930.38645 10.695  0.027 W2  1.9162 270.758781  -4.709455
58930.38645 -0.053  0.039 W1mW2  1.9162 270.758781  -4.709455
59093.78640 10.668  0.021 W1  1.8872 270.758753  -4.709481
59093.78640 10.729  0.034 W2  1.8872 270.758753  -4.709481
59093.78640 -0.061  0.040 W1mW2  1.8872 270.758753  -4.709481
59094.27218 10.657  0.022 W1  1.8724 270.758763  -4.709460
59094.27218 10.717  0.041 W2  1.8724 270.758763  -4.709460
59094.27218 -0.060  0.047 W1mW2  1.8724 270.758763  -4.709460
