# MJD mag magerr filter flag distance ra dec
55241.17008  9.689  0.021 W1 10  0.1233  56.106280  32.191963
55241.63321  9.700  0.018 W1 10  0.1374  56.106287  32.191962
55241.89795  9.723  0.021 W1 10  0.1576  56.106297  32.191958
55241.56712  9.672  0.025 W1 10  0.1599  56.106291  32.191967
55241.76552  9.668  0.023 W1 10  0.2231  56.106309  32.191977
55241.30239  9.701  0.020 W1 10  0.2303  56.106324  32.191953
55241.36860  9.741  0.025 W1 10  0.2406  56.106309  32.191985
55241.03778  9.721  0.021 W1 10  0.2520  56.106328  32.191962
55241.50091  9.693  0.019 W1 10  0.2525  56.106318  32.191981
55241.43469  9.675  0.021 W1 10  0.2572  56.106334  32.191944
56705.90693  9.542  0.019 W1 10  0.0891  56.106275  32.191953
57065.10657  9.502  0.020 W1 10  0.0958  56.106277  32.191954
58512.36720  9.673  0.019 W1  5  0.0972  56.106282  32.191944
57065.30357  9.555  0.015 W1 10  0.1092  56.106285  32.191945
57065.36927  9.517  0.014 W1 10  0.1142  56.106285  32.191951
56706.17039  9.466  0.015 W1 10  0.1197  56.106286  32.191953
56896.45602  9.406  0.017 W1 10  0.1201  56.106281  32.191961
57065.76338  9.583  0.029 W1 10  0.1279  56.106286  32.191958
56705.77526  9.580  0.015 W1 10  0.1534  56.106300  32.191945
56706.49982  9.497  0.015 W1 10  0.1605  56.106299  32.191957
58718.26539  9.500  0.016 W1 10  0.1634  56.106298  32.191960
57424.24075  9.430  0.019 W1 10  0.1645  56.106302  32.191953
58354.43463  9.645  0.019 W1 10  0.1648  56.106287  32.191974
58721.07878  9.535  0.016 W1 10  0.1649  56.106298  32.191961
57424.50294  9.427  0.016 W1 10  0.1731  56.106306  32.191950
58148.59271  9.484  0.016 W1  5  0.1767  56.106308  32.191943
57424.04401  9.393  0.015 W1 10  0.1769  56.106308  32.191946
57989.54711  9.418  0.016 W1 10  0.1801  56.106303  32.191962
57791.78169  9.471  0.016 W1 10  0.1805  56.106308  32.191951
56705.97289  9.525  0.019 W1 10  0.1813  56.106307  32.191954
57064.90945  9.540  0.016 W1 10  0.1817  56.106310  32.191941
58876.73461  9.658  0.019 W1 10  0.1848  56.106310  32.191946
57626.15408  9.600  0.017 W1  5  0.1856  56.106296  32.191974
58148.72361  9.493  0.016 W1 10  0.1883  56.106308  32.191957
57423.91297  9.411  0.020 W1 10  0.1897  56.106310  32.191955
57424.43736  9.481  0.015 W1 10  0.1925  56.106308  32.191962
57788.57251  9.613  0.016 W1 10  0.1935  56.106313  32.191949
57625.76099  9.638  0.015 W1 10  0.1950  56.106310  32.191958
58353.71479  9.531  0.016 W1 10  0.1953  56.106314  32.191941
59085.77055  9.365  0.019 W1 10  0.1955  56.106312  32.191953
58148.33090  9.456  0.015 W1 10  0.1958  56.106305  32.191968
58877.06175  9.664  0.017 W1  5  0.1958  56.106314  32.191937
58718.33084  9.446  0.014 W1  5  0.1995  56.106307  32.191968
57989.87450  9.358  0.015 W1 10  0.2008  56.106313  32.191956
57625.89202  9.686  0.017 W1 10  0.2010  56.106314  32.191955
57989.67814  9.373  0.016 W1 10  0.2016  56.106305  32.191971
58148.98542  9.462  0.015 W1 10  0.2019  56.106316  32.191937
58720.88256  9.468  0.016 W1 10  0.2021  56.106307  32.191969
57065.63197  9.523  0.015 W1 10  0.2029  56.106316  32.191944
57791.51963  9.369  0.017 W1  5  0.2040  56.106317  32.191934
58721.60214  9.481  0.017 W1 10  0.2041  56.106313  32.191960
