# MJD mag magerr filter distance ra dec
55265.48379  7.890  0.076 W1  0.4597  85.645252 -10.029628
55265.48379  7.150  0.054 W2  0.4597  85.645252 -10.029628
55265.48379  0.740  0.094 W1mW2  0.4597  85.645252 -10.029628
56729.87563  7.830  0.051 W1  0.3146  85.645314 -10.029613
56729.87563  7.050  0.052 W2  0.3146  85.645314 -10.029613
56729.87563  0.780  0.073 W1mW2  0.3146  85.645314 -10.029613
56921.73693  7.528  0.081 W1  0.1775  85.645334 -10.029572
56921.73693  6.751  0.069 W2  0.1775  85.645334 -10.029572
56921.73693  0.777  0.107 W1mW2  0.1775  85.645334 -10.029572
57089.34863  7.478  0.070 W1  0.2553  85.645322 -10.029597
57089.34863  6.704  0.067 W2  0.2553  85.645322 -10.029597
57089.34863  0.774  0.097 W1mW2  0.2553  85.645322 -10.029597
57283.59883  7.640  0.062 W1  0.2127  85.645316 -10.029583
57283.59883  6.920  0.052 W2  0.2127  85.645316 -10.029583
57283.59883  0.720  0.081 W1mW2  0.2127  85.645316 -10.029583
57448.43870  7.494  0.076 W1  0.2772  85.645344 -10.029601
57448.43870  6.769  0.072 W2  0.2772  85.645344 -10.029601
57448.43870  0.725  0.105 W1mW2  0.2772  85.645344 -10.029601
57648.15348  7.853  0.051 W1  0.2355  85.645307 -10.029586
57648.15348  7.089  0.050 W2  0.2355  85.645307 -10.029586
57648.15348  0.763  0.071 W1mW2  0.2355  85.645307 -10.029586
57813.04347  7.720  0.059 W1  0.2779  85.645321 -10.029602
57813.04347  6.989  0.052 W2  0.2779  85.645321 -10.029602
57813.04347  0.731  0.079 W1mW2  0.2779  85.645321 -10.029602
58014.76951  7.674  0.059 W1  0.2222  85.645319 -10.029588
58014.76951  6.899  0.057 W2  0.2222  85.645319 -10.029588
58014.76951  0.774  0.082 W1mW2  0.2222  85.645319 -10.029588
58170.39049  7.677  0.051 W1  0.2515  85.645335 -10.029596
58170.39049  6.914  0.052 W2  0.2515  85.645335 -10.029596
58170.39049  0.762  0.073 W1mW2  0.2515  85.645335 -10.029596
58378.94961  7.629  0.069 W1  0.2131  85.645316 -10.029581
58378.94961  6.842  0.055 W2  0.2131  85.645316 -10.029581
58378.94961  0.787  0.088 W1mW2  0.2131  85.645316 -10.029581
58536.66479  7.623  0.070 W1  0.2740  85.645337 -10.029602
58536.66479  6.831  0.055 W2  0.2740  85.645337 -10.029602
58536.66479  0.792  0.089 W1mW2  0.2740  85.645337 -10.029602
58743.53286  7.740  0.049 W1  0.2335  85.645321 -10.029591
58743.53286  6.989  0.054 W2  0.2335  85.645321 -10.029591
58743.53286  0.751  0.073 W1mW2  0.2335  85.645321 -10.029591
58900.89375  7.635  0.077 W1  0.2883  85.645335 -10.029607
58900.89375  6.908  0.055 W2  0.2883  85.645335 -10.029607
58900.89375  0.727  0.095 W1mW2  0.2883  85.645335 -10.029607
59110.31543  7.705  0.056 W1  0.2597  85.645320 -10.029596
59110.31543  6.952  0.053 W2  0.2597  85.645320 -10.029596
59110.31543  0.753  0.077 W1mW2  0.2597  85.645320 -10.029596
