# MJD mag magerr filter flag distance ra dec
55268.95277  9.295  0.018 W1 10  0.1212  88.658072   1.497630
55268.68816  9.281  0.020 W1 10  0.1289  88.658071   1.497623
55268.55586  9.315  0.026 W1 10  0.1782  88.658090   1.497639
55269.41590  9.319  0.019 W1 10  0.1986  88.658090   1.497618
55269.15129  9.332  0.021 W1 10  0.2019  88.658096   1.497640
55269.01899  9.337  0.020 W1 10  0.2066  88.658094   1.497621
55268.42343  9.281  0.021 W1 10  0.2397  88.658107   1.497639
55269.08508  9.321  0.017 W1 10  0.2399  88.658106   1.497634
55268.82047  9.308  0.020 W1 10  0.2435  88.658107   1.497630
55268.88668  9.308  0.022 W1 10  0.2638  88.658112   1.497624
55269.28360  9.334  0.019 W1 10  0.2742  88.658116   1.497632
55268.88656  9.326  0.021 W1 10  0.2938  88.658121   1.497630
59113.69992  8.889  0.035 W1  0  0.0375  88.658050   1.497638
57287.15761  8.900  0.035 W1  5  0.0756  88.658058   1.497629
57651.57844  8.906  0.036 W1 10  0.1258  88.658075   1.497638
58381.85900  8.382  0.034 W1  0  0.1313  88.658061   1.497610
57651.25080  8.909  0.034 W1  5  0.1328  88.658077   1.497640
59114.02679  8.982  0.035 W1  5  0.1466  88.658079   1.497629
58018.03209  8.180  0.035 W1  0  0.1591  88.658043   1.497596
58018.35934  8.238  0.038 W1 10  0.1701  88.658081   1.497616
58746.72741  8.421  0.035 W1  0  0.1762  88.658076   1.497607
56925.13967  9.069  0.017 W1 10  0.1781  88.658089   1.497633
58746.98909  8.394  0.036 W1  5  0.1782  88.658076   1.497606
57286.69843  8.914  0.034 W1  5  0.1807  88.658077   1.497607
57092.81609  9.026  0.016 W1 10  0.1857  88.658084   1.497613
57092.48769  9.029  0.020 W1 10  0.1882  88.658082   1.497609
58018.42492  8.227  0.036 W1  5  0.1954  88.658091   1.497621
58382.57884  8.423  0.035 W1 10  0.1965  88.658087   1.497613
58382.51339  8.419  0.034 W1 10  0.1997  88.658094   1.497627
56734.02147  9.468  0.015 W1 10  0.1998  88.658083   1.497605
57815.67904  8.846  0.036 W1 10  0.2023  88.658087   1.497609
56925.46858  9.069  0.017 W1  5  0.2028  88.658093   1.497621
57818.82252  8.898  0.034 W1 10  0.2044  88.658092   1.497618
58173.13103  8.170  0.035 W1 10  0.2048  88.658091   1.497615
56925.60012  9.085  0.018 W1 10  0.2056  88.658092   1.497616
57816.39939  8.849  0.035 W1 10  0.2098  88.658087   1.497605
58382.97142  8.339  0.035 W1  5  0.2114  88.658099   1.497636
58749.67158  8.458  0.034 W1 10  0.2116  88.658098   1.497632
57092.75039  9.052  0.013 W1 10  0.2188  88.658089   1.497604
58746.26950  8.433  0.034 W1 10  0.2203  88.658097   1.497618
58017.83560  8.290  0.036 W1 10  0.2222  88.658092   1.497607
57651.31638  8.930  0.034 W1 10  0.2228  88.658099   1.497620
57093.21008  9.059  0.014 W1 10  0.2235  88.658089   1.497602
57650.98874  8.879  0.035 W1 10  0.2241  88.658102   1.497649
57287.41993  8.928  0.034 W1  5  0.2248  88.658101   1.497627
58749.73704  8.409  0.035 W1 10  0.2253  88.658095   1.497610
58904.65667  8.685  0.033 W1 10  0.2256  88.658088   1.497600
58746.98896  8.398  0.036 W1 10  0.2263  88.658091   1.497603
57452.28918  9.016  0.014 W1 10  0.2274  88.658094   1.497607
57651.44741  8.898  0.036 W1  5  0.2277  88.658102   1.497625
58750.12949  8.436  0.035 W1  5  0.2291  88.658103   1.497650
58018.09754  8.254  0.038 W1  5  0.2308  88.658099   1.497615
56733.69217  9.457  0.013 W1 10  0.2323  88.658096   1.497607
57451.56819  8.981  0.034 W1 10  0.2326  88.658095   1.497606
58382.44794  8.424  0.034 W1  5  0.2335  88.658091   1.497599
58175.88002  8.359  0.034 W1 10  0.2349  88.658088   1.497596
58746.53118  8.461  0.036 W1 10  0.2361  88.658102   1.497618
57651.57832  8.919  0.036 W1 10  0.2364  88.658102   1.497619
