# MJD mag magerr filter distance ra dec
55263.60342 10.893  0.042 W1  0.6970  83.751068  -5.266462
55263.60342 10.241  0.101 W2  0.6970  83.751068  -5.266462
55263.60342  0.652  0.109 W1mW2  0.6970  83.751068  -5.266462
56724.53798 10.847  0.020 W1  0.4628  83.751030  -5.266458
56724.53798 12.952  0.165 W2  0.4628  83.751030  -5.266458
56724.53798 -2.105  0.166 W1mW2  0.4628  83.751030  -5.266458
56727.89626 10.874  0.024 W1  0.6398  83.751098  -5.266382
56728.54017 10.933  0.058 W1  0.4818  83.751043  -5.266428
56728.50778 12.822  0.707 W2  0.5171  83.751054  -5.266428
56728.54017 -1.890  0.709 W1mW2  0.4818  83.751043  -5.266428
56729.01569 10.944  0.022 W1  0.4240  83.751038  -5.266398
56729.01569 12.900  0.167 W2  0.4240  83.751038  -5.266398
56729.01569 -1.956  0.168 W1mW2  0.4240  83.751038  -5.266398
56915.73576 10.919  0.021 W1  0.6459  83.751028  -5.266534
56915.73576 12.750  0.155 W2  0.6459  83.751028  -5.266534
56915.73576 -1.831  0.156 W1mW2  0.6459  83.751028  -5.266534
56919.69022 10.919  0.072 W1  0.2606  83.750984  -5.266403
56919.67105 12.664  0.523 W2  0.2632  83.750984  -5.266397
56919.69022 -1.745  0.528 W1mW2  0.2606  83.750984  -5.266403
56920.22129 10.877  0.064 W1  0.3419  83.751010  -5.266406
56920.15881 12.751  0.311 W2  0.3993  83.751026  -5.266404
56920.22129 -1.874  0.318 W1mW2  0.3419  83.751010  -5.266406
57086.97013 10.864  0.023 W1  0.6417  83.751049  -5.266514
57087.51943 10.933  0.062 W1  0.5078  83.751049  -5.266409
57087.54809 12.892  0.291 W2  0.5193  83.751053  -5.266417
57087.51943 -1.959  0.298 W1mW2  0.5078  83.751049  -5.266409
57088.08663 10.994  0.026 W1  0.3910  83.751028  -5.266408
57088.08663 13.049  0.176 W2  0.3910  83.751028  -5.266408
57088.08663 -2.055  0.178 W1mW2  0.3910  83.751028  -5.266408
57281.66672 10.929  0.099 W1  0.5757  83.751068  -5.266442
57281.69985 12.757  0.487 W2  0.6130  83.751076  -5.266454
57281.66672 -1.829  0.497 W1mW2  0.5757  83.751068  -5.266442
57282.17359 10.931  0.119 W1  0.5999  83.751079  -5.266425
57282.17359 12.257  0.256 W2  0.5999  83.751079  -5.266425
57282.17359 -1.326  0.283 W1mW2  0.5999  83.751079  -5.266425
57446.52004 11.019  0.105 W1  0.5057  83.751033  -5.266363
57446.57103 12.826  0.519 W2  0.5162  83.751033  -5.266361
57446.52004 -1.807  0.529 W1mW2  0.5057  83.751033  -5.266363
57447.10995 10.963  0.055 W1  0.5407  83.751052  -5.266319
57447.10995 13.104  0.485 W2  0.5407  83.751052  -5.266319
57447.10995 -2.141  0.488 W1mW2  0.5407  83.751052  -5.266319
57645.74922 10.907  0.040 W1  0.4278  83.751037  -5.266399
57645.74921 12.554  0.365 W2  0.4601  83.751046  -5.266399
57645.74922 -1.647  0.368 W1mW2  0.4278  83.751037  -5.266399
57646.24523 10.879  0.093 W1  0.4755  83.751045  -5.266419
57646.24523 12.898  0.620 W2  0.4755  83.751045  -5.266419
57646.24523 -2.019  0.627 W1mW2  0.4755  83.751045  -5.266419
57654.26541 10.956  0.023 W1  0.8316  83.751148  -5.266433
57654.26541 12.777  0.175 W2  0.8316  83.751148  -5.266433
57654.26541 -1.821  0.177 W1mW2  0.8316  83.751148  -5.266433
57810.67629 10.965  0.044 W1  0.4455  83.751038  -5.266398
57810.67629 13.038  0.513 W2  0.4455  83.751038  -5.266398
57810.67629 -2.073  0.514 W1mW2  0.4455  83.751038  -5.266398
57811.22474 11.012  0.052 W1  0.3440  83.751004  -5.266417
57811.22474 13.431  0.528 W2  0.3440  83.751004  -5.266417
57811.22474 -2.418  0.530 W1mW2  0.3440  83.751004  -5.266417
57818.42840 10.962  0.029 W1  0.7161  83.751117  -5.266360
57818.42840 12.632  0.154 W2  0.7161  83.751117  -5.266360
57818.42840 -1.670  0.157 W1mW2  0.7161  83.751117  -5.266360
58012.76316 11.009  0.050 W1  0.5557  83.751033  -5.266492
58012.86136 12.880  0.513 W2  0.6234  83.751062  -5.266489
58012.76316 -1.871  0.515 W1mW2  0.5557  83.751033  -5.266492
58013.28688 10.987  0.089 W1  0.3569  83.750995  -5.266444
58013.33270 13.045  0.611 W2  0.3939  83.751005  -5.266446
58013.28688 -2.058  0.618 W1mW2  0.3569  83.750995  -5.266444
58167.81567 10.873  0.080 W1  0.6634  83.751064  -5.266481
58167.76331 13.300  0.632 W2  0.6709  83.751088  -5.266446
58167.81567 -2.426  0.637 W1mW2  0.6634  83.751064  -5.266481
58168.23449 10.956  0.040 W1  0.4634  83.751039  -5.266430
58168.23449 13.153  0.435 W2  0.4634  83.751039  -5.266430
58168.23449 -2.197  0.437 W1mW2  0.4634  83.751039  -5.266430
58173.98069 10.903  0.051 W1  0.4548  83.751004  -5.266483
58173.98069 12.814  1.567 W2  0.4548  83.751004  -5.266483
58173.98069 -1.910  1.567 W1mW2  0.4548  83.751004  -5.266483
58376.80566 10.945  0.031 W1  0.3563  83.751004  -5.266434
58376.82202 13.379  0.283 W2  0.3428  83.750986  -5.266459
58376.80566 -2.434  0.285 W1mW2  0.3563  83.751004  -5.266434
58377.36516 10.940  0.046 W1  0.5174  83.751055  -5.266432
58377.32372 13.025  0.404 W2  0.5192  83.751058  -5.266428
58377.36516 -2.085  0.407 W1mW2  0.5174  83.751055  -5.266432
58534.77299 10.931  0.038 W1  0.4539  83.751026  -5.266399
58534.81412 12.867  0.336 W2  0.4332  83.751018  -5.266427
58534.77299 -1.936  0.338 W1mW2  0.4539  83.751026  -5.266399
58535.23284 10.918  0.076 W1  0.4440  83.751037  -5.266401
58535.23284 12.837  0.214 W2  0.4440  83.751037  -5.266401
58535.23284 -1.920  0.227 W1mW2  0.4440  83.751037  -5.266401
58740.84116 10.918  0.063 W1  0.4360  83.751038  -5.266392
58740.90655 12.740  0.149 W2  0.4704  83.751048  -5.266420
58741.44181 10.942  0.102 W1  0.4690  83.751012  -5.266451
58741.42992 12.750  0.523 W2  0.4324  83.750995  -5.266447
58741.44181 -1.808  0.533 W1mW2  0.4690  83.751012  -5.266451
58748.10227 11.116  0.029 W1  0.4932  83.751038  -5.266461
58898.75590 10.904  0.081 W1  0.5445  83.751049  -5.266453
58898.83451 12.810  0.361 W2  0.4453  83.751039  -5.266426
58898.75590 -1.906  0.370 W1mW2  0.5445  83.751049  -5.266453
58899.30853 10.955  0.045 W1  0.5164  83.751052  -5.266417
58899.38377 12.966  0.239 W2  0.5835  83.751074  -5.266435
58899.30853 -2.011  0.243 W1mW2  0.5164  83.751052  -5.266417
59107.94642 10.944  0.021 W1  0.4149  83.750993  -5.266479
59108.49129 10.973  0.043 W1  0.5046  83.751049  -5.266433
59108.50218 13.112  0.353 W2  0.4969  83.751045  -5.266436
59108.49129 -2.139  0.356 W1mW2  0.5046  83.751049  -5.266433
59109.05807 10.910  0.023 W1  0.3775  83.750995  -5.266464
59109.05807 13.663  0.391 W2  0.3775  83.750995  -5.266464
59109.05807 -2.753  0.392 W1mW2  0.3775  83.750995  -5.266464
