# MJD mag magerr filter flag distance ra dec
55263.85710 11.955  0.101 W1 10  1.9272  83.857355  -5.117930
55264.25401 11.956  0.103 W1 10  2.0839  83.857169  -5.118042
55263.92318 11.945  0.096 W1 10  2.3945  83.857286  -5.118103
55264.12170 11.976  0.106 W1 10  2.4381  83.857424  -5.118054
55264.38644 12.014  0.054 W1 10  2.5625  83.857032  -5.118180
55263.39397 12.007  0.099 W1 10  2.6429  83.857693  -5.117878
58012.59947 12.004  0.105 W1  5  0.6604  83.857221  -5.117588
58013.25411 11.925  0.027 W1 10  1.0460  83.857096  -5.117760
57446.91334 12.007  0.097 W1 10  1.1127  83.857352  -5.117619
58741.03745 12.237  0.112 W1 10  1.1290  83.857327  -5.117664
58741.56068 12.014  0.106 W1 10  1.2161  83.857349  -5.117675
58013.71240 11.909  0.097 W1 10  1.2573  83.857378  -5.117653
56915.73576 11.966  0.104 W1 10  1.2769  83.856978  -5.117810
57646.33873 11.897  0.092 W1 10  1.3603  83.857312  -5.117769
58377.73809 12.055  0.121 W1  5  1.3650  83.857324  -5.117761
58535.45527 12.110  0.036 W1  5  1.3705  83.857182  -5.117837
59108.73107 12.093  0.117 W1  5  1.3990  83.857470  -5.117459
58012.73037 12.001  0.121 W1 10  1.4423  83.857359  -5.117758
56919.87933 12.057  0.119 W1 10  1.4479  83.857444  -5.117644
57645.74915 11.959  0.101 W1 10  1.4668  83.857325  -5.117797
57281.84557 11.933  0.114 W1  5  1.4679  83.857437  -5.117669
58748.10227 12.139  0.134 W1  0  1.4699  83.857277  -5.117828
58899.09569 12.110  0.115 W1 10  1.5172  83.857483  -5.117599
57281.32081 12.091  0.134 W1  5  1.5300  83.857441  -5.117696
57646.46976 11.930  0.090 W1 10  1.6519  83.857493  -5.117674
59108.33874 11.903  0.092 W1 10  1.6603  83.857350  -5.117844
56728.29139 11.876  0.085 W1  0  1.6653  83.857324  -5.117864
56919.48471 12.106  0.127 W1 10  1.6885  83.857381  -5.117831
