# MJD mag magerr filter distance ra dec
55242.86712  7.869  0.039 W1  0.2061 167.227213 -77.036989
55242.86712  8.110  0.052 W2  0.2061 167.227213 -77.036989
55242.86712 -0.241  0.065 W1mW2  0.2061 167.227213 -77.036989
55243.54201  8.691  0.047 W1  0.2003 167.227311 -77.036954
55243.54201  8.082  0.054 W2  0.2003 167.227311 -77.036954
55243.54201  0.609  0.072 W1mW2  0.2003 167.227311 -77.036954
55244.32278  8.772  0.060 W1  0.2118 167.227324 -77.036922
55244.32278  8.155  0.060 W2  0.2118 167.227324 -77.036922
55244.32278  0.617  0.085 W1mW2  0.2118 167.227324 -77.036922
56704.87350  8.771  0.037 W1  0.1581 167.227233 -77.036954
56704.87350  8.119  0.054 W2  0.1581 167.227233 -77.036954
56704.87350  0.652  0.065 W1mW2  0.1581 167.227233 -77.036954
56705.62045  8.751  0.058 W1  0.1877 167.227290 -77.036939
56705.62045  8.087  0.057 W2  0.1877 167.227290 -77.036939
56705.62045  0.664  0.081 W1mW2  0.1877 167.227290 -77.036939
56706.44926  8.751  0.056 W1  0.2069 167.227313 -77.036943
56706.44926  8.098  0.049 W2  0.2069 167.227313 -77.036943
56706.44926  0.652  0.075 W1mW2  0.2069 167.227313 -77.036943
56710.65912  8.647  0.036 W1  0.2064 167.227327 -77.036929
56710.65912  7.986  0.043 W2  0.2064 167.227327 -77.036929
56710.65912  0.662  0.056 W1mW2  0.2064 167.227327 -77.036929
56885.95419  8.685  0.035 W1  0.1138 167.227154 -77.036913
56885.95419  8.062  0.040 W2  0.1138 167.227154 -77.036913
56885.95419  0.623  0.053 W1mW2  0.1138 167.227154 -77.036913
56886.56819  8.728  0.054 W1  0.1188 167.227214 -77.036938
56886.56819  8.073  0.050 W2  0.1188 167.227214 -77.036938
56886.56819  0.655  0.073 W1mW2  0.1188 167.227214 -77.036938
56887.45707  8.792  0.047 W1  0.1388 167.227225 -77.036934
56887.45707  8.105  0.048 W2  0.1388 167.227225 -77.036934
56887.45707  0.687  0.067 W1mW2  0.1388 167.227225 -77.036934
57069.77985  8.768  0.036 W1  0.1545 167.227249 -77.036952
57069.77985  8.082  0.042 W2  0.1545 167.227249 -77.036952
57069.77985  0.685  0.055 W1mW2  0.1545 167.227249 -77.036952
57070.50455  8.800  0.073 W1  0.1696 167.227276 -77.036939
57070.50455  8.078  0.072 W2  0.1696 167.227276 -77.036939
57070.50455  0.722  0.103 W1mW2  0.1696 167.227276 -77.036939
57071.25770  8.902  0.045 W1  0.1567 167.227272 -77.036940
57071.25770  8.181  0.047 W2  0.1567 167.227272 -77.036940
57071.25770  0.721  0.065 W1mW2  0.1567 167.227272 -77.036940
57244.95177  8.522  0.040 W1  0.1080 167.227209 -77.036939
57244.95177  7.840  0.045 W2  0.1080 167.227209 -77.036939
57244.95177  0.682  0.060 W1mW2  0.1080 167.227209 -77.036939
57245.61403  8.508  0.044 W1  0.1073 167.227181 -77.036935
57245.61403  7.818  0.051 W2  0.1073 167.227181 -77.036935
57245.61403  0.690  0.067 W1mW2  0.1073 167.227181 -77.036935
57246.48464  8.637  0.042 W1  0.1021 167.227182 -77.036940
57246.48464  7.894  0.045 W2  0.1021 167.227182 -77.036940
57246.48464  0.743  0.061 W1mW2  0.1021 167.227182 -77.036940
57433.82115  8.778  0.039 W1  0.1394 167.227221 -77.036933
57433.82115  8.160  0.044 W2  0.1394 167.227221 -77.036933
57433.82115  0.618  0.059 W1mW2  0.1394 167.227221 -77.036933
57434.59837  8.756  0.055 W1  0.1430 167.227235 -77.036940
57434.59837  8.141  0.053 W2  0.1430 167.227235 -77.036940
57434.59837  0.615  0.076 W1mW2  0.1430 167.227235 -77.036940
57435.34284  8.840  0.059 W1  0.1767 167.227294 -77.036945
57435.34284  8.205  0.044 W2  0.1767 167.227294 -77.036945
57435.34284  0.635  0.074 W1mW2  0.1767 167.227294 -77.036945
57603.83722  8.559  0.045 W1  0.0603 167.227141 -77.036942
57603.83722  7.919  0.047 W2  0.0603 167.227141 -77.036942
57603.83722  0.639  0.064 W1mW2  0.0603 167.227141 -77.036942
57604.58517  8.582  0.056 W1  0.0871 167.227160 -77.036936
57604.58517  7.955  0.055 W2  0.0871 167.227160 -77.036936
57604.58517  0.627  0.078 W1mW2  0.0871 167.227160 -77.036936
57605.36587  8.595  0.036 W1  0.1216 167.227218 -77.036934
57605.36587  7.982  0.043 W2  0.1216 167.227218 -77.036934
57605.36587  0.614  0.056 W1mW2  0.1216 167.227218 -77.036934
57611.92808  8.739  0.035 W1  0.1024 167.227182 -77.036951
57611.92808  8.111  0.042 W2  0.1024 167.227182 -77.036951
57611.92808  0.628  0.054 W1mW2  0.1024 167.227182 -77.036951
57797.98040  8.822  0.033 W1  0.1464 167.227229 -77.036963
57797.98040  8.147  0.042 W2  0.1464 167.227229 -77.036963
57797.98040  0.675  0.053 W1mW2  0.1464 167.227229 -77.036963
57798.60511  8.763  0.078 W1  0.1178 167.227200 -77.036940
57798.60511  8.116  0.051 W2  0.1178 167.227200 -77.036940
57798.60511  0.647  0.093 W1mW2  0.1178 167.227200 -77.036940
57799.41030  8.664  0.040 W1  0.1384 167.227218 -77.036933
57799.41030  8.073  0.044 W2  0.1384 167.227218 -77.036933
57799.41030  0.591  0.059 W1mW2  0.1384 167.227218 -77.036933
57803.02313  8.836  0.034 W1  0.0523 167.227136 -77.036933
57803.02313  8.222  0.042 W2  0.0523 167.227136 -77.036933
57803.02313  0.614  0.054 W1mW2  0.0523 167.227136 -77.036933
57964.62622  8.555  0.049 W1  0.0835 167.227122 -77.036940
57964.62622  7.953  0.055 W2  0.0835 167.227122 -77.036940
57964.62622  0.602  0.073 W1mW2  0.0835 167.227122 -77.036940
57965.49746  8.622  0.040 W1  0.0989 167.227170 -77.036938
57965.49746  7.990  0.045 W2  0.0989 167.227170 -77.036938
