# MJD mag magerr filter distance ra dec
55283.80617 13.121  0.120 W1  1.0083 278.142777  -2.318092
55283.80617 13.152  0.267 W2  1.0083 278.142777  -2.318092
55283.80617 -0.031  0.292 W1mW2  1.0083 278.142777  -2.318092
55284.35743 13.113  0.121 W1  1.1300 278.142804  -2.318064
55284.35743 12.972  0.191 W2  1.1300 278.142804  -2.318064
55284.35743  0.141  0.226 W1mW2  1.1300 278.142804  -2.318064
55292.14215 13.071  0.055 W1  0.8415 278.142733  -2.318044
55292.14215 13.392  0.158 W2  0.8415 278.142733  -2.318044
55292.14215 -0.321  0.167 W1mW2  0.8415 278.142733  -2.318044
56748.70867 12.973  0.162 W1  1.0464 278.142782  -2.318114
56748.70867 13.228  0.178 W2  1.0464 278.142782  -2.318114
56748.70867 -0.255  0.241 W1mW2  1.0464 278.142782  -2.318114
56749.13188 13.027  0.080 W1  1.1072 278.142801  -2.318110
56749.13188 13.194  0.133 W2  1.1072 278.142801  -2.318110
56749.13188 -0.167  0.155 W1mW2  1.1072 278.142801  -2.318110
56927.93467 12.979  0.074 W1  1.1954 278.142827  -2.318116
56927.93467 13.442  0.268 W2  1.1954 278.142827  -2.318116
56927.93467 -0.464  0.278 W1mW2  1.1954 278.142827  -2.318116
56928.50191 13.049  0.112 W1  1.0966 278.142783  -2.318167
56928.50191 13.248  0.133 W2  1.0966 278.142783  -2.318167
56928.50191 -0.200  0.174 W1mW2  1.0966 278.142783  -2.318167
56932.20958 12.964  0.043 W1  1.2542 278.142825  -2.318187
56932.20958 13.357  0.131 W2  1.2542 278.142825  -2.318187
56932.20958 -0.393  0.138 W1mW2  1.2542 278.142825  -2.318187
57110.51269 12.954  0.054 W1  0.9897 278.142764  -2.318118
57110.51269 13.298  0.211 W2  0.9897 278.142764  -2.318118
57110.51269 -0.344  0.218 W1mW2  0.9897 278.142764  -2.318118
57111.16933 12.853  0.036 W1  1.2930 278.142833  -2.318195
57111.16933 13.250  0.107 W2  1.2930 278.142833  -2.318195
57111.16933 -0.397  0.113 W1mW2  1.2930 278.142833  -2.318195
57289.74830 13.107  0.075 W1  0.9123 278.142749  -2.318107
57289.74830 13.338  0.108 W2  0.9123 278.142749  -2.318107
57289.74830 -0.231  0.131 W1mW2  0.9123 278.142749  -2.318107
57290.33206 13.063  0.118 W1  1.0203 278.142763  -2.318161
57290.33206 13.332  0.178 W2  1.0203 278.142763  -2.318161
57290.33206 -0.269  0.214 W1mW2  1.0203 278.142763  -2.318161
57474.68203 12.993  0.066 W1  1.1013 278.142805  -2.318074
57474.68203 13.366  0.185 W2  1.1013 278.142805  -2.318074
57474.68203 -0.374  0.196 W1mW2  1.1013 278.142805  -2.318074
57475.30028 13.018  0.162 W1  0.8987 278.142742  -2.318088
57475.30028 13.366  0.180 W2  0.8987 278.142742  -2.318088
57475.30028 -0.348  0.242 W1mW2  0.8987 278.142742  -2.318088
57478.86546 12.918  0.039 W1  1.0308 278.142773  -2.318145
57478.86546 13.215  0.122 W2  1.0308 278.142773  -2.318145
57478.86546 -0.297  0.128 W1mW2  1.0308 278.142773  -2.318145
57648.72855 13.135  0.150 W1  0.9318 278.142745  -2.318141
57648.72855 13.229  0.252 W2  0.9318 278.142745  -2.318141
57648.72855 -0.093  0.293 W1mW2  0.9318 278.142745  -2.318141
57649.25259 13.042  0.084 W1  1.1139 278.142798  -2.318138
57649.25259 13.310  0.183 W2  1.1139 278.142798  -2.318138
57649.25259 -0.268  0.201 W1mW2  1.1139 278.142798  -2.318138
57841.77493 13.069  0.179 W1  1.1952 278.142820  -2.318146
57841.77493 13.200  0.167 W2  1.1952 278.142820  -2.318146
57841.77493 -0.131  0.245 W1mW2  1.1952 278.142820  -2.318146
57842.29875 13.033  0.104 W1  1.0503 278.142773  -2.318148
57842.29875 13.309  0.152 W2  1.0503 278.142773  -2.318148
57842.29875 -0.276  0.184 W1mW2  1.0503 278.142773  -2.318148
58009.56337 13.005  0.091 W1  0.9750 278.142761  -2.318130
58009.56337 13.158  0.173 W2  0.9750 278.142761  -2.318130
58009.56337 -0.152  0.195 W1mW2  0.9750 278.142761  -2.318130
58010.20857 13.050  0.066 W1  0.8925 278.142720  -2.318174
58010.20857 13.263  0.098 W2  0.8925 278.142720  -2.318174
58010.20857 -0.213  0.118 W1mW2  0.8925 278.142720  -2.318174
58205.82253 13.062  0.100 W1  0.9072 278.142737  -2.318139
58205.82253 13.224  0.125 W2  0.9072 278.142737  -2.318139
58205.82253 -0.162  0.160 W1mW2  0.9072 278.142737  -2.318139
58206.34611 12.964  0.090 W1  1.0045 278.142768  -2.318135
58206.34611 13.304  0.194 W2  1.0045 278.142768  -2.318135
58206.34611 -0.339  0.214 W1mW2  1.0045 278.142768  -2.318135
58369.85154 13.028  0.065 W1  1.0905 278.142784  -2.318138
58369.85154 13.349  0.166 W2  1.0905 278.142784  -2.318138
58369.85154 -0.321  0.178 W1mW2  1.0905 278.142784  -2.318138
58370.39676 13.077  0.137 W1  1.0218 278.142770  -2.318137
58370.39676 13.295  0.157 W2  1.0218 278.142770  -2.318137
58370.39676 -0.218  0.209 W1mW2  1.0218 278.142770  -2.318137
58569.90227 12.960  0.044 W1  0.9605 278.142762  -2.318113
