# MJD mag magerr filter flag distance ra dec
55265.37929 13.182  0.112 W2 10  0.2281  85.359743  -2.305623
55265.84242 13.160  0.162 W2 10  0.3324  85.359668  -2.305517
55265.24699 12.940  0.072 W2 10  0.5026  85.359710  -2.305694
55265.51160 12.984  0.078 W2 10  0.7694  85.359648  -2.305748
55265.97472 12.865  0.201 W2 10  0.8739  85.359979  -2.305479
55264.98238 12.795  0.070 W2 10  1.0136  85.359996  -2.305697
55265.64403 13.135  0.088 W2 10  1.1637  85.359724  -2.305882
57812.79699 13.485  0.107 W2 10  0.2394  85.359745  -2.305494
58537.02599 13.417  0.111 W2 10  0.4044  85.359739  -2.305672
58536.82976 13.575  0.133 W2 10  1.1132  85.359962  -2.305785
58900.53499 13.437  0.166 W2 10  1.7649  85.360012  -2.305974
