# MJD mag magerr filter flag distance ra dec
59102.74671 10.776  0.019 W1  5  1.2837 279.601597   0.544522
58372.27326 10.795  0.018 W1  5  1.2838 279.601592   0.544540
58216.09744 10.762  0.017 W1  5  1.2841 279.601591   0.544545
59103.59681 10.763  0.016 W1  5  1.2843 279.601599   0.544515
59103.26981 10.745  0.016 W1  5  1.2844 279.601599   0.544514
56750.38222 10.838  0.020 W1 10  1.2850 279.601581   0.544574
58575.07054 10.763  0.017 W1  5  1.2851 279.601591   0.544546
58738.45262 10.774  0.018 W1  5  1.2864 279.601599   0.544516
56930.36853 10.783  0.016 W1 10  1.2867 279.601592   0.544542
57477.02987 10.793  0.020 W1  5  1.2870 279.601587   0.544560
58371.74977 10.778  0.020 W1  5  1.2879 279.601596   0.544530
56750.11888 10.804  0.018 W1 10  1.2892 279.601586   0.544563
59103.13903 10.787  0.018 W1  5  1.2899 279.601597   0.544528
56932.93337 10.782  0.017 W1 10  1.2899 279.601594   0.544540
58208.11258 10.797  0.019 W1  5  1.2915 279.601595   0.544538
58207.78545 10.764  0.020 W1  5  1.2923 279.601584   0.544573
58939.41727 10.774  0.019 W1  5  1.2929 279.601588   0.544561
56933.06491 10.788  0.015 W1 10  1.2953 279.601595   0.544541
57843.60782 10.801  0.018 W1  5  1.2980 279.601595   0.544543
58011.06008 10.776  0.019 W1  5  1.2998 279.601603   0.544517
56750.57972 10.776  0.016 W1  5  1.2999 279.601589   0.544565
58371.42251 10.821  0.017 W1  5  1.2999 279.601598   0.544536
57111.75967 10.803  0.016 W1 10  1.3020 279.601588   0.544568
58738.84508 10.803  0.017 W1  5  1.3024 279.601598   0.544541
58371.29161 10.769  0.020 W1  5  1.3031 279.601602   0.544525
57292.43807 10.833  0.017 W1  5  1.3044 279.601601   0.544531
58011.64927 10.805  0.019 W1  5  1.3048 279.601597   0.544544
57843.73885 10.810  0.020 W1  5  1.3057 279.601593   0.544559
57112.35064 10.800  0.017 W1  5  1.3069 279.601588   0.544573
57650.89082 10.785  0.016 W1  5  1.3069 279.601590   0.544567
57476.30901 10.789  0.017 W1  5  1.3077 279.601597   0.544547
57651.08743 10.820  0.020 W1  5  1.3089 279.601603   0.544528
57291.71657 10.814  0.018 W1  5  1.3094 279.601599   0.544541
56750.11875 10.767  0.018 W1  5  1.3122 279.601595   0.544557
57112.41635 10.798  0.020 W1 10  1.3130 279.601614   0.544427
57476.04682 10.755  0.018 W1 10  1.3168 279.601578   0.544602
56929.64513 10.810  0.017 W1 10  1.3195 279.601609   0.544513
57291.84773 10.779  0.017 W1  5  1.3196 279.601609   0.544513
58739.10676 10.785  0.018 W1  5  1.3213 279.601609   0.544517
58575.33222 10.778  0.018 W1  5  1.3214 279.601590   0.544577
58207.78532 10.777  0.022 W1  5  1.3217 279.601597   0.544560
57112.21936 10.801  0.018 W1  5  1.3224 279.601584   0.544594
58939.15559 10.753  0.019 W1  5  1.3244 279.601602   0.544547
58207.85090 10.797  0.022 W1  5  1.3247 279.601595   0.544569
57291.45425 10.839  0.022 W1  5  1.3302 279.601596   0.544570
57291.91331 10.819  0.022 W1  5  1.3352 279.601598   0.544569
57292.17575 10.790  0.017 W1  5  1.3373 279.601613   0.544519
56750.25042 10.801  0.022 W1  5  1.3373 279.601607   0.544544
58011.19098 10.807  0.019 W1  5  1.3391 279.601610   0.544533
56933.26228 10.794  0.019 W1 10  1.3410 279.601614   0.544520
57843.67340 10.805  0.025 W1  5  1.3413 279.601601   0.544566
57650.75979 10.792  0.016 W1  5  1.3424 279.601607   0.544547
56750.97472 10.826  0.017 W1  5  1.3443 279.601605   0.544557
58208.24348 10.774  0.018 W1  5  1.3456 279.601608   0.544548
56930.50007 10.813  0.016 W1 10  1.3461 279.601609   0.544544
56930.17128 10.798  0.016 W1 10  1.3468 279.601617   0.544513
57479.45478 10.782  0.022 W1  5  1.3469 279.601593   0.544589
57479.38920 10.800  0.017 W1  5  1.3483 279.601607   0.544555
56932.53875 10.819  0.020 W1 10  1.3498 279.601616   0.544520
57479.65126 10.793  0.018 W1  5  1.3502 279.601609   0.544548
58574.48173 10.801  0.017 W1  5  1.3503 279.601603   0.544567
