# MJD mag magerr filter distance ra dec
55259.77886 15.269  0.373 W1  0.8589 254.331835 -16.156558
55259.77886 11.919  0.086 W2  0.8589 254.331835 -16.156558
55259.77886  3.350  0.383 W1mW2  0.8589 254.331835 -16.156558
56724.25121 15.365  0.250 W1  0.4645 254.331750 -16.156332
56724.25121 12.086  0.075 W2  0.4645 254.331750 -16.156332
56724.25121  3.279  0.261 W1mW2  0.4645 254.331750 -16.156332
56906.02996 15.475  0.399 W1  0.2883 254.331662 -16.156411
56906.04406 11.941  0.074 W2  0.2827 254.331658 -16.156412
56906.02996  3.534  0.405 W1mW2  0.2883 254.331662 -16.156411
57086.93037 15.380  0.303 W1  0.5469 254.331812 -16.156387
57086.89584 12.076  0.054 W2  0.5438 254.331812 -16.156389
57086.93037  3.304  0.307 W1mW2  0.5469 254.331812 -16.156387
57265.21858 15.984  0.393 W1  0.4754 254.331756 -16.156465
57265.23330 12.219  0.099 W2  0.4719 254.331748 -16.156468
57265.21858  3.765  0.406 W1mW2  0.4754 254.331756 -16.156465
57453.29703 15.151  0.204 W1  0.4781 254.331794 -16.156349
57453.29703 11.712  0.079 W2  0.4781 254.331794 -16.156349
57453.29703  3.439  0.219 W1mW2  0.4781 254.331794 -16.156349
57624.09925 15.238  0.336 W1  0.5467 254.331734 -16.156507
57624.09925 11.781  0.068 W2  0.5467 254.331734 -16.156507
57624.09925  3.457  0.343 W1mW2  0.5467 254.331734 -16.156507
57817.62316 15.624  0.330 W1  0.4918 254.331779 -16.156373
57817.62316 12.084  0.058 W2  0.4918 254.331779 -16.156373
57817.62316  3.540  0.335 W1mW2  0.4918 254.331779 -16.156373
57984.52202 15.643  0.466 W1  0.3842 254.331701 -16.156407
57984.52202 12.118  0.081 W2  0.3842 254.331701 -16.156407
57984.52202  3.525  0.473 W1mW2  0.3842 254.331701 -16.156407
58181.68963 15.370  0.795 W1  0.4062 254.331748 -16.156352
58181.64236 12.080  0.071 W2  0.4109 254.331752 -16.156361
58181.68963  3.291  0.798 W1mW2  0.4062 254.331748 -16.156352
58344.95372 15.748  0.493 W1  0.5075 254.331696 -16.156500
58344.95372 12.280  0.063 W2  0.5075 254.331696 -16.156500
58344.95372  3.469  0.497 W1mW2  0.5075 254.331696 -16.156500
58548.79175 15.449  0.305 W1  0.6241 254.331843 -16.156390
58548.79175 12.131  0.122 W2  0.6241 254.331843 -16.156390
58548.79175  3.318  0.329 W1mW2  0.6241 254.331843 -16.156390
58712.20785 15.454  0.287 W1  0.4327 254.331592 -16.156399
58712.20785 12.240  0.078 W2  0.4327 254.331592 -16.156399
58712.20785  3.214  0.298 W1mW2  0.4327 254.331592 -16.156399
58913.05680 15.946  0.431 W1  0.6111 254.331671 -16.156285
58913.05680 12.397  0.097 W2  0.6111 254.331671 -16.156285
58913.05680  3.549  0.442 W1mW2  0.6111 254.331671 -16.156285
59076.40767 15.862  0.487 W1  0.4178 254.331629 -16.156449
59076.40767 12.202  0.074 W2  0.4178 254.331629 -16.156449
59076.40767  3.661  0.493 W1mW2  0.4178 254.331629 -16.156449
