# MJD mag magerr filter flag distance ra dec
59100.52237 13.160  0.048 W1  5  1.7958 277.695558  -1.947021
59101.17638 13.111  0.035 W1  5  1.9914 277.695460  -1.946948
58737.07852 13.035  0.036 W1  0  2.0059 277.695526  -1.946953
59101.37248 13.062  0.042 W1  5  2.0452 277.695547  -1.946946
59101.63403 13.048  0.033 W1  5  2.0463 277.695551  -1.946947
57648.99067 13.191  0.037 W1  0  2.0584 277.695517  -1.946937
56928.00056 13.216  0.058 W1  5  2.0590 277.695518  -1.946937
58733.61188 13.030  0.041 W1  5  2.0823 277.695512  -1.946929
59101.04548 13.092  0.038 W1  5  2.0859 277.695542  -1.946934
57474.93324 12.952  0.034 W1  5  2.1229 277.695630  -1.946949
59101.50325 13.113  0.041 W1  5  2.1306 277.695533  -1.946919
58370.04790 13.016  0.031 W1  5  2.1365 277.695574  -1.946927
58370.17829 13.006  0.032 W1  5  2.1953 277.695558  -1.946906
59100.65315 13.102  0.038 W1  5  2.2031 277.695475  -1.946891
57289.61714 13.230  0.046 W1  5  2.2063 277.695564  -1.946904
59100.78392 13.048  0.036 W1  5  2.2242 277.695505  -1.946888
58733.48059 12.949  0.036 W1  5  2.2527 277.695550  -1.946888
58737.07839 13.421  0.058 W1  0  2.2570 277.695413  -1.946873
58736.35893 13.252  0.057 W1  5  2.2764 277.695490  -1.946872
57286.59987 13.248  0.040 W1  5  2.2802 277.695580  -1.946887
58369.58987 13.143  0.041 W1  5  2.3022 277.695578  -1.946880
57289.81401 13.324  0.058 W1  5  2.3278 277.695582  -1.946874
59101.04560 13.008  0.033 W1  5  2.3294 277.695513  -1.946860
58369.91700 13.032  0.035 W1  5  2.3345 277.695471  -1.946854
58369.32806 13.129  0.042 W1  5  2.3576 277.695511  -1.946851
58736.62049 13.046  0.039 W1  5  2.3599 277.695555  -1.946858
57649.25261 13.160  0.043 W1  5  2.3632 277.695528  -1.946852
57648.27007 13.205  0.066 W1  5  2.3658 277.695529  -1.946852
58736.48971 12.793  0.038 W1  5  2.3698 277.695600  -1.946867
58369.85154 12.956  0.035 W1  5  2.3718 277.695516  -1.946848
58733.35032 13.154  0.046 W1  5  2.3906 277.695504  -1.946841
58569.37879 13.274  0.065 W1  0  2.3999 277.695603  -1.946859
58369.65532 13.125  0.038 W1  5  2.4564 277.695604  -1.946843
57289.94517 13.184  0.040 W1  5  2.4690 277.695559  -1.946828
58573.10826 13.079  0.036 W1  5  2.4817 277.695581  -1.946830
58736.75139 13.148  0.034 W1  0  2.4848 277.695522  -1.946817
57474.80209 13.123  0.034 W1 10  2.4900 277.695558  -1.946822
57474.47445 13.193  0.045 W1  5  2.5070 277.695658  -1.946846
58736.88217 13.223  0.043 W1  5  2.5130 277.695538  -1.946812
58369.78609 13.046  0.042 W1  5  2.5225 277.695522  -1.946807
57648.40097 12.905  0.041 W1  5  2.5329 277.695557  -1.946810
57648.53200 13.061  0.041 W1  5  2.5500 277.695532  -1.946800
56748.21009 13.019  0.035 W1  5  2.5656 277.695581  -1.946806
