index,ra,dec,class,cat
1,85.677833333,-10.41925,P,Megeath
2,85.627291666,-10.17994444,D,Megeath
3,85.756625,-10.13063888,D,Megeath
4,85.554458333,-10.09302777,P,Megeath
5,85.632375,-10.09061111,D,Megeath
6,85.658458333,-10.06211111,D,Megeath
7,85.749708333,-10.06111111,D,Megeath
8,85.749958333,-10.05983333,D,Megeath
9,85.741,-10.05980555,D,Megeath
10,85.654583333,-10.05822222,D,Megeath
11,85.685166666,-10.05511111,D,Megeath
12,85.720083333,-10.04480555,D,Megeath
13,85.719125,-10.04177777,D,Megeath
14,85.5285,-10.04116666,FP,Megeath
15,85.551708333,-10.03641666,D,Megeath
16,85.643375,-10.03108333,D,Megeath
17,85.615625,-10.03086111,D,Megeath
18,85.607541666,-10.02997222,D,Megeath
19,85.663625,-10.02983333,FP,Megeath
20,85.645333333,-10.02952777,D,Megeath
21,85.618875,-10.02855555,D,Megeath
22,85.631333333,-10.02680555,D,Megeath
23,85.638083333,-10.02208333,P,Megeath
24,85.641208333,-10.02041666,P,Megeath
25,85.500333333,-10.01977777,D,Megeath
26,85.659,-10.01869444,D,Megeath
27,85.673125,-10.01830555,D,Megeath
28,85.771083333,-10.01736111,D,Megeath
29,85.65225,-10.01730555,D,Megeath
30,85.563791666,-10.01633333,D,Megeath
31,85.599,-10.01591666,P,Megeath
32,85.640875,-10.01469444,P,Megeath
33,85.5665,-10.01133333,D,Megeath
34,85.626791666,-10.01058333,D,Megeath
35,85.601333333,-10.01030555,D,Megeath
36,85.662875,-10.00930555,D,Megeath
37,85.585958333,-10.00563888,P,Megeath
38,85.770458333,-10.00552777,D,Megeath
39,85.634625,-10.00480555,D,Megeath
40,85.5795,-10.00219444,P,Megeath
41,85.643083333,-9.996777777,D,Megeath
42,85.574291666,-9.996638888,P,Megeath
43,85.570291666,-9.995,D,Megeath
44,85.572708333,-9.994805555,P,Megeath
45,85.65425,-9.99375,D,Megeath
46,85.652041666,-9.986833333,D,Megeath
47,85.649333333,-9.981944444,D,Megeath
48,85.677583333,-9.977527777,D,Megeath
49,85.543333333,-9.977194444,D,Megeath
50,85.739833333,-9.973333333,D,Megeath
51,85.631875,-9.961416666,D,Megeath
52,85.715583333,-9.961305555,D,Megeath
53,85.73675,-9.960111111,D,Megeath
54,85.511916666,-9.953361111,D,Megeath
55,85.558791666,-9.938916666,D,Megeath
56,85.559083333,-9.936888888,D,Megeath
57,85.674,-9.935638888,D,Megeath
58,85.7245,-9.933361111,D,Megeath
59,85.663416666,-9.92575,D,Megeath
60,85.744208333,-9.921638888,P,Megeath
61,85.638541666,-9.909083333,D,Megeath
62,85.693583333,-9.900555555,D,Megeath
63,85.488791666,-9.899611111,D,Megeath
64,85.591791666,-9.890138888,D,Megeath
65,85.628041666,-9.884194444,D,Megeath
66,85.763125,-9.870027777,D,Megeath
67,85.766833333,-9.866888888,D,Megeath
68,85.750333333,-9.852638888,D,Megeath
69,85.7345,-9.847666666,P,Megeath
70,85.737666666,-9.847416666,D,Megeath
71,85.70375,-9.836666666,D,Megeath
72,85.491625,-9.830833333,D,Megeath
73,85.589166666,-9.828916666,D,Megeath
74,85.692041666,-9.828472222,D,Megeath
75,85.692958333,-9.800833333,D,Megeath
76,85.703666666,-9.795166666,P,Megeath
77,85.620833333,-9.792388888,P,Megeath
78,85.69875,-9.789444444,D,Megeath
79,85.736166666,-9.782944444,D,Megeath
80,85.409916666,-9.777916666,D,Megeath
81,85.624375,-9.777555555,D,Megeath
82,85.732791666,-9.77675,D,Megeath
83,85.696,-9.774416666,D,Megeath
84,85.81275,-9.772944444,D,Megeath
85,85.700583333,-9.77125,D,Megeath
86,85.704958333,-9.766972222,D,Megeath
87,85.714958333,-9.76425,D,Megeath
88,85.718416666,-9.761027777,D,Megeath
89,85.704666666,-9.759555555,P,Megeath
90,85.709,-9.755138888,D,Megeath
91,85.70575,-9.754194444,D,Megeath
92,85.69,-9.752361111,D,Megeath
93,85.636416666,-9.751833333,D,Megeath
94,85.242666666,-9.751805555,D,Megeath
95,85.677583333,-9.750916666,D,Megeath
96,85.699375,-9.747472222,D,Megeath
97,85.684041666,-9.746916666,D,Megeath
98,85.706083333,-9.744361111,D,Megeath
99,85.593,-9.73925,D,Megeath
100,85.318791666,-9.737333333,D,Megeath
101,85.303166666,-9.661,D,Megeath
102,85.706166666,-9.644972222,D,Megeath
103,85.457833333,-9.631083333,FP,Megeath
104,85.179333333,-9.618527777,D,Megeath
105,85.263541666,-9.614361111,D,Megeath
106,85.172708333,-9.607166666,D,Megeath
107,85.1265,-9.598083333,D,Megeath
108,85.390041666,-9.579055555,D,Megeath
109,85.218958333,-9.577472222,D,Megeath
110,85.40125,-9.566416666,D,Megeath
111,85.514,-9.548638888,D,Megeath
112,85.266375,-9.539222222,D,Megeath
113,85.288125,-9.53725,D,Megeath
114,85.220041666,-9.536222222,D,Megeath
115,85.365416666,-9.528083333,D,Megeath
116,85.412208333,-9.523666666,FP,Megeath
117,85.402958333,-9.512805555,D,Megeath
118,85.317375,-9.504694444,D,Megeath
119,85.291875,-9.494611111,D,Megeath
120,85.311375,-9.482166666,D,Megeath
121,85.216708333,-9.46925,D,Megeath
122,85.122583333,-9.468777777,P,Megeath
123,85.218416666,-9.457388888,D,Megeath
124,85.407666666,-9.438444444,D,Megeath
125,85.503625,-9.420888888,P,Megeath
126,85.258166666,-9.398305555,D,Megeath
127,85.202166666,-9.396305555,D,Megeath
128,85.367541666,-9.394583333,D,Megeath
129,85.267208333,-9.388722222,D,Megeath
130,85.148833333,-9.378888888,D,Megeath
131,85.24475,-9.377055555,D,Megeath
132,85.779666666,-9.373527777,D,Megeath
133,85.666,-9.362722222,D,Megeath
134,85.295625,-9.353166666,D,Megeath
135,85.687875,-9.345,D,Megeath
136,85.239458333,-9.342027777,D,Megeath
137,85.155708333,-9.341861111,D,Megeath
138,85.206083333,-9.340666666,FP,Megeath
139,85.129,-9.337638888,D,Megeath
140,85.191375,-9.336,D,Megeath
141,85.246458333,-9.329805555,D,Megeath
142,85.278,-9.319722222,D,Megeath
143,85.273,-9.313277777,D,Megeath
144,85.272875,-9.311916666,D,Megeath
145,85.244458333,-9.302,D,Megeath
146,85.415416666,-9.290361111,D,Megeath
147,85.175583333,-9.287333333,D,Megeath
148,85.122791666,-9.284277777,D,Megeath
149,85.292208333,-9.265222222,D,Megeath
150,85.680291666,-9.258555555,FP,Megeath
151,85.288166666,-9.234555555,D,Megeath
152,85.243291666,-9.230416666,D,Megeath
153,85.732708333,-9.225277777,P,Megeath
154,85.261208333,-9.207944444,D,Megeath
155,85.662208333,-9.201555555,D,Megeath
156,85.316458333,-9.199194444,D,Megeath
157,85.594125,-9.198472222,D,Megeath
158,85.682625,-9.17875,D,Megeath
159,85.682333333,-9.177305555,D,Megeath
160,85.699125,-9.177138888,D,Megeath
161,85.517083333,-9.145027777,D,Megeath
162,85.40575,-9.130833333,D,Megeath
163,85.212833333,-9.106472222,P,Megeath
164,85.2245,-9.101138888,D,Megeath
165,85.127333333,-9.098805555,D,Megeath
166,85.239958333,-9.097166666,D,Megeath
167,85.887041666,-9.050194444,D,Megeath
168,85.540541666,-9.027694444,D,Megeath
169,85.405125,-9.0265,D,Megeath
170,85.296291666,-9.021444444,D,Megeath
171,85.301708333,-9.018777777,D,Megeath
172,86.066458333,-9.007722222,D,Megeath
173,85.346791666,-8.995166666,D,Megeath
174,85.300958333,-8.983194444,D,Megeath
175,85.3005,-8.981305555,D,Megeath
176,85.345583333,-8.978444444,D,Megeath
177,85.360375,-8.977583333,D,Megeath
178,85.29925,-8.958527777,P,Megeath
179,85.724,-8.957638888,D,Megeath
180,85.299625,-8.950888888,P,Megeath
181,85.208375,-8.944388888,D,Megeath
182,85.352083333,-8.94225,D,Megeath
183,86.041958333,-8.930277777,FP,Megeath
184,85.6655,-8.913833333,D,Megeath
185,85.104708333,-8.905916666,D,Megeath
186,85.153666666,-8.896611111,D,Megeath
187,85.643916666,-8.893944444,D,Megeath
188,85.302333333,-8.879444444,D,Megeath
189,85.730833333,-8.872305555,D,Megeath
190,85.175,-8.871777777,D,Megeath
191,85.205041666,-8.855972222,D,Megeath
192,85.203625,-8.85425,D,Megeath
193,85.199416666,-8.851194444,D,Megeath
194,85.200291666,-8.845527777,D,Megeath
195,85.220041666,-8.843138888,D,Megeath
196,85.663,-8.840916666,D,Megeath
197,85.66075,-8.8385,P,Megeath
198,85.676625,-8.803833333,D,Megeath
199,85.762,-8.797055555,P,Megeath
200,85.107208333,-8.781027777,P,Megeath
201,85.792416666,-8.768861111,P,Megeath
202,85.679458333,-8.759805555,D,Megeath
203,85.679166666,-8.759138888,D,Megeath
204,85.78025,-8.741972222,P,Megeath
205,85.87925,-8.739861111,D,Megeath
206,85.753708333,-8.738444444,D,Megeath
207,85.719666666,-8.736861111,FP,Megeath
208,85.275958333,-8.734916666,D,Megeath
209,85.377125,-8.733027777,D,Megeath
210,85.501083333,-8.72475,D,Megeath
211,85.371875,-8.717861111,P,Megeath
212,85.374083333,-8.712777777,P,Megeath
213,85.720375,-8.694777777,D,Megeath
214,85.75375,-8.687305555,D,Megeath
215,85.659541666,-8.683805555,D,Megeath
216,85.399791666,-8.682833333,D,Megeath
217,85.331458333,-8.677416666,D,Megeath
218,85.37675,-8.673,P,Megeath
219,85.376458333,-8.671555555,P,Megeath
220,85.399833333,-8.671166666,D,Megeath
221,85.383416666,-8.669361111,P,Megeath
222,85.37525,-8.669277777,P,Megeath
223,85.669916666,-8.669055555,D,Megeath
224,85.700375,-8.668972222,P,Megeath
225,85.692041666,-8.666888888,D,Megeath
226,85.728041666,-8.666527777,D,Megeath
227,85.710333333,-8.665972222,D,Megeath
228,85.718708333,-8.654611111,D,Megeath
229,85.344125,-8.654444444,D,Megeath
230,85.345541666,-8.653055555,D,Megeath
231,85.766333333,-8.652555555,D,Megeath
232,85.70825,-8.650777777,D,Megeath
233,85.71425,-8.650527777,D,Megeath
234,85.716791666,-8.649916666,D,Megeath
235,85.654958333,-8.646305555,D,Megeath
236,85.702916666,-8.641888888,D,Megeath
237,85.71025,-8.641416666,D,Megeath
238,85.522666666,-8.641222222,D,Megeath
239,85.70725,-8.640472222,D,Megeath
240,85.741416666,-8.640361111,D,Megeath
241,85.697375,-8.635722222,D,Megeath
242,85.742791666,-8.634833333,P,Megeath
243,85.697791666,-8.634472222,D,Megeath
244,85.384708333,-8.632083333,P,Megeath
245,85.734916666,-8.629333333,D,Megeath
246,85.743166666,-8.62875,P,Megeath
247,85.4735,-8.628666666,D,Megeath
248,85.743291666,-8.628222222,D,Megeath
249,85.793041666,-8.624361111,D,Megeath
250,85.426791666,-8.618666666,D,Megeath
251,85.728041666,-8.617777777,D,Megeath
252,85.313375,-8.617638888,D,Megeath
253,86.181333333,-8.614833333,D,Megeath
254,85.363291666,-8.61275,D,Megeath
255,85.696791666,-8.610166666,P,Megeath
256,85.760833333,-8.596888888,D,Megeath
257,85.392375,-8.591027777,P,Megeath
258,85.394958333,-8.58975,D,Megeath
259,85.709416666,-8.577111111,D,Megeath
260,85.929125,-8.575,D,Megeath
261,85.931708333,-8.571166666,D,Megeath
262,85.794708333,-8.565361111,D,Megeath
263,85.687583333,-8.560083333,D,Megeath
264,85.354541666,-8.559972222,D,Megeath
265,85.343958333,-8.557722222,D,Megeath
266,85.204125,-8.555972222,FP,Megeath
267,85.627458333,-8.548638888,D,Megeath
268,85.731416666,-8.54675,P,Megeath
269,85.806291666,-8.516805555,D,Megeath
270,85.789916666,-8.490861111,P,Megeath
271,85.663916666,-8.441194444,D,Megeath
272,85.657041666,-8.420944444,D,Megeath
273,85.811,-8.418222222,D,Megeath
274,85.737291666,-8.380583333,D,Megeath
275,85.767708333,-8.371805555,D,Megeath
276,85.436916666,-8.358527777,D,Megeath
277,85.713208333,-8.354472222,D,Megeath
278,85.723291666,-8.339611111,D,Megeath
279,85.943541666,-8.314444444,D,Megeath
280,85.738375,-8.307944444,D,Megeath
281,85.692875,-8.305333333,D,Megeath
282,85.76825,-8.303,D,Megeath
283,85.739125,-8.296138888,D,Megeath
284,85.14025,-8.295388888,D,Megeath
285,85.76475,-8.29175,D,Megeath
286,85.705916666,-8.285333333,D,Megeath
287,85.696041666,-8.285277777,P,Megeath
288,85.818458333,-8.281916666,D,Megeath
289,85.684583333,-8.279472222,D,Megeath
290,85.768958333,-8.277555555,D,Megeath
291,85.65925,-8.2765,D,Megeath
292,85.701916666,-8.27625,P,Megeath
293,85.678791666,-8.267638888,FP,Megeath
294,85.675333333,-8.254194444,D,Megeath
295,85.60825,-8.250638888,D,Megeath
296,85.648291666,-8.2505,D,Megeath
297,85.6895,-8.238222222,D,Megeath
298,85.080791666,-8.237888888,D,Megeath
299,85.708166666,-8.237666666,D,Megeath
300,85.087291666,-8.235111111,D,Megeath
301,85.087,-8.232,P,Megeath
302,85.813833333,-8.227666666,D,Megeath
303,85.559458333,-8.22275,D,Megeath
304,85.805875,-8.218444444,D,Megeath
305,85.374291666,-8.217166666,D,Megeath
306,85.739791666,-8.212,D,Megeath
307,85.707458333,-8.202861111,D,Megeath
308,85.533416666,-8.200666666,D,Megeath
309,85.545083333,-8.193305555,D,Megeath
310,85.785416666,-8.192222222,D,Megeath
311,85.5215,-8.190722222,D,Megeath
312,85.778666666,-8.188,D,Megeath
313,85.107166666,-8.188,D,Megeath
314,85.758666666,-8.187194444,D,Megeath
315,85.202166666,-8.185833333,D,Megeath
316,85.6145,-8.184305555,D,Megeath
317,85.628583333,-8.179333333,D,Megeath
318,85.691375,-8.177916666,D,Megeath
319,85.697375,-8.169111111,P,Megeath
320,85.556291666,-8.167083333,D,Megeath
321,85.641666666,-8.166611111,D,Megeath
322,85.605958333,-8.165305555,D,Megeath
323,85.614875,-8.164527777,D,Megeath
324,85.196333333,-8.163277777,P,Megeath
325,85.680583333,-8.163111111,D,Megeath
326,85.63775,-8.160666666,D,Megeath
327,85.235291666,-8.158222222,D,Megeath
328,85.68325,-8.157416666,D,Megeath
329,85.827291666,-8.156777777,D,Megeath
330,85.746416666,-8.156583333,D,Megeath
331,85.594708333,-8.156555555,D,Megeath
332,85.598375,-8.152861111,D,Megeath
333,85.628333333,-8.151444444,P,Megeath
334,85.090958333,-8.148805555,D,Megeath
335,85.717958333,-8.148638888,D,Megeath
336,85.607291666,-8.14725,D,Megeath
337,85.021583333,-8.14325,D,Megeath
338,85.133791666,-8.14175,D,Megeath
339,85.589875,-8.141611111,D,Megeath
340,85.631375,-8.139722222,D,Megeath
341,85.397666666,-8.139583333,P,Megeath
342,85.308375,-8.132611111,D,Megeath
343,85.542666666,-8.130277777,D,Megeath
344,85.600958333,-8.129916666,D,Megeath
345,85.598666666,-8.129833333,D,Megeath
346,85.556666666,-8.129027777,D,Megeath
347,85.715208333,-8.128083333,D,Megeath
348,85.113125,-8.126833333,D,Megeath
349,85.184,-8.126333333,D,Megeath
350,85.104,-8.125833333,D,Megeath
351,85.194125,-8.12025,D,Megeath
352,85.2035,-8.115888888,P,Megeath
353,85.256916666,-8.112444444,P,Megeath
354,85.188583333,-8.111694444,P,Megeath
355,85.187625,-8.110944444,D,Megeath
356,85.629083333,-8.110555555,D,Megeath
357,85.683833333,-8.107305555,D,Megeath
358,85.208,-8.102305555,P,Megeath
359,85.756666666,-8.101,D,Megeath
360,85.699125,-8.100944444,D,Megeath
361,85.248833333,-8.100916666,D,Megeath
362,85.258291666,-8.100527777,P,Megeath
363,85.208083333,-8.09975,D,Megeath
364,85.200208333,-8.099638888,D,Megeath
365,85.696583333,-8.099138888,D,Megeath
366,85.208416666,-8.098722222,D,Megeath
367,85.355583333,-8.098555555,P,Megeath
368,85.22025,-8.096888888,P,Megeath
369,85.210708333,-8.096861111,D,Megeath
370,85.614875,-8.090611111,D,Megeath
371,85.1925,-8.090138888,D,Megeath
372,85.530208333,-8.090083333,D,Megeath
373,85.225041666,-8.086944444,P,Megeath
374,85.288416666,-8.085444444,D,Megeath
375,85.581541666,-8.085444444,D,Megeath
376,85.195041666,-8.081833333,D,Megeath
377,85.757333333,-8.080583333,D,Megeath
378,85.377375,-8.079972222,D,Megeath
379,85.376458333,-8.078444444,D,Megeath
380,85.223541666,-8.073166666,D,Megeath
381,85.370416666,-8.070305555,D,Megeath
382,85.697625,-8.068166666,D,Megeath
383,85.155541666,-8.0675,D,Megeath
384,85.375875,-8.061527777,P,Megeath
385,85.370708333,-8.057166666,P,Megeath
386,85.361,-8.0535,P,Megeath
387,85.170708333,-8.0385,D,Megeath
388,85.642916666,-8.036722222,D,Megeath
389,84.8425,-8.026305555,D,Megeath
390,84.7145,-8.024305555,D,Megeath
391,85.458125,-8.024027777,P,Megeath
392,85.467958333,-8.022777777,P,Megeath
393,85.358208333,-8.021055555,P,Megeath
394,85.546041666,-8.018194444,D,Megeath
395,85.523208333,-8.018166666,D,Megeath
396,85.36,-8.01725,P,Megeath
397,85.36275,-8.015222222,P,Megeath
398,85.159708333,-8.01,P,Megeath
399,85.457166666,-8.008916666,D,Megeath
400,85.423625,-8.005111111,D,Megeath
401,85.246291666,-8.003972222,P,Megeath
402,85.389125,-7.998944444,D,Megeath
403,85.477666666,-7.986777777,D,Megeath
404,85.56075,-7.98275,D,Megeath
405,85.609958333,-7.982388888,D,Megeath
406,85.34525,-7.982222222,P,Megeath
407,85.610375,-7.980805555,D,Megeath
408,85.559541666,-7.976444444,D,Megeath
409,85.105625,-7.97575,D,Megeath
410,85.621416666,-7.974916666,D,Megeath
411,85.432125,-7.972888888,D,Megeath
412,85.436666666,-7.970916666,D,Megeath
413,85.342041666,-7.9675,P,Megeath
414,85.205791666,-7.960583333,D,Megeath
415,85.109458333,-7.953888888,D,Megeath
416,85.455083333,-7.953388888,D,Megeath
417,85.337583333,-7.951777777,FP,Megeath
418,85.536791666,-7.948527777,D,Megeath
419,85.338625,-7.948361111,D,Megeath
420,85.35925,-7.947666666,P,Megeath
421,85.085541666,-7.944333333,D,Megeath
422,85.084541666,-7.94025,D,Megeath
423,85.087,-7.940194444,P,Megeath
424,85.512208333,-7.939083333,D,Megeath
425,85.439958333,-7.931944444,D,Megeath
426,85.332791666,-7.929611111,P,Megeath
427,85.36025,-7.928305555,D,Megeath
428,85.115916666,-7.92675,D,Megeath
429,85.103958333,-7.9265,D,Megeath
430,85.328708333,-7.92475,P,Megeath
431,85.333833333,-7.923277777,D,Megeath
432,85.356083333,-7.921944444,P,Megeath
433,85.352166666,-7.918694444,P,Megeath
434,85.388416666,-7.91725,D,Megeath
435,85.339208333,-7.916972222,D,Megeath
436,85.086333333,-7.916583333,P,Megeath
437,85.168875,-7.911055555,P,Megeath
438,85.374833333,-7.905861111,D,Megeath
439,85.352958333,-7.902361111,P,Megeath
440,85.369875,-7.8975,P,Megeath
441,85.331041666,-7.896583333,D,Megeath
442,85.317083333,-7.896416666,D,Megeath
443,85.058833333,-7.896333333,D,Megeath
444,85.348666666,-7.896333333,P,Megeath
445,85.349875,-7.895,P,Megeath
446,85.329541666,-7.893722222,D,Megeath
447,85.299208333,-7.893277777,FP,Megeath
448,85.340541666,-7.887861111,D,Megeath
449,85.334666666,-7.886277777,P,Megeath
450,84.941791666,-7.883472222,D,Megeath
451,85.350291666,-7.880222222,FP,Megeath
452,85.518125,-7.873333333,D,Megeath
453,85.518541666,-7.863805555,D,Megeath
454,85.319541666,-7.854972222,D,Megeath
455,85.084791666,-7.854138888,P,Megeath
456,84.909833333,-7.853638888,D,Megeath
457,85.331916666,-7.844722222,P,Megeath
458,84.646583333,-7.838777777,D,Megeath
459,85.149458333,-7.835944444,D,Megeath
460,84.6185,-7.833527777,D,Megeath
461,85.47525,-7.831444444,D,Megeath
462,85.324125,-7.831055555,D,Megeath
463,85.357708333,-7.830722222,D,Megeath
464,84.811833333,-7.828916666,D,Megeath
465,85.183166666,-7.825111111,P,Megeath
466,85.366708333,-7.822888888,D,Megeath
467,85.344541666,-7.821138888,D,Megeath
468,85.071458333,-7.820666666,D,Megeath
469,85.160541666,-7.819166666,D,Megeath
470,85.151458333,-7.818611111,P,Megeath
471,85.076916666,-7.818527777,D,Megeath
472,84.917583333,-7.816666666,D,Megeath
473,85.062208333,-7.813527777,P,Megeath
474,85.181583333,-7.813277777,D,Megeath
475,85.074125,-7.807222222,P,Megeath
476,85.249625,-7.804444444,D,Megeath
477,85.239375,-7.802444444,D,Megeath
478,85.245375,-7.800416666,D,Megeath
479,85.16025,-7.796333333,D,Megeath
480,85.026083333,-7.795694444,D,Megeath
481,85.279125,-7.787805555,D,Megeath
482,85.009875,-7.786722222,FP,Megeath
483,85.27275,-7.785444444,D,Megeath
484,84.652416666,-7.776222222,D,Megeath
485,85.2055,-7.775694444,D,Megeath
486,85.279416666,-7.772888888,D,Megeath
487,85.26925,-7.761138888,D,Megeath
488,85.183958333,-7.752694444,D,Megeath
489,85.178791666,-7.750527777,P,Megeath
490,85.171791666,-7.749222222,D,Megeath
491,85.184375,-7.745416666,D,Megeath
492,84.60375,-7.743638888,D,Megeath
493,84.69925,-7.742388888,D,Megeath
494,85.184833333,-7.737972222,D,Megeath
495,84.90125,-7.730861111,D,Megeath
496,85.266958333,-7.727333333,D,Megeath
497,85.24925,-7.720694444,D,Megeath
498,85.102583333,-7.718972222,P,Megeath
499,85.362541666,-7.709388888,FP,Megeath
500,85.37525,-7.678805555,FP,Megeath
501,85.098291666,-7.673666666,D,Megeath
502,85.115833333,-7.663722222,D,Megeath
503,85.148625,-7.663027777,D,Megeath
504,85.155791666,-7.660083333,D,Megeath
505,84.480875,-7.658138888,D,Megeath
506,84.608416666,-7.633083333,D,Megeath
507,85.138291666,-7.628777777,D,Megeath
508,84.996833333,-7.625805555,D,Megeath
509,85.108708333,-7.625555555,P,Megeath
510,85.13025,-7.617,D,Megeath
511,84.471958333,-7.5625,D,Megeath
512,85.057458333,-7.537805555,D,Megeath
513,85.226125,-7.530055555,D,Megeath
514,84.994583333,-7.520027777,P,Megeath
515,84.973125,-7.515833333,D,Megeath
516,84.636041666,-7.514472222,D,Megeath
517,85.048166666,-7.511333333,D,Megeath
518,84.983125,-7.507777777,P,Megeath
519,84.986916666,-7.506777777,P,Megeath
520,84.979083333,-7.505555555,D,Megeath
521,84.984083333,-7.504138888,D,Megeath
522,84.04875,-7.503111111,D,Megeath
523,84.97275,-7.502638888,D,Megeath
524,84.986458333,-7.501694444,P,Megeath
525,85.186125,-7.498472222,D,Megeath
526,84.979416666,-7.493611111,D,Megeath
527,84.989208333,-7.492611111,P,Megeath
528,85.024583333,-7.492472222,P,Megeath
529,84.991541666,-7.482638888,P,Megeath
530,85.06375,-7.479666666,D,Megeath
531,84.409125,-7.472,FP,Megeath
532,84.727041666,-7.464388888,D,Megeath
533,84.978041666,-7.46225,D,Megeath
534,85.033208333,-7.461444444,D,Megeath
535,85.043083333,-7.460611111,D,Megeath
536,85.114291666,-7.458277777,P,Megeath
537,85.036583333,-7.457694444,P,Megeath
538,85.050875,-7.450694444,D,Megeath
539,84.81275,-7.449944444,D,Megeath
540,84.842916666,-7.445694444,D,Megeath
541,84.992208333,-7.444777777,D,Megeath
542,84.833791666,-7.443638888,D,Megeath
543,84.954833333,-7.443527777,D,Megeath
544,84.907375,-7.43975,D,Megeath
545,84.831708333,-7.438555555,P,Megeath
546,84.954541666,-7.438111111,D,Megeath
547,84.897833333,-7.437916666,D,Megeath
548,84.86275,-7.437055555,D,Megeath
549,84.99225,-7.437027777,D,Megeath
550,84.893,-7.4365,P,Megeath
551,84.83325,-7.436444444,P,Megeath
552,84.82525,-7.436416666,D,Megeath
553,84.91875,-7.434305555,D,Megeath
554,83.831416666,-7.433777777,D,Megeath
555,84.820291666,-7.433388888,D,Megeath
556,85.085,-7.431666666,D,Megeath
557,84.864,-7.431583333,D,Megeath
558,84.985416666,-7.430972222,P,Megeath
559,85.021416666,-7.428833333,D,Megeath
560,85.005708333,-7.427388888,P,Megeath
561,84.995458333,-7.425972222,D,Megeath
562,84.99125,-7.420305555,P,Megeath
563,84.980541666,-7.411055555,D,Megeath
564,84.04475,-7.407916666,P,Megeath
565,85.100041666,-7.407861111,D,Megeath
566,84.909875,-7.406638888,D,Megeath
567,84.981,-7.405416666,P,Megeath
568,84.910333333,-7.404694444,D,Megeath
569,84.404166666,-7.404638888,D,Megeath
570,84.868083333,-7.404305555,D,Megeath
571,84.951625,-7.404138888,D,Megeath
572,84.977416666,-7.404111111,P,Megeath
573,85.027375,-7.400472222,D,Megeath
574,85.02725,-7.399638888,D,Megeath
575,84.961041666,-7.391805555,P,Megeath
576,84.926875,-7.387916666,D,Megeath
577,84.88875,-7.382611111,P,Megeath
578,85.183291666,-7.378583333,FP,Megeath
579,84.940916666,-7.377,D,Megeath
580,84.684541666,-7.374416666,D,Megeath
581,85.187875,-7.373638888,D,Megeath
582,84.884625,-7.373388888,D,Megeath
583,84.945708333,-7.373361111,D,Megeath
584,84.51725,-7.367861111,D,Megeath
585,84.3445,-7.356888888,D,Megeath
586,84.71825,-7.352611111,D,Megeath
587,84.716708333,-7.351694444,P,Megeath
588,84.579833333,-7.347416666,D,Megeath
589,83.913958333,-7.344,D,Megeath
590,84.869125,-7.341972222,D,Megeath
591,84.7105,-7.341638888,D,Megeath
592,84.912625,-7.341388888,D,Megeath
593,84.910333333,-7.340222222,D,Megeath
594,84.8265,-7.339888888,P,Megeath
595,84.753916666,-7.339611111,P,Megeath
596,84.930791666,-7.339194444,D,Megeath
597,84.708375,-7.338472222,D,Megeath
598,84.9345,-7.33625,D,Megeath
599,84.813375,-7.325805555,D,Megeath
600,84.897708333,-7.323861111,D,Megeath
601,85.057916666,-7.323805555,D,Megeath
602,84.938041666,-7.320416666,P,Megeath
603,85.070083333,-7.318611111,D,Megeath
604,84.9525,-7.318083333,D,Megeath
605,84.332833333,-7.316,D,Megeath
606,84.081458333,-7.310805555,FP,Megeath
607,84.648416666,-7.306555555,D,Megeath
608,84.516666666,-7.297305555,D,Megeath
609,84.316,-7.297222222,FP,Megeath
610,84.835541666,-7.291944444,D,Megeath
611,84.640916666,-7.284194444,D,Megeath
612,84.744375,-7.279361111,D,Megeath
613,84.520583333,-7.269666666,D,Megeath
614,84.503375,-7.264972222,D,Megeath
615,84.10475,-7.248694444,FP,Megeath
616,84.115125,-7.227416666,D,Megeath
617,84.762333333,-7.214527777,P,Megeath
618,84.67825,-7.212166666,D,Megeath
619,84.729125,-7.19825,D,Megeath
620,84.318375,-7.196222222,D,Megeath
621,84.44925,-7.193861111,D,Megeath
622,83.745875,-7.187666666,D,Megeath
623,84.144833333,-7.187138888,P,Megeath
624,84.772333333,-7.184777777,D,Megeath
625,84.693166666,-7.184777777,D,Megeath
626,84.652625,-7.183388888,D,Megeath
627,84.688833333,-7.182194444,P,Megeath
628,84.781541666,-7.181138888,P,Megeath
629,84.774291666,-7.177611111,P,Megeath
630,84.799375,-7.176388888,P,Megeath
631,84.726416666,-7.167583333,FP,Megeath
632,85.040833333,-7.164972222,P,Megeath
633,84.572583333,-7.160972222,D,Megeath
634,84.789666666,-7.154916666,D,Megeath
635,84.531458333,-7.154027777,D,Megeath
636,84.531375,-7.141444444,P,Megeath
637,84.599375,-7.127472222,D,Megeath
638,84.494833333,-7.123694444,P,Megeath
639,84.728875,-7.119722222,D,Megeath
640,84.487541666,-7.115694444,P,Megeath
641,84.556,-7.112055555,D,Megeath
642,84.695833333,-7.109083333,D,Megeath
643,84.752625,-7.108333333,D,Megeath
644,84.698875,-7.104111111,D,Megeath
645,84.673,-7.099805555,D,Megeath
646,84.838208333,-7.096,D,Megeath
647,84.722125,-7.095694444,FP,Megeath
648,84.771791666,-7.095,D,Megeath
649,84.693916666,-7.093722222,D,Megeath
650,84.760666666,-7.09275,D,Megeath
651,84.683708333,-7.092166666,D,Megeath
