index,ra,dec,class,cat
1389,83.439291666,-5.608944444,D,Megeath
1390,84.198333333,-5.608611111,D,Megeath
1391,84.259916666,-5.60825,D,Megeath
1392,84.257666666,-5.607805555,D,Megeath
1393,83.746166666,-5.605888888,D,Megeath
1394,83.456375,-5.605722222,D,Megeath
1395,83.509083333,-5.605444444,D,Megeath
1396,83.804875,-5.604888888,D,Megeath
1397,83.65225,-5.604777777,D,Megeath
1398,83.53325,-5.604666666,D,Megeath
1399,83.731458333,-5.601694444,D,Megeath
1400,83.7855,-5.599833333,P,Megeath
1401,83.180875,-5.599166666,D,Megeath
1402,83.177041666,-5.598722222,P,Megeath
1403,83.181833333,-5.598305555,D,Megeath
1404,83.180458333,-5.597722222,D,Megeath
1405,83.501416666,-5.595416666,D,Megeath
1406,83.622666666,-5.595194444,P,Megeath
1407,83.771,-5.594638888,P,Megeath
1408,83.556333333,-5.594055555,D,Megeath
1409,83.557916666,-5.5935,D,Megeath
1410,83.921333333,-5.592861111,D,Megeath
1411,83.216166666,-5.590388888,D,Megeath
1412,83.774,-5.589527777,D,Megeath
1413,83.618875,-5.588083333,D,Megeath
1414,83.824791666,-5.587611111,D,Megeath
1415,83.768791666,-5.587333333,P,Megeath
1416,83.764125,-5.587305555,P,Megeath
1417,83.882916666,-5.586472222,D,Megeath
1418,83.985958333,-5.586416666,D,Megeath
1419,83.191625,-5.586194444,D,Megeath
1420,83.8065,-5.585472222,D,Megeath
1421,83.794083333,-5.585083333,P,Megeath
1422,83.695833333,-5.584277777,D,Megeath
1423,83.806,-5.584027777,D,Megeath
1424,84.2345,-5.582833333,D,Megeath
1425,83.840083333,-5.582777777,D,Megeath
1426,83.834,-5.582527777,D,Megeath
1427,83.80725,-5.581888888,D,Megeath
1428,83.656125,-5.581083333,D,Megeath
1429,83.202541666,-5.580972222,D,Megeath
1430,83.6415,-5.580888888,D,Megeath
1431,84.101875,-5.580833333,P,Megeath
1432,83.840416666,-5.579694444,D,Megeath
1433,83.210625,-5.578472222,P,Megeath
1434,83.200541666,-5.578138888,P,Megeath
1435,83.894333333,-5.577111111,D,Megeath
1436,83.646666666,-5.575527777,D,Megeath
1437,83.772208333,-5.5745,D,Megeath
1438,84.029291666,-5.571722222,D,Megeath
1439,83.811375,-5.571305555,D,Megeath
1440,83.695791666,-5.570722222,D,Megeath
1441,83.901833333,-5.569694444,D,Megeath
1442,84.154583333,-5.569111111,D,Megeath
1443,83.856375,-5.567805555,D,Megeath
1444,83.804375,-5.567638888,D,Megeath
1445,83.662958333,-5.567305555,D,Megeath
1446,84.358375,-5.567027777,D,Megeath
1447,83.773958333,-5.5655,D,Megeath
1448,83.554916666,-5.564861111,D,Megeath
1449,83.718083333,-5.563611111,D,Megeath
1450,83.896416666,-5.563583333,D,Megeath
1451,83.554375,-5.563472222,D,Megeath
1452,83.686375,-5.561583333,D,Megeath
1453,83.932625,-5.561444444,P,Megeath
1454,83.776875,-5.55975,P,Megeath
1455,83.18525,-5.559277777,D,Megeath
1456,83.703375,-5.559194444,D,Megeath
1457,83.806875,-5.559194444,D,Megeath
1458,83.738041666,-5.558194444,D,Megeath
1459,83.391166666,-5.557305555,D,Megeath
1460,83.892791666,-5.555972222,D,Megeath
1461,84.205458333,-5.555777777,D,Megeath
1462,83.810125,-5.555222222,D,Megeath
1463,83.838375,-5.554805555,D,Megeath
1464,83.815833333,-5.553388888,D,Megeath
1465,83.760333333,-5.55275,D,Megeath
1466,83.880625,-5.552416666,D,Megeath
1467,83.869,-5.55125,D,Megeath
1468,84.32025,-5.550944444,D,Megeath
1469,83.675833333,-5.550916666,D,Megeath
1470,83.46575,-5.550916666,D,Megeath
1471,83.511208333,-5.550833333,D,Megeath
1472,83.831916666,-5.550388888,P,Megeath
1473,83.815708333,-5.549777777,D,Megeath
1474,83.441125,-5.549472222,P,Megeath
1475,83.885625,-5.549388888,D,Megeath
1476,83.985291666,-5.549277777,D,Megeath
1477,84.011791666,-5.548444444,D,Megeath
1478,83.995541666,-5.54825,D,Megeath
1479,83.777333333,-5.547666666,P,Megeath
1480,83.743791666,-5.547111111,D,Megeath
1481,83.824541666,-5.547027777,D,Megeath
1482,83.810208333,-5.54625,D,Megeath
1483,83.783416666,-5.545638888,D,Megeath
1484,83.930791666,-5.545555555,D,Megeath
1485,83.739,-5.545333333,D,Megeath
1486,83.810666666,-5.541444444,D,Megeath
1487,83.845458333,-5.541305555,D,Megeath
1488,83.565208333,-5.540055555,D,Megeath
1489,84.244041666,-5.539583333,D,Megeath
1490,83.834458333,-5.537944444,D,Megeath
1491,83.822583333,-5.537861111,D,Megeath
1492,83.931708333,-5.536694444,D,Megeath
1493,83.761458333,-5.534166666,D,Megeath
1494,83.81775,-5.534,D,Megeath
1495,83.477083333,-5.533444444,D,Megeath
1496,83.831416666,-5.532916666,D,Megeath
1497,83.905583333,-5.532805555,D,Megeath
1498,83.385666666,-5.532,D,Megeath
1499,83.799458333,-5.531888888,D,Megeath
1500,83.799666666,-5.531527777,D,Megeath
1501,83.786875,-5.530222222,D,Megeath
1502,83.883125,-5.529861111,D,Megeath
1503,83.703666666,-5.529416666,P,Megeath
1504,83.670458333,-5.529,P,Megeath
1505,83.826166666,-5.528361111,D,Megeath
1506,83.901458333,-5.527111111,D,Megeath
1507,83.844916666,-5.527027777,D,Megeath
1508,83.703916666,-5.525416666,D,Megeath
1509,83.786208333,-5.524361111,D,Megeath
1510,83.837375,-5.522638888,D,Megeath
1511,83.842791666,-5.521305555,D,Megeath
1512,84.091541666,-5.520611111,P,Megeath
1513,84.16725,-5.5205,P,Megeath
1514,84.038541666,-5.519361111,D,Megeath
1515,83.776958333,-5.519277777,D,Megeath
1516,83.6545,-5.519111111,D,Megeath
1517,83.701916666,-5.518694444,D,Megeath
1518,83.753541666,-5.518305555,D,Megeath
1519,83.832666666,-5.517666666,D,Megeath
1520,83.83,-5.517527777,D,Megeath
1521,84.076958333,-5.517388888,D,Megeath
1522,83.798625,-5.516972222,D,Megeath
1523,83.788375,-5.516222222,D,Megeath
1524,83.806708333,-5.515944444,D,Megeath
1525,83.820083333,-5.515555555,D,Megeath
1526,84.114625,-5.515333333,D,Megeath
1527,83.203333333,-5.515027777,D,Megeath
1528,83.438583333,-5.51375,D,Megeath
1529,83.586458333,-5.513277777,D,Megeath
1530,83.8225,-5.512944444,D,Megeath
1531,83.699541666,-5.512916666,D,Megeath
1532,83.824416666,-5.511277777,D,Megeath
1533,83.834541666,-5.510916666,D,Megeath
1534,83.857,-5.510527777,D,Megeath
1535,83.878208333,-5.51,D,Megeath
1536,83.312125,-5.509277777,D,Megeath
1537,83.800791666,-5.509138888,D,Megeath
1538,83.619083333,-5.509,D,Megeath
1539,83.832708333,-5.508916666,D,Megeath
1540,83.740291666,-5.508222222,D,Megeath
1541,83.813291666,-5.507333333,D,Megeath
1542,83.863416666,-5.506833333,D,Megeath
1543,83.886916666,-5.505916666,D,Megeath
1544,83.856875,-5.505777777,D,Megeath
1545,83.800666666,-5.505555555,D,Megeath
1546,83.547875,-5.505527777,D,Megeath
1547,83.695291666,-5.505527777,D,Megeath
1548,83.581458333,-5.5055,D,Megeath
1549,84.016125,-5.50525,D,Megeath
1550,83.859083333,-5.504972222,D,Megeath
1551,83.860333333,-5.5045,D,Megeath
1552,83.971166666,-5.502972222,D,Megeath
1553,83.700958333,-5.502833333,D,Megeath
1554,83.793291666,-5.502166666,D,Megeath
1555,83.666041666,-5.501777777,D,Megeath
1556,83.815958333,-5.501527777,D,Megeath
1557,83.762416666,-5.500416666,D,Megeath
1558,83.379958333,-5.499277777,D,Megeath
1559,83.850958333,-5.499166666,D,Megeath
1560,83.810791666,-5.498666666,D,Megeath
1561,83.855083333,-5.497694444,D,Megeath
1562,83.719333333,-5.495888888,D,Megeath
1563,83.998583333,-5.495416666,D,Megeath
1564,83.968666666,-5.494916666,D,Megeath
1565,84.367166666,-5.494777777,D,Megeath
1566,83.741916666,-5.494527777,D,Megeath
1567,83.884541666,-5.4945,D,Megeath
1568,83.95575,-5.494277777,D,Megeath
1569,83.768833333,-5.493972222,D,Megeath
1570,83.857083333,-5.493111111,D,Megeath
1571,84.369625,-5.492888888,D,Megeath
1572,83.799708333,-5.492388888,D,Megeath
1573,83.818,-5.492388888,P,Megeath
1574,83.8665,-5.492,D,Megeath
1575,83.764791666,-5.490611111,D,Megeath
1576,83.773416666,-5.489527777,D,Megeath
1577,83.855416666,-5.486777777,D,Megeath
1578,83.833375,-5.486666666,D,Megeath
1579,83.835333333,-5.486388888,D,Megeath
1580,83.871083333,-5.48625,D,Megeath
1581,83.759,-5.486,D,Megeath
