# index_1   ra          dec         Disk             
  10184     67.177627   27.234393   full             
  10185     67.177663   27.234219   ""               
  10186     67.210655   18.743287   full             
  10187     67.252894   27.917474   full             
  10188     67.270794   26.818583   full             
  10189     67.33267    27.404111   III              
  10190     67.3363     26.561144   III              
  10191     67.340255   27.023758   full             
  10192     67.348922   24.549952   I                
  10193     67.373784   26.281326   "debris/ev trans"
  10194     67.375334   24.665293   I                
  10195     67.375498   22.654207   III              
  10196     67.383731   24.516598   I                
  10197     67.400311   24.598686   full             
  10198     67.423167   26.54939    full             
  10199     67.427007   26.546886   III              
  10200     67.440339   26.512843   III              
  10201     67.464849   26.112369   full             
  10202     67.475997   17.901004   full             
  10203     67.497989   24.552043   full             
  10204     67.514971   18.230324   III              
  10205     67.516675   18.229577   ""               
  10206     67.516697   18.230334   full             
  10207     67.530215   26.138988   full             
  10208     67.598571   23.986847   III              
  10209     67.623321   24.445811   full             
  10210     67.62356    24.445744   ""               
  10211     67.674411   17.32847    III              
  10212     67.684367   26.023445   full             
  10213     67.685009   26.023123   full             
  10214     67.709545   23.002369   I                
  10215     67.70993    23.002334   ""               
  10216     67.714145   24.706113   full             
  10217     67.715554   24.696451   full             
  10218     67.738375   25.944223   full             
  10219     67.810207   27.171526   "debris/ev trans"
  10220     67.815825   18.335219   III              
  10221     67.829517   23.584595   III              
  10222     67.849258   24.18137    III              
  10223     67.850288   18.005876   III              
  10224     67.861275   27.055139   III              
  10225     67.891989   18.134695   I                
  10226     67.900635   18.228583   I                
  10227     67.906133   18.2068     I                
  10228     67.910153   18.232681   I                
  10229     67.917029   18.232401   full             
  10230     67.935195   18.142094   I                
  10231     67.943577   25.106437   III              
  10232     67.956873   23.381227   III              
  10233     67.960739   24.404839   full             
  10234     67.960846   24.404217   II               
  10235     67.990853   18.360465   full             
  10236     67.990887   18.359567   III              
  10237     67.993583   25.724914   III              
  10238     67.996687   27.18851    III              
  10239     67.99875    18.35836    full             
  10240     68.006555   18.256378   full             
  10241     68.013759   25.468731   III              
  10242     68.038736   17.95622    III              
  10243     68.060765   18.337364   III              
  10244     68.064264   24.483125   full             
  10245     68.066052   18.027348   III              
  10246     68.066999   18.212809   full             
  10247     68.074497   24.370712   III              
  10248     68.078683   24.374087   III              
  10249     68.08505    22.498329   III              
  10250     68.092181   18.461767   full             
  10251     68.097162   24.050311   III              
  10252     68.100705   22.852235   full             
  10253     68.102735   23.360536   III              
  10254     68.109542   18.464412   III              
  10255     68.119798   27.769816   III              
  10256     68.126212   17.525037   full             
  10257     68.12651    17.52475    ""               
  10258     68.126513   17.527839   full             
  10259     68.127351   23.482276   III              
  10260     68.127442   24.332507   full             
  10261     68.132379   24.33409    full             
  10262     68.133562   22.957409   I                
  10263     68.171214   18.15657    full             
  10264     68.178393   25.875256   "ev or trans"    
  10265     68.178971   18.295069   ""               
  10266     68.179493   25.875187   full             
  10267     68.182289   18.048896   III              
  10268     68.204689   22.884056   full             
  10269     68.205793   22.885534   full             
  10270     68.209477   24.3698     III              
  10271     68.213396   17.502473   III              
  10272     68.22187    17.592593   "debris/ev trans"
  10273     68.258248   24.349932   III              
  10274     68.268858   26.560223   III              
  10275     68.275909   24.159341   full             
  10276     68.277672   24.165203   full             
  10277     68.282579   26.268415   III              
  10278     68.289479   22.780101   evolved          
  10279     68.291826   24.561924   III              
  10280     68.309877   26.239777   full             
  10281     68.318754   22.889      I                
  10282     68.329529   22.776076   full             
  10283     68.359288   22.758056   "debris/ev trans"
  10284     68.366302   17.978753   full             
  10285     68.368654   17.975847   III              
  10286     68.386759   18.012034   full             
  10287     68.386868   18.016738   full             
  10288     68.387758   18.016638   III              
  10289     68.391948   24.354652   full             
  10290     68.394048   24.351538   full             
  10291     68.403349   26.163556   full             
  10292     68.412821   22.455682   full             
  10293     68.412864   25.343837   full             
  10294     68.41347    17.863778   ""               
  10295     68.414065   17.864448   full             
  10296     68.423921   17.844398   full             
  10297     68.428869   25.446247   III              
  10298     68.429224   22.598898   III              
  10299     68.436116   26.250045   full             
  10300     68.45311    18.169358   transitional     
  10301     68.466768   22.841619   full             
  10302     68.468622   26.21514    full             
  10303     68.468844   22.940807   III              
  10304     68.470268   18.054516   III              
  10305     68.4753     22.855328   full?            
  10306     68.477475   26.223751   full             
  10307     68.478011   26.224227   full             
  10308     68.481111   18.644184   III              
  10309     68.52584    24.314014   III              
  10310     68.545851   22.862258   III              
  10311     68.563703   22.841815   III              
  10312     68.57322    17.191922   III              
  10313     68.630423   17.37217    transitional     
  10314     68.65047    22.420586   III              
  10315     68.652728   18.607017   III              
  10316     68.689406   23.134001   III              
  10317     68.730943   24.481309   full             
  10318     68.737269   22.97652    "debris/ev trans"
  10319     68.74686    17.560481   III              
  10320     68.778971   23.130747   III              
  10321     68.785511   23.194324   III              
  10322     68.804931   17.430412   III              
  10323     68.834256   22.537305   full             
  10324     68.837149   22.906649   III              
  10325     68.852099   17.861804   III              
  10326     68.864102   24.249607   full             
  10327     68.881956   27.252108   III              
  10328     68.897341   24.14073    "ev or trans"    
  10329     68.897465   24.138729   I                
  10330     68.920653   24.185711   full             
  10331     68.920712   24.185127   ""               
  10332     68.92438    22.56981    III              
  10333     68.925196   22.872876   III              
  10334     68.938712   27.6202     III              
  10335     68.947283   22.839276   full             
  10336     68.949175   25.395352   III              
  10337     68.962934   22.877674   III              
  10338     68.964334   22.819894   III              
  10339     68.967097   22.917743   III              
  10340     68.969967   22.906373   full             
  10341     68.970333   22.849515   III              
  10342     68.972966   22.902421   III              
  10343     68.975703   22.90368    III              
  10344     68.98105    22.887081   III              
  10345     68.981701   17.127257   ""               
  10346     68.982058   17.127653   III              
  10347     68.986852   23.867978   III              
  10348     68.986939   22.909952   full             
  10349     68.987312   23.863054   "debris/ev trans"
  10350     68.990101   22.899213   transitional     
  10351     68.995122   24.644507   III              
  10352     68.995597   22.643058   III              
  10353     68.997976   22.641347   I?               
  10354     69.005528   17.436612   full             
  10355     69.02829    24.430578   III              
  10356     69.04298    21.993364   full             
  10357     69.043317   22.998821   III              
  10358     69.079632   25.716271   III              
  10359     69.135439   24.360956   III              
  10360     69.162248   22.969888   III              
  10361     69.340553   26.8503     III              
  10362     69.404377   23.518908   full?            
  10363     69.503638   25.982479   III              
  10364     69.562033   26.194337   full             
  10365     69.567936   23.444419   III              
  10366     69.588939   26.15373    full             
  10367     69.619147   26.180317   full             
  10368     69.647067   26.177308   III              
  10369     69.647967   26.178148   I?               
  10370     69.66194    15.767837   III              
  10371     69.66286    15.770351   III              
  10372     69.68765    17.628648   full             
  10373     69.696962   17.623826   full             
  10374     69.744214   23.609673   full             
  10375     69.74468    23.399762   III              
  10376     69.756846   23.600728   full             
  10377     69.766535   25.740561   full             
  10378     69.76897    23.555432   III              
  10379     69.77193    23.629097   I                
  10380     69.773872   23.636368   "debris/ev trans"
  10381     69.776616   23.571552   III              
  10382     69.782329   26.710006   full?            
  10383     69.789214   23.400081   III              
  10384     69.807887   25.889133   I                
  10385     69.822628   22.798073   full             
  10386     69.824179   22.350866   full             
  10387     69.837142   25.750509   full             
  10388     69.837255   25.750445   ""               
  10389     69.890205   23.989137   full             
  10390     69.89664    25.695757   I                
  10391     69.937038   26.031213   full             
  10392     69.947874   26.027876   full             
  10393     69.974167   26.052917   0                
  10394     69.982301   25.750452   I                
  10395     70.002836   23.972434   full             
  10396     70.007363   25.941409   "debris/ev trans"
  10397     70.033379   26.090309   full             
  10398     70.059568   23.131738   III              
  10399     70.060409   27.48635    III              
  10400     70.165808   25.318291   "debris/ev trans"
  10401     70.194953   19.467473   III              
  10402     70.205721   27.537832   III              
  10403     70.206108   25.855751   ""               
  10404     70.206316   25.855184   full             
  10405     70.267724   25.965477   III              
  10406     70.269658   24.851676   III              
  10407     70.284457   25.935286   full             
  10408     70.294965   25.919786   full             
  10409     70.30283    25.776506   I                
  10410     70.303952   18.222014   III              
  10411     70.304615   18.221931   ""               
  10412     70.320065   28.666592   transitional     
  10413     70.352685   25.731396   full             
  10414     70.411804   25.940678   full             
  10415     70.437108   23.030854   full             
  10416     70.440245   23.03269    "debris/ev trans"
  10417     70.445732   24.665351   III              
  10418     70.451073   25.575074   full             
  10419     70.5229     25.382203   "debris/ev trans"
  10420     70.530549   25.384147   III              
  10421     70.532465   25.386556   full             
  10422     70.587612   25.342778   full             
  10423     70.615731   29.662371   III              
  10424     70.657082   25.260276   full             
  10425     70.760274   16.532186   III              
  10426     70.76284    25.338443   full             
  10427     70.834287   29.668253   full             
  10428     70.919315   18.172593   III              
