mjd,mag,emag,flt,class,ra,dec
56748.210470000005,8.453,0.034,W1,D,277.550776,-3.712791
56748.01297,8.457,0.034,W1,D,277.55080899999996,-3.7128419999999998
56748.2763,8.465,0.035,W1,D,277.55080899999996,-3.7127550000000005
56748.0788,8.478,0.034,W1,D,277.550827,-3.712782
56748.4738,8.488999999999999,0.035,W1,D,277.550834,-3.712821
56748.34214,8.493,0.034,W1,D,277.550806,-3.712825
56747.74963,8.497,0.034,W1,D,277.550815,-3.712799
56747.61797000001,8.499,0.034,W1,D,277.55080499999997,-3.712811
56927.7371,7.76,0.043,W1,D,277.550802,-3.7128160000000006
56927.86864,7.781000000000001,0.043,W1,D,277.55078599999996,-3.712823
56927.60556,7.7860000000000005,0.040999999999999995,W1,D,277.550793,-3.712832
56927.40831,7.787999999999999,0.042,W1,D,277.55078399999996,-3.7128300000000003
56927.276770000004,7.791,0.043,W1,D,277.55082000000004,-3.71279
56927.671389999996,7.797000000000001,0.042,W1,D,277.550808,-3.7128370000000004
56928.000179999995,7.797000000000001,0.040999999999999995,W1,D,277.550801,-3.712843
56928.131720000005,7.8,0.040999999999999995,W1,D,277.550815,-3.712827
56927.80293,7.807,0.042,W1,D,277.550819,-3.7128099999999997
57110.05334,8.107000000000001,0.035,W1,D,277.550816,-3.712811
57110.18462000001,8.107000000000001,0.035,W1,D,277.550844,-3.712797
57110.11904,8.107999999999999,0.035,W1,D,277.550791,-3.712794
57110.5129,8.12,0.035,W1,D,277.550768,-3.7128
57110.250329999995,8.13,0.035,W1,D,277.550798,-3.7127980000000003
57109.92205,8.132,0.035,W1,D,277.55080899999996,-3.712818
57109.65935,8.136000000000001,0.034,W1,D,277.5508,-3.7128379999999996
57110.381610000004,8.137,0.035,W1,D,277.550814,-3.7128099999999997
57289.61689,8.509,0.034,W1,D,277.55083199999996,-3.712822
57289.68247000001,8.538,0.034,W1,D,277.55079700000005,-3.712871
57286.468329999996,8.539,0.034,W1,D,277.550788,-3.7128449999999997
57289.944789999994,8.54,0.034,W1,D,277.550794,-3.7127839999999996
57286.20601,8.546,0.034,W1,D,277.550777,-3.712861
57290.075939999995,8.546,0.035,W1,D,277.550788,-3.712903
57289.74805,8.554,0.033,W1,D,277.550816,-3.712818
57289.81363,8.557,0.033,W1,D,277.550754,-3.7128360000000002
57289.48572999999,8.562000000000001,0.034,W1,D,277.55075899999997,-3.712829
57289.35445,8.565,0.034,W1,D,277.550767,-3.7127830000000004
57289.09213,8.566,0.034,W1,D,277.55081,-3.712871
57478.800129999996,8.017000000000001,0.036000000000000004,W1,D,277.550833,-3.7128099999999997
57474.27809,8.017999999999999,0.037000000000000005,W1,D,277.550825,-3.712797
57474.540279999994,8.027000000000001,0.036000000000000004,W1,D,277.550819,-3.712824
57474.40925,8.048,0.035,W1,D,277.550812,-3.7128370000000004
57474.80247,8.05,0.037000000000000005,W1,D,277.550816,-3.712815
57474.671310000005,8.052,0.036000000000000004,W1,D,277.550793,-3.712789
57474.21264,8.059,0.035,W1,D,277.5508,-3.712815
57474.08161,8.061,0.037000000000000005,W1,D,277.550798,-3.7128349999999997
57473.95045,8.062999999999999,0.035,W1,D,277.550744,-3.712803
57473.81942000001,8.064,0.035,W1,D,277.550808,-3.7128349999999997
57474.34367,8.068,0.035,W1,D,277.5508,-3.712804
57648.46617000001,7.971,0.038,W1,D,277.550791,-3.712821
57648.13865,7.978,0.036000000000000004,W1,D,277.55080499999997,-3.712811
57648.5972,8.004,0.036000000000000004,W1,D,277.550823,-3.712825
57648.859260000005,8.006,0.036000000000000004,W1,D,277.550814,-3.7128309999999995
57648.40071,8.009,0.035,W1,D,277.550817,-3.712832
57648.53175,8.02,0.035,W1,D,277.55082000000004,-3.7128330000000003
57648.990289999994,8.023,0.035,W1,D,277.550776,-3.712796
57841.64412999999,8.607999999999999,0.035,W1,D,277.55082000000004,-3.7128
57841.316739999995,8.615,0.034,W1,D,277.550793,-3.712791
57841.64426,8.617,0.036000000000000004,W1,D,277.550818,-3.712795
57841.775160000005,8.625,0.035,W1,D,277.550801,-3.712795
57841.51323,8.642999999999999,0.034,W1,D,277.550756,-3.7128050000000004
57840.9239,8.648,0.034,W1,D,277.550808,-3.7127800000000004
57841.25129,8.648,0.034,W1,D,277.550803,-3.712791
57841.447770000006,8.665,0.034,W1,D,277.550821,-3.712825
57841.18584,8.667,0.035,W1,D,277.55082200000004,-3.712791
58008.8989,8.283999999999999,0.035,W1,D,277.550768,-3.7128589999999995
58008.571639999995,8.29,0.038,W1,D,277.55082999999996,-3.712826
58009.09538,8.29,0.035,W1,D,277.5508,-3.7127879999999998
58008.70254,8.298,0.035,W1,D,277.550804,-3.712818
58009.02993,8.3,0.037000000000000005,W1,D,277.550818,-3.712821
58009.55354,8.302999999999999,0.036000000000000004,W1,D,277.55078599999996,-3.71291
58008.83345,8.307,0.035,W1,D,277.55078100000003,-3.712819
58009.42264,8.307,0.034,W1,D,277.550803,-3.7128059999999996
58009.16082999999,8.312999999999999,0.035,W1,D,277.55079700000005,-3.7128379999999996
58206.01914,7.712999999999999,0.047,W1,D,277.550821,-3.712799
58205.88823,7.7170000000000005,0.046,W1,D,277.55079700000005,-3.712797
58205.037489999995,7.746,0.043,W1,D,277.550793,-3.7128400000000004
58205.299170000006,7.747999999999999,0.044000000000000004,W1,D,277.550817,-3.7128089999999996
58205.36462000001,7.75,0.043,W1,D,277.550804,-3.712819
58205.43007,7.76,0.044000000000000004,W1,D,277.55078599999996,-3.712814
58205.62643,7.76,0.043,W1,D,277.55078,-3.712818
58205.168260000006,7.79,0.042,W1,D,277.550776,-3.7128120000000004
58205.495520000004,7.795,0.040999999999999995,W1,D,277.550808,-3.712832
58369.393260000004,8.662,0.035,W1,D,277.550785,-3.712857
58369.45858,8.664,0.034,W1,D,277.550803,-3.712807
58369.45871,8.669,0.035,W1,D,277.550793,-3.71282
58369.78584,8.676,0.034,W1,D,277.55078199999997,-3.7128410000000005
58369.589479999995,8.683,0.034,W1,D,277.550767,-3.7128349999999997
58369.19639,8.693999999999999,0.034,W1,D,277.550765,-3.7128370000000004
58369.3278,8.697000000000001,0.034,W1,D,277.550776,-3.712824
58369.91674,8.697000000000001,0.034,W1,D,277.550803,-3.7128400000000004
58369.65494,8.702,0.034,W1,D,277.55078199999997,-3.7128360000000002
58572.12738,8.932,0.034,W1,D,277.550773,-3.712795
58572.71606,8.946,0.034,W1,D,277.550788,-3.7127449999999995
58572.38906,8.946,0.034,W1,D,277.550792,-3.7128050000000004
58569.37917000001,8.947000000000001,0.034,W1,D,277.550775,-3.7128050000000004
58572.65074,8.951,0.035,W1,D,277.550814,-3.7128010000000002
58569.509939999996,8.952,0.035,W1,D,277.550818,-3.712787
58572.97787,8.955,0.035,W1,D,277.550796,-3.7128080000000003
58569.11749,8.955,0.034,W1,D,277.550795,-3.712791
58572.58527999999,8.956,0.034,W1,D,277.5508,-3.712768
58569.24826,8.957,0.034,W1,D,277.550823,-3.7127589999999997
58572.51932000001,8.959,0.035,W1,D,277.550819,-3.712792
58569.7063,8.964,0.035,W1,D,277.55078399999996,-3.712829
58572.454379999996,8.977,0.035,W1,D,277.550783,-3.7127769999999995
58572.977739999995,8.982999999999999,0.036000000000000004,W1,D,277.550833,-3.712775
58569.83708,8.986,0.035,W1,D,277.550812,-3.712817
58572.25815,8.991,0.034,W1,D,277.550764,-3.712794
58736.94723,8.151,0.035,W1,D,277.550793,-3.712829
58733.54566,8.152999999999999,0.036000000000000004,W1,D,277.550808,-3.71286
58733.480339999995,8.154,0.035,W1,D,277.550779,-3.7128330000000003
58733.61162,8.155,0.034,W1,D,277.550819,-3.7128360000000002
58736.227779999994,8.16,0.037000000000000005,W1,D,277.55080899999996,-3.7128309999999995
58733.34994,8.164,0.035,W1,D,277.550793,-3.712829
58733.219170000004,8.166,0.037000000000000005,W1,D,277.550838,-3.7128309999999995
58736.09687,8.166,0.035,W1,D,277.55078399999996,-3.7128300000000003
58736.35855,8.169,0.035,W1,D,277.55078599999996,-3.712852
58736.489460000004,8.17,0.036000000000000004,W1,D,277.550777,-3.712852
58736.55478,8.173,0.035,W1,D,277.550767,-3.7128690000000004
58733.7424,8.173,0.035,W1,D,277.55078599999996,-3.7128550000000002
58736.81646,8.174,0.035,W1,D,277.55076299999996,-3.712868
58736.947360000006,8.184,0.037000000000000005,W1,D,277.550777,-3.7128349999999997
58937.19446,8.024,0.038,W1,D,277.550834,-3.7128080000000003
58937.06367999999,8.032,0.037000000000000005,W1,D,277.55079900000004,-3.7128160000000006
58936.60577,8.061,0.036000000000000004,W1,D,277.550802,-3.712817
58936.86745,8.067,0.037000000000000005,W1,D,277.550798,-3.7128449999999997
58937.06355,8.067,0.037000000000000005,W1,D,277.550793,-3.7127830000000004
58937.325229999995,8.072000000000001,0.036000000000000004,W1,D,277.55082799999997,-3.7128059999999996
58936.475,8.073,0.035,W1,D,277.550794,-3.7128
58936.736679999995,8.073,0.037000000000000005,W1,D,277.550841,-3.7128
58936.344220000006,8.081,0.035,W1,D,277.550804,-3.712829
58936.802,8.083,0.035,W1,D,277.550788,-3.7128
59100.71822,8.792,0.033,W1,D,277.55079900000004,-3.712826
59101.24145,8.812000000000001,0.034,W1,D,277.550798,-3.7128550000000002
59100.979770000005,8.812999999999999,0.035,W1,D,277.550787,-3.712797
59100.65289,8.817,0.034,W1,D,277.550769,-3.712824
59100.84899,8.822000000000001,0.034,W1,D,277.550825,-3.712852
59100.39121,8.825,0.037000000000000005,W1,D,277.55082200000004,-3.71285
59100.52212,8.828,0.034,W1,D,277.550789,-3.7128379999999996
59100.783670000004,8.836,0.034,W1,D,277.55082400000003,-3.712853
59101.11067,8.839,0.035,W1,D,277.550789,-3.7128730000000005
59101.372220000005,8.852,0.034,W1,D,277.550811,-3.7128
56748.2763,7.824,0.040999999999999995,W2,D,277.55080899999996,-3.7127550000000005
56748.60547,7.825,0.040999999999999995,W2,D,277.550818,-3.7127830000000004
56748.01297,7.8420000000000005,0.040999999999999995,W2,D,277.55080899999996,-3.7128419999999998
56747.61797000001,7.843999999999999,0.040999999999999995,W2,D,277.55080499999997,-3.712811
56748.210470000005,7.846,0.040999999999999995,W2,D,277.550776,-3.712791
