mjd,mag,emag,flt,class
56727.484865,12.57975,0.1330028195189859,W1,D
56919.997632,12.536999999999999,0.1686684321383233,W1,D
57087.53939833333,12.551833333333333,0.18800044326188908,W1,D
57281.738941250005,12.607125,0.20666155907667028,W1,D
57446.677434,12.7178,0.5316883673732192,W1,D
57646.895562499994,12.598375,0.1005608491163437,W1,D
57810.934825714285,12.487857142857141,0.17448513181497693,W1,D
58013.09508571428,12.697999999999999,0.163672208504482,W1,D
58169.988430000005,12.422666666666666,0.06261256529909462,W1,D
58377.25544875001,12.567499999999999,0.17806147990230792,W1,D
58535.07218571428,12.574428571428571,0.19952116147805252,W1,D
58741.37257125,12.65,0.16033889889855177,W1,D
58899.11790666666,12.507166666666665,0.2558793661083287,W1,D
59108.377812000006,12.625599999999999,0.17621021536789516,W1,D
56727.484865,12.727500000000001,0.1509999999999998,W2,D
56919.945016,12.820599999999999,0.230165158093053,W2,D
57087.539418333334,12.865,0.1652419942589253,W2,D
57281.76354875,12.768125,0.2008908285611866,W2,D
57446.677434,12.647799999999998,0.1476067749122649,W2,D
57646.95288125001,12.70375,0.1129466826648752,W2,D
57812.13229857143,12.762285714285714,0.12706827668137938,W2,D
58013.12313571428,12.706714285714286,0.18021178017622994,W2,D
58168.02507666667,12.701333333333332,0.0969501590165449,W2,D
58377.206392500004,12.8505,0.19204007557017885,W2,D
58535.02543428571,12.743142857142857,0.1129560145565066,W2,D
58741.4134625,12.684375000000001,0.2248683990137339,W2,D
58899.117906666674,12.778,0.14617721360656005,W2,D
59108.600168,13.0014,0.15475335214463076,W2,D
