mjd,mag,emag,flt,class,ra,dec
56748.40708,10.937000000000001,0.021,W1,F,277.504696,1.223442
56748.01207999999,10.940999999999999,0.018000000000000002,W1,F,277.504686,1.2234209999999999
56748.209579999995,10.952,0.018000000000000002,W1,F,277.504684,1.223398
56748.27541,10.965,0.019,W1,F,277.504723,1.223452
56747.880410000005,10.974,0.016,W1,F,277.504713,1.223417
56748.341239999994,10.988,0.017,W1,F,277.504722,1.2234
56748.86791,10.992,0.019,W1,F,277.5047,1.223439
56748.14374,11.014000000000001,0.017,W1,F,277.504711,1.223458
56748.60457999999,11.024000000000001,0.018000000000000002,W1,F,277.504673,1.223403
56927.869529999996,10.699000000000002,0.016,W1,F,277.50464,1.223384
56927.672289999995,10.728,0.017,W1,F,277.50462000000005,1.223386
56927.93537000001,10.734000000000002,0.019,W1,F,277.504631,1.2233690000000002
56928.13261,10.745,0.019,W1,F,277.5046,1.223367
56927.54075,10.773,0.018000000000000002,W1,F,277.50465099999997,1.22339
56928.26415,10.780999999999999,0.016,W1,F,277.504667,1.2233610000000001
56927.80383,10.784,0.018000000000000002,W1,F,277.504625,1.223357
56928.06691,10.806,0.016,W1,F,277.504616,1.223327
56927.409210000005,10.823,0.018000000000000002,W1,F,277.504633,1.2233379999999998
56928.39569,10.827,0.016,W1,F,277.50466,1.2233450000000001
57110.446429999996,11.286,0.022000000000000002,W1,F,277.504718,1.223449
57109.921160000005,11.289000000000001,0.019,W1,F,277.50472,1.223422
57110.11815,11.295,0.025,W1,F,277.504684,1.223447
57110.11802,11.305,0.02,W1,F,277.504654,1.2233020000000001
57110.31502,11.311,0.024,W1,F,277.504698,1.223444
57110.24944,11.319,0.019,W1,F,277.504719,1.223409
57110.18373,11.32,0.02,W1,F,277.50467799999996,1.2234200000000002
57110.512010000006,11.323,0.02,W1,F,277.504639,1.2234120000000002
57110.774710000005,11.327,0.02,W1,F,277.504707,1.2234180000000001
57110.64342000001,11.357999999999999,0.022000000000000002,W1,F,277.504657,1.223393
57109.78975,11.37,0.019,W1,F,277.504682,1.223434
57289.355339999995,11.035,0.021,W1,F,277.504699,1.223334
57290.33927999999,11.054,0.017,W1,F,277.504623,1.2233319999999999
57290.01126,11.085999999999999,0.018000000000000002,W1,F,277.504708,1.223371
57289.48662,11.094000000000001,0.019,W1,F,277.504665,1.2233610000000001
57289.61777999999,11.097999999999999,0.02,W1,F,277.504611,1.2233969999999998
57289.74894,11.104000000000001,0.017,W1,F,277.504682,1.22339
57290.076839999994,11.110999999999999,0.02,W1,F,277.504674,1.223375
57289.68336,11.117,0.02,W1,F,277.50473,1.223378
57289.94568,11.152000000000001,0.02,W1,F,277.504687,1.223365
57290.076960000006,11.169,0.022000000000000002,W1,F,277.50466800000004,1.223342
57290.20812,11.171,0.018000000000000002,W1,F,277.504633,1.223415
57474.93261,11.21,0.019,W1,F,277.50465099999997,1.223433
57474.80157999999,11.222999999999999,0.019,W1,F,277.504684,1.22339
57473.94956,11.264000000000001,0.018000000000000002,W1,F,277.504746,1.223359
57474.47381,11.265,0.021,W1,F,277.504684,1.223399
