mjd,mag,emag,flt,class,ra,dec
56748.73676,8.764,0.035,W1,P,277.656696,-2.144526
56747.88105,8.777999999999999,0.034,W1,P,277.656693,-2.14452
56748.34187999999,8.783,0.035,W1,P,277.656724,-2.144518
56748.210210000005,8.787,0.035,W1,P,277.656674,-2.144517
56748.47342,8.787,0.034,W1,P,277.656758,-2.144541
56748.01271,8.795,0.035,W1,P,277.656767,-2.144536
56748.605220000005,8.797,0.036000000000000004,W1,P,277.656704,-2.1444959999999997
56748.27592000001,8.807,0.035,W1,P,277.656723,-2.1444919999999996
56748.868420000006,8.81,0.035,W1,P,277.65671299999997,-2.1444919999999996
56748.47355,8.81,0.035,W1,P,277.65673599999997,-2.14452
56748.14425,8.812000000000001,0.034,W1,P,277.656773,-2.1445380000000003
56748.14438,8.83,0.034,W1,P,277.656744,-2.144532
56748.27605,8.831,0.035,W1,P,277.656721,-2.144483
56928.000439999996,9.276,0.016,W1,P,277.656721,-2.144527
56928.13198,9.283,0.015,W1,P,277.656705,-2.144509
56927.93472999999,9.285,0.013999999999999999,W1,P,277.65671499999996,-2.144544
56928.39506,9.295,0.013000000000000001,W1,P,277.656676,-2.1445060000000002
56932.14375,9.297,0.02,W1,P,277.65668999999997,-2.144555
56927.80319,9.308,0.013999999999999999,W1,P,277.656739,-2.144545
56927.54011,9.314,0.016,W1,P,277.656741,-2.144539
56927.67165,9.321,0.016,W1,P,277.656729,-2.144549
56928.26352000001,9.328,0.015,W1,P,277.656705,-2.144484
57109.9218,9.165,0.018000000000000002,W1,P,277.65671000000003,-2.144532
57110.05308,9.22,0.016,W1,P,277.656727,-2.144518
57109.79038,9.222000000000001,0.013000000000000001,W1,P,277.656755,-2.144567
57110.25007,9.229,0.016,W1,P,277.656719,-2.144485
57110.64393,9.236,0.017,W1,P,277.656705,-2.144484
57110.31565,9.241,0.017,W1,P,277.656712,-2.144473
57109.6591,9.245,0.015,W1,P,277.656734,-2.1445119999999998
57110.18437,9.254,0.015,W1,P,277.65673,-2.144477
57110.38136,9.256,0.013999999999999999,W1,P,277.656722,-2.144504
57289.94504,9.367,0.018000000000000002,W1,P,277.656675,-2.144566
57286.46857999999,9.372,0.02,W1,P,277.65668,-2.144546
57289.35483,9.379,0.019,W1,P,277.656755,-2.144507
57289.813879999994,9.38,0.017,W1,P,277.65672,-2.144519
57289.682720000004,9.381,0.015,W1,P,277.656704,-2.14454
57290.338639999994,9.383,0.015,W1,P,277.656764,-2.14456
57289.7483,9.391,0.015,W1,P,277.656731,-2.144524
57290.20748,9.394,0.013999999999999999,W1,P,277.656716,-2.14454
57289.617139999995,9.396,0.015,W1,P,277.656702,-2.14455
57286.731029999995,9.404,0.015,W1,P,277.656722,-2.144525
57286.46871,9.412,0.019,W1,P,277.656682,-2.144508
57289.945170000006,9.418,0.022000000000000002,W1,P,277.656745,-2.144563
57474.408989999996,9.283999999999999,0.015,W1,P,277.656698,-2.144533
57474.60548,9.292,0.019,W1,P,277.65665,-2.144508
57474.08122000001,9.293,0.013999999999999999,W1,P,277.65677200000005,-2.144494
57474.93324,9.296,0.017,W1,P,277.656711,-2.144448
57473.950189999996,9.305,0.015,W1,P,277.65674900000005,-2.144507
57474.6056,9.308,0.019,W1,P,277.656726,-2.144466
57474.80221,9.312000000000001,0.019,W1,P,277.656717,-2.144486
57474.34341,9.318,0.015,W1,P,277.656743,-2.144483
57474.47445,9.321,0.016,W1,P,277.656722,-2.144498
57648.72848,8.895,0.035,W1,P,277.65668700000003,-2.144541
57648.532,8.905,0.034,W1,P,277.65671299999997,-2.144526
57648.26994,8.91,0.034,W1,P,277.656724,-2.1445380000000003
57648.99055,8.91,0.035,W1,P,277.65668700000003,-2.1445279999999998
57648.597579999994,8.913,0.035,W1,P,277.656737,-2.144559
57648.728610000006,8.946,0.035,W1,P,277.656718,-2.144561
57649.12157999999,8.947000000000001,0.034,W1,P,277.656712,-2.144501
57649.25261,8.948,0.034,W1,P,277.656693,-2.144501
57648.85951,8.959,0.035,W1,P,277.65668900000003,-2.1445689999999997
57841.70933,8.488,0.036000000000000004,W1,P,277.656658,-2.144483
57841.44752,8.498,0.036000000000000004,W1,P,277.65673,-2.144486
57841.18558,8.519,0.034,W1,P,277.656697,-2.144523
57841.44739,8.526,0.035,W1,P,277.656752,-2.144514
57841.709460000005,8.527999999999999,0.035,W1,P,277.65673,-2.1444900000000002
57841.51297,8.529,0.034,W1,P,277.656707,-2.144531
57841.578420000005,8.53,0.035,W1,P,277.65673799999996,-2.144491
57841.38194,8.531,0.033,W1,P,277.656722,-2.144526
57841.05455,8.548,0.034,W1,P,277.656748,-2.144549
57841.643879999996,8.552999999999999,0.034,W1,P,277.656776,-2.144521
57841.31649,8.558,0.033,W1,P,277.656731,-2.144488
58008.8337,8.787,0.034,W1,P,277.656723,-2.144532
58009.22705,8.792,0.033,W1,P,277.656719,-2.1445279999999998
58009.2925,8.794,0.034,W1,P,277.656677,-2.1445279999999998
58008.7028,8.796,0.033,W1,P,277.65671499999996,-2.14454
58009.35795,8.802,0.033,W1,P,277.65671000000003,-2.144509
58009.095629999996,8.806000000000001,0.033,W1,P,277.656762,-2.144523
58009.42302,8.806000000000001,0.035,W1,P,277.65674,-2.144551
58008.96472999999,8.81,0.034,W1,P,277.656751,-2.144545
58009.422889999994,8.811,0.034,W1,P,277.656705,-2.144549
58009.553920000006,8.839,0.034,W1,P,277.656741,-2.144534
58205.298910000005,8.609,0.033,W1,P,277.656778,-2.144504
58205.82253,8.635,0.034,W1,P,277.656704,-2.14445
58205.429820000005,8.64,0.034,W1,P,277.656737,-2.144486
58205.16801,8.648,0.034,W1,P,277.656754,-2.144524
58206.14966,8.681000000000001,0.036000000000000004,W1,P,277.656699,-2.144499
58205.691620000005,8.685,0.034,W1,P,277.656704,-2.144448
58205.757079999996,8.693,0.033,W1,P,277.656654,-2.1445950000000003
58205.62617,8.696,0.033,W1,P,277.656712,-2.1445220000000003
58369.19665,8.493,0.035,W1,P,277.656718,-2.144535
58370.0479,8.505,0.033,W1,P,277.656739,-2.144551
58370.178289999996,8.514,0.034,W1,P,277.656681,-2.144518
58369.851539999996,8.527999999999999,0.033,W1,P,277.656688,-2.1445060000000002
