mjd,mag,emag,flt,class,ra,dec
56747.88117000001,6.9879999999999995,0.127,W1,E,277.486946,-3.3617230000000005
56748.21034,6.997999999999999,0.127,W1,E,277.486899,-3.361693
56748.605339999995,7.007000000000001,0.126,W1,E,277.486963,-3.361704
56748.144510000006,7.015,0.128,W1,E,277.487061,-3.3616269999999995
56747.74951,7.017,0.128,W1,E,277.48688300000003,-3.3616699999999997
56747.61784,7.019,0.127,W1,E,277.486917,-3.3616129999999997
56748.34201,7.077000000000001,0.128,W1,E,277.48697999999996,-3.361678
56748.07867,7.082000000000001,0.127,W1,E,277.48698199999995,-3.3616580000000003
56927.86877000001,6.935,0.128,W1,E,277.487013,-3.3617519999999996
56927.86864,6.965,0.129,W1,E,277.486892,-3.361848
56927.80293,6.968999999999999,0.126,W1,E,277.48700499999995,-3.3617800000000004
56927.73723,6.982,0.127,W1,E,277.486975,-3.361726
56927.145229999995,6.9910000000000005,0.126,W1,E,277.48694,-3.361764
56928.26326,7.018,0.127,W1,E,277.487025,-3.3617230000000005
56927.671389999996,7.02,0.127,W1,E,277.48699300000004,-3.361743
56927.276770000004,7.027,0.127,W1,E,277.48692900000003,-3.361785
56932.14362,7.046,0.128,W1,E,277.48688,-3.3616900000000003
56927.60569,7.0489999999999995,0.129,W1,E,277.486992,-3.361763
56928.13185,7.056,0.128,W1,E,277.486879,-3.361828
56928.000179999995,7.095,0.127,W1,E,277.486941,-3.361701
57110.118910000005,6.8229999999999995,0.127,W1,E,277.486852,-3.361681
57109.52794,6.831,0.127,W1,E,277.487037,-3.361677
57109.987629999996,6.845,0.126,W1,E,277.486928,-3.361676
57110.5129,6.89,0.128,W1,E,277.486902,-3.36173
57109.65935,6.896,0.128,W1,E,277.48686299999997,-3.361647
57110.053210000005,6.941,0.128,W1,E,277.486858,-3.361675
57110.381610000004,6.945,0.127,W1,E,277.486866,-3.361768
57110.2502,6.973,0.127,W1,E,277.48692400000004,-3.3617199999999996
57289.944910000006,6.812,0.127,W1,E,277.48700099999996,-3.361826
57286.73077,6.837000000000001,0.126,W1,E,277.48700499999995,-3.3617550000000005
57289.81363,6.8389999999999995,0.127,W1,E,277.486901,-3.361822
57289.61689,6.841,0.126,W1,E,277.486966,-3.36177
57289.35457,6.864,0.128,W1,E,277.486914,-3.3618010000000003
57290.07607,6.88,0.128,W1,E,277.487048,-3.361782
57289.48572999999,6.892,0.129,W1,E,277.486966,-3.361705
57286.534029999995,6.9239999999999995,0.127,W1,E,277.486935,-3.3617769999999996
57286.599610000005,6.932,0.127,W1,E,277.487022,-3.3617589999999997
57289.09213,6.933,0.128,W1,E,277.486877,-3.361765
57289.74805,6.973,0.126,W1,E,277.487033,-3.3617660000000003
57286.66519,6.98,0.127,W1,E,277.486963,-3.361697
57289.22342,7.058,0.129,W1,E,277.48686499999997,-3.361648
57289.68247000001,7.102,0.127,W1,E,277.48697999999996,-3.3617559999999997
57474.08147999999,6.921,0.127,W1,E,277.486962,-3.3616800000000002
57473.81929,6.961,0.127,W1,E,277.486896,-3.361673
57474.540279999994,6.962000000000001,0.127,W1,E,277.486913,-3.361737
57474.671310000005,6.98,0.128,W1,E,277.486896,-3.3616900000000003
57474.27809,6.9910000000000005,0.126,W1,E,277.486935,-3.361713
57473.68826,6.994,0.127,W1,E,277.486895,-3.3616650000000003
57474.14706,6.997000000000001,0.128,W1,E,277.486926,-3.3616800000000002
57474.212510000005,7.015,0.127,W1,E,277.486923,-3.3617220000000003
57474.802339999995,7.021,0.127,W1,E,277.48702799999995,-3.3617269999999997
57474.34367,7.042000000000001,0.129,W1,E,277.486951,-3.3616949999999997
57648.59733,6.917000000000001,0.127,W1,E,277.487002,-3.3616910000000004
57648.53175,6.937,0.128,W1,E,277.48695699999996,-3.3618120000000005
57648.85939,6.955,0.127,W1,E,277.48697000000004,-3.361783
57648.269810000005,6.9670000000000005,0.127,W1,E,277.486919,-3.361783
57648.33526,7.002999999999999,0.127,W1,E,277.48691099999996,-3.3617339999999998
57648.46629,7.006,0.127,W1,E,277.486959,-3.3617190000000003
57648.66278,7.013999999999999,0.126,W1,E,277.487023,-3.3617190000000003
57648.99042,7.034,0.128,W1,E,277.48702000000003,-3.3618639999999997
57648.138779999994,7.04,0.128,W1,E,277.48697400000003,-3.361701
57648.00775,7.057,0.128,W1,E,277.487002,-3.361763
57841.185710000005,6.94,0.127,W1,E,277.48690600000003,-3.361689
57841.05481,6.995,0.127,W1,E,277.48688,-3.361689
57841.38219,7.021,0.127,W1,E,277.486867,-3.361679
57841.44765,7.037999999999999,0.128,W1,E,277.486928,-3.3616870000000003
57841.64412999999,7.061,0.129,W1,E,277.48691099999996,-3.361706
57841.5131,7.077000000000001,0.128,W1,E,277.486958,-3.3616599999999996
57841.316739999995,7.103,0.126,W1,E,277.487119,-3.361679
57840.792870000005,7.164,0.11599999999999999,W1,E,277.486941,-3.3616940000000004
57841.51323,7.175,0.115,W1,E,277.487024,-3.3617769999999996
57841.77503,7.187,0.115,W1,E,277.486919,-3.3617489999999997
58009.292239999995,6.792000000000001,0.124,W1,E,277.48693399999996,-3.3618129999999997
58008.899020000004,6.805,0.125,W1,E,277.48698199999995,-3.361732
58008.571639999995,6.834,0.126,W1,E,277.486977,-3.361739
58009.09538,6.854,0.127,W1,E,277.48699300000004,-3.361765
58008.70254,6.867999999999999,0.127,W1,E,277.48693399999996,-3.361705
58008.964479999995,6.9,0.128,W1,E,277.48692900000003,-3.361758
58009.422770000005,6.9110000000000005,0.127,W1,E,277.486939,-3.3617790000000003
58009.55367,6.961,0.126,W1,E,277.48700499999995,-3.36177
58009.16082999999,6.97,0.126,W1,E,277.48682,-3.361787
58205.299170000006,6.857,0.128,W1,E,277.48690899999997,-3.3616339999999996
58204.906460000006,6.871,0.127,W1,E,277.486876,-3.361676
58205.75732999999,6.877999999999999,0.129,W1,E,277.486981,-3.361678
58205.62643,6.879,0.127,W1,E,277.48692400000004,-3.361669
58205.03736,6.881,0.127,W1,E,277.48692400000004,-3.3616800000000002
58205.495520000004,6.901,0.128,W1,E,277.48688300000003,-3.3616879999999996
58205.168260000006,6.952000000000001,0.127,W1,E,277.486873,-3.361675
58205.7572,6.995,0.128,W1,E,277.486891,-3.361705
58205.36462000001,7.021,0.127,W1,E,277.48691,-3.361676
58205.43007,7.023,0.127,W1,E,277.486937,-3.3616949999999997
58369.393260000004,6.928999999999999,0.127,W1,E,277.486891,-3.3617879999999998
58369.58961,6.968999999999999,0.127,W1,E,277.48695,-3.361832
58369.45871,6.983,0.127,W1,E,277.486989,-3.3617660000000003
58369.91674,7.002999999999999,0.127,W1,E,277.486889,-3.3618099999999997
58369.78584,7.006,0.127,W1,E,277.486954,-3.361843
58369.06612999999,7.013,0.127,W1,E,277.486988,-3.3617519999999996
58369.3278,7.019,0.128,W1,E,277.486989,-3.3618040000000002
58370.04765,7.022,0.127,W1,E,277.487008,-3.3617769999999996
58369.52365,7.098,0.126,W1,E,277.487034,-3.361653
58569.24826,6.961,0.127,W1,E,277.486905,-3.3616879999999996
58572.12725,6.97,0.126,W1,E,277.486907,-3.3616339999999996
58569.5754,7.005,0.126,W1,E,277.486979,-3.3616989999999998
58572.25815,7.0089999999999995,0.127,W1,E,277.486894,-3.3616629999999996
58569.706170000005,7.013999999999999,0.127,W1,E,277.486849,-3.3617150000000002
58572.71606,7.017,0.127,W1,E,277.486914,-3.361671
58569.37904,7.035,0.128,W1,E,277.48692,-3.361593
58569.509939999996,7.041,0.128,W1,E,277.486907,-3.3617150000000002
58572.977739999995,7.062,0.128,W1,E,277.486945,-3.361693
58572.650610000004,7.077999999999999,0.127,W1,E,277.486968,-3.361764
58569.64072,7.087000000000001,0.128,W1,E,277.486933,-3.3617449999999995
58572.58516,7.114,0.125,W1,E,277.487031,-3.361714
58572.84684,7.151,0.12,W1,E,277.486927,-3.361674
58571.996470000006,7.178,0.11699999999999999,W1,E,277.486902,-3.361657
58572.58527999999,7.197,0.11,W1,E,277.486913,-3.3617019999999997
58733.480339999995,6.892,0.128,W1,E,277.486958,-3.3617790000000003
58733.35007000001,6.902,0.13,W1,E,277.486907,-3.361742
58736.35868,6.938,0.128,W1,E,277.486917,-3.3617150000000002
58736.55491,6.956,0.127,W1,E,277.486889,-3.361792
58736.227779999994,6.98,0.127,W1,E,277.486988,-3.361738
58736.685679999995,6.992999999999999,0.127,W1,E,277.486961,-3.3617019999999997
58736.097,7.018,0.127,W1,E,277.48699799999997,-3.3617980000000003
58736.489460000004,7.031000000000001,0.127,W1,E,277.486962,-3.3617879999999998
58736.947360000006,7.053,0.128,W1,E,277.486973,-3.361714
58736.75113,7.11,0.125,W1,E,277.486902,-3.361829
58737.07814,7.129,0.12300000000000001,W1,E,277.48700299999996,-3.361648
58733.08839,7.1370000000000005,0.121,W1,E,277.486916,-3.361772
58736.62022999999,7.178,0.114,W1,E,277.487043,-3.361726
58733.742529999996,7.227,0.10400000000000001,W1,E,277.486951,-3.361793
58936.802,6.879,0.127,W1,E,277.486925,-3.36171
58937.06355,6.925,0.127,W1,E,277.486942,-3.361567
58936.867320000005,6.934,0.127,W1,E,277.487013,-3.3616080000000004
58936.34409,6.944,0.127,W1,E,277.4869,-3.361668
58936.73655,6.946000000000001,0.127,W1,E,277.486931,-3.361678
58937.19433,6.973,0.127,W1,E,277.48689,-3.3616129999999997
58936.60577,7.001,0.127,W1,E,277.486899,-3.361743
58937.3251,7.09,0.128,W1,E,277.486878,-3.3617510000000004
58936.475,7.149,0.121,W1,E,277.486912,-3.3616019999999995
59100.65289,6.854,0.128,W1,E,277.486964,-3.3617879999999998
59100.783670000004,6.856,0.126,W1,E,277.486962,-3.3617730000000003
59101.11067,6.872000000000001,0.127,W1,E,277.486961,-3.361738
59100.52212,6.904,0.129,W1,E,277.486986,-3.361736
59101.24145,6.906000000000001,0.127,W1,E,277.487,-3.361782
59100.71834,6.92,0.128,W1,E,277.487015,-3.3617879999999998
59101.372220000005,6.937,0.126,W1,E,277.487023,-3.361718
59100.849120000006,7.15,0.12,W1,E,277.486917,-3.361733
59100.260570000006,7.183,0.113,W1,E,277.48701,-3.3617550000000005
56747.61784,6.787000000000001,0.057,W2,E,277.486917,-3.3616129999999997
56748.144510000006,6.8260000000000005,0.053,W2,E,277.487061,-3.3616269999999995
56748.07867,6.841,0.052000000000000005,W2,E,277.48698199999995,-3.3616580000000003
56748.34201,6.847,0.052000000000000005,W2,E,277.48697999999996,-3.361678
56748.21034,6.853,0.052000000000000005,W2,E,277.486899,-3.361693
56748.012839999996,6.855,0.051,W2,E,277.486833,-3.36174
56748.473679999996,6.857,0.052000000000000005,W2,E,277.486927,-3.3617
56747.88117000001,6.858,0.051,W2,E,277.486946,-3.3617230000000005
56927.40831,6.756,0.059000000000000004,W2,E,277.486915,-3.3617339999999998
56927.73723,6.776,0.057999999999999996,W2,E,277.486975,-3.361726
56928.13185,6.79,0.055999999999999994,W2,E,277.486879,-3.361828
56927.86864,6.792000000000001,0.057,W2,E,277.486892,-3.361848
56932.14362,6.814,0.055,W2,E,277.48688,-3.3616900000000003
56927.80293,6.82,0.054000000000000006,W2,E,277.48700499999995,-3.3617800000000004
56928.00031,6.822,0.054000000000000006,W2,E,277.486914,-3.3618069999999998
56927.60569,6.832000000000001,0.054000000000000006,W2,E,277.486992,-3.361763
56927.671389999996,6.832000000000001,0.053,W2,E,277.48699300000004,-3.361743
