mjd,mag,emag,flt,class,ra,dec
56724.60356,14.659,0.11199999999999999,W1,D,84.04816600000001,-6.717395
56728.686270000006,14.677999999999999,0.136,W1,D,84.048171,-6.717422
56728.55447,14.707,0.09,W1,D,84.048129,-6.717613
56728.7521,14.785,0.135,W1,D,84.048171,-6.717645
56729.147229999995,14.789000000000001,0.10400000000000001,W1,D,84.048132,-6.717714
56728.4228,14.832,0.122,W1,D,84.048074,-6.717645
56728.620429999995,14.985,0.16399999999999998,W1,D,84.048204,-6.717711
56729.015439999996,15.183,0.14300000000000002,W1,D,84.048218,-6.7177240000000005
56920.20838,14.655,0.111,W1,D,84.048087,-6.717560000000001
56920.339920000006,14.739,0.09699999999999999,W1,D,84.0482,-6.7176029999999995
56920.14267000001,14.761,0.126,W1,D,84.048241,-6.71782
56919.9453,14.794,0.094,W1,D,84.048151,-6.717525999999999
56920.27421,14.83,0.10800000000000001,W1,D,84.048182,-6.717558
56915.73601,14.857999999999999,0.102,W1,D,84.048283,-6.7177240000000005
56920.603,14.913,0.11599999999999999,W1,D,84.048293,-6.717611
56920.47146,14.933,0.11900000000000001,W1,D,84.048513,-6.717552
56920.01112999999,14.992,0.11699999999999999,W1,D,84.048103,-6.717544999999999
57088.21766,14.672,0.106,W1,D,84.047939,-6.717751
57088.08637999999,14.82,0.106,W1,D,84.048227,-6.717675
57087.62669,14.894,0.138,W1,D,84.048152,-6.7176860000000005
57087.36399,14.924000000000001,0.162,W1,D,84.04813,-6.717617999999999
57087.954970000006,14.939,0.11599999999999999,W1,D,84.04819,-6.717689
57088.34907999999,14.94,0.20199999999999999,W1,D,84.048034,-6.7175899999999995
57087.232579999996,14.974,0.124,W1,D,84.048215,-6.717735
57087.757970000006,15.085,0.128,W1,D,84.048149,-6.717734
57281.97711,14.607999999999999,0.096,W1,D,84.048254,-6.717755
57281.84595,14.640999999999998,0.10099999999999999,W1,D,84.04819300000001,-6.717596
57282.108270000004,14.667,0.091,W1,D,84.048086,-6.717842
57281.71467,14.731,0.09699999999999999,W1,D,84.04812,-6.717553
57281.45235,14.763,0.175,W1,D,84.048197,-6.717496000000001
57282.43629,14.786,0.107,W1,D,84.04834100000001,-6.717533
57281.583510000004,14.884,0.13,W1,D,84.048214,-6.717492999999999
57282.042689999995,14.885,0.152,W1,D,84.048181,-6.717475
57282.56745,14.982000000000001,0.16699999999999998,W1,D,84.048188,-6.717646
57282.305010000004,15.047,0.149,W1,D,84.048084,-6.717478999999999
57447.3063,14.569,0.081,W1,D,84.048009,-6.717614
57446.71647000001,14.737,0.094,W1,D,84.048108,-6.717841
57446.71635,14.845999999999998,0.121,W1,D,84.048172,-6.717544
57446.97854,14.913,0.109,W1,D,84.048203,-6.717772
57446.45428,15.055,0.18100000000000002,W1,D,84.04813399999999,-6.71771
57446.32312000001,15.091,0.171,W1,D,84.048252,-6.717623
57446.91308,15.112,0.17600000000000002,W1,D,84.0482,-6.7175720000000005
57446.58531,15.118,0.171,W1,D,84.048059,-6.717632000000001
57447.04411,15.165999999999999,0.14400000000000002,W1,D,84.048129,-6.717633
57447.43746,15.22,0.16699999999999998,W1,D,84.048342,-6.717627
57446.8475,15.26,0.209,W1,D,84.048264,-6.717657000000001
57646.27353,14.687999999999999,0.111,W1,D,84.048169,-6.717594999999999
57646.1425,14.695,0.113,W1,D,84.048151,-6.717657000000001
57646.011470000005,14.844000000000001,0.115,W1,D,84.048126,-6.717782000000001
57645.6185,14.850999999999999,0.11,W1,D,84.04811600000001,-6.7175839999999996
57646.33911,14.879000000000001,0.135,W1,D,84.04809300000001,-6.71758
57646.732070000005,14.879000000000001,0.12300000000000001,W1,D,84.04812,-6.7177050000000005
57646.07705,14.96,0.155,W1,D,84.04811099999999,-6.717392
57645.88044,15.001,0.133,W1,D,84.048169,-6.717524000000001
57646.60117,15.030999999999999,0.162,W1,D,84.048273,-6.7176350000000005
57646.20808,15.075,0.203,W1,D,84.048161,-6.717613
57645.749529999994,15.088,0.174,W1,D,84.048244,-6.717492999999999
57654.265660000005,15.148,0.14400000000000002,W1,D,84.048126,-6.717855
57811.159029999995,14.523,0.09699999999999999,W1,D,84.048147,-6.717693
57811.6829,14.63,0.121,W1,D,84.048162,-6.717741
57811.22449,14.661,0.091,W1,D,84.04793000000001,-6.717654
57810.70061,14.76,0.10400000000000001,W1,D,84.048017,-6.717555
57811.42097000001,14.793,0.132,W1,D,84.048112,-6.717554
57811.028,14.821,0.159,W1,D,84.048238,-6.71767
57810.96255,14.825999999999999,0.138,W1,D,84.04825100000001,-6.71758
57818.42815,14.862,0.133,W1,D,84.048163,-6.7175720000000005
57810.83152000001,14.867,0.106,W1,D,84.048136,-6.717669
57811.289939999995,14.913,0.132,W1,D,84.048147,-6.717661
58012.99256,14.658,0.10300000000000001,W1,D,84.048289,-6.717553
58012.86166,14.735,0.11599999999999999,W1,D,84.048172,-6.717579
58013.188910000004,14.739,0.098,W1,D,84.048144,-6.717614
58013.05801,14.763,0.107,W1,D,84.048061,-6.717650999999999
58012.73063,14.866,0.11599999999999999,W1,D,84.048165,-6.717556
58013.12346,14.878,0.172,W1,D,84.04811600000001,-6.717681
58012.73075,14.99,0.13,W1,D,84.048214,-6.717511999999999
58013.84356,15.027999999999999,0.16399999999999998,W1,D,84.048289,-6.717666
58013.3854,15.029000000000002,0.133,W1,D,84.048213,-6.7176149999999994
58013.31995,15.094000000000001,0.149,W1,D,84.04809300000001,-6.7175839999999996
58013.843689999994,15.102,0.17,W1,D,84.048374,-6.717569
58168.74484,14.542,0.081,W1,D,84.048211,-6.717586
58168.02487000001,14.645,0.10300000000000001,W1,D,84.0483,-6.717558
58167.763060000005,14.708,0.107,W1,D,84.048472,-6.717658
58167.89396,14.807,0.102,W1,D,84.04798100000001,-6.717536
58168.35212999999,14.857000000000001,0.11800000000000001,W1,D,84.048372,-6.717565
58168.28667,14.864,0.115,W1,D,84.048252,-6.717633
58168.613939999996,14.868,0.18600000000000003,W1,D,84.04825,-6.717653
58167.63215,14.927,0.18600000000000003,W1,D,84.048079,-6.717744000000001
58168.483029999996,14.952,0.14400000000000002,W1,D,84.04808100000001,-6.717555
58173.98037999999,15.047,0.177,W1,D,84.048208,-6.717585000000001
58377.149529999995,14.734000000000002,0.094,W1,D,84.048204,-6.717588
58377.411210000006,14.788,0.11,W1,D,84.04803199999999,-6.717498
58377.476670000004,14.832,0.111,W1,D,84.0481,-6.717544
58377.542120000006,14.888,0.107,W1,D,84.04820600000001,-6.717536
58377.345760000004,14.901,0.171,W1,D,84.048299,-6.7177229999999994
58377.149410000005,14.912,0.11699999999999999,W1,D,84.048121,-6.717636
58377.60757000001,14.937000000000001,0.128,W1,D,84.048275,-6.717617999999999
58377.738470000004,14.977,0.138,W1,D,84.04825799999999,-6.717485000000001
58376.887729999995,14.992,0.14800000000000002,W1,D,84.048247,-6.717629
58377.01863,15.056,0.154,W1,D,84.048343,-6.717516000000001
58534.86621,14.595,0.08900000000000001,W1,D,84.048064,-6.717632000000001
58534.7353,14.755999999999998,0.121,W1,D,84.048248,-6.717486999999999
58535.45502,14.802999999999999,0.109,W1,D,84.047951,-6.717617999999999
58535.585920000005,14.828,0.14300000000000002,W1,D,84.048323,-6.717613
58534.997110000004,14.878,0.102,W1,D,84.04821,-6.717714
58534.60453,14.890999999999998,0.128,W1,D,84.048247,-6.7176279999999995
58535.324239999994,14.929,0.11199999999999999,W1,D,84.04829000000001,-6.717567999999999
58534.996979999996,14.966,0.122,W1,D,84.048179,-6.717614
58535.127889999996,15.075999999999999,0.17800000000000002,W1,D,84.048103,-6.717711
58535.7167,15.107000000000001,0.16699999999999998,W1,D,84.04826700000001,-6.717645
58535.06243,15.134,0.142,W1,D,84.048263,-6.717783
58741.43016,14.809000000000001,0.10800000000000001,W1,D,84.048149,-6.7175199999999995
58741.88807000001,14.880999999999998,0.11,W1,D,84.048337,-6.717579
58741.62639,14.889000000000001,0.146,W1,D,84.04818,-6.717608
58741.757289999994,14.898,0.11199999999999999,W1,D,84.047921,-6.717655000000001
58741.822620000006,14.975,0.145,W1,D,84.048287,-6.717422999999999
58741.69184,15.023,0.138,W1,D,84.048176,-6.7175080000000005
58742.018970000005,15.027999999999999,0.129,W1,D,84.048141,-6.717511999999999
58748.10253,15.152999999999999,0.157,W1,D,84.048241,-6.717599000000001
58741.29939,15.255,0.195,W1,D,84.048316,-6.717649000000001
58741.56106,15.345999999999998,0.165,W1,D,84.04804200000001,-6.717507
58899.29204,14.764000000000001,0.10300000000000001,W1,D,84.048152,-6.717596
58899.42282000001,14.775,0.099,W1,D,84.048091,-6.7175199999999995
58898.965039999995,14.852,0.125,W1,D,84.048045,-6.717687
58898.83426,14.892000000000001,0.13,W1,D,84.04815500000001,-6.717796000000001
58899.22659,14.905999999999999,0.132,W1,D,84.048293,-6.7176149999999994
58899.48776,14.966,0.171,W1,D,84.048164,-6.717631
58899.553210000005,14.982999999999999,0.153,W1,D,84.048164,-6.717612
58899.357489999995,15.050999999999998,0.154,W1,D,84.048175,-6.717589
58899.0953,15.275,0.20199999999999999,W1,D,84.04818,-6.717774
59109.189229999996,14.582,0.086,W1,D,84.048244,-6.717655000000001
59108.60055,14.623,0.10400000000000001,W1,D,84.048141,-6.717561999999999
59109.18911,14.652000000000001,0.102,W1,D,84.048201,-6.717625
59108.46939,14.747,0.099,W1,D,84.048148,-6.7176029999999995
59109.32001,14.814,0.14400000000000002,W1,D,84.048254,-6.717517999999999
59108.86223,14.83,0.102,W1,D,84.048201,-6.717491000000001
59108.92755,14.844000000000001,0.105,W1,D,84.048181,-6.717478999999999
59109.05832999999,14.897,0.11599999999999999,W1,D,84.04802600000001,-6.717672
59108.731329999995,14.972000000000001,0.126,W1,D,84.048147,-6.717667
59108.339,15.07,0.244,W1,D,84.048273,-6.717469
56728.686270000006,13.197000000000001,0.092,W2,D,84.048171,-6.717422
56724.60356,13.252,0.094,W2,D,84.04816600000001,-6.717395
56729.015439999996,13.293,0.092,W2,D,84.048218,-6.7177240000000005
56728.4228,13.300999999999998,0.12,W2,D,84.048074,-6.717645
56728.88377000001,13.31,0.102,W2,D,84.048036,-6.717539
56728.81793,13.322000000000001,0.08900000000000001,W2,D,84.048197,-6.717513
56728.55447,13.362,0.095,W2,D,84.048129,-6.717613
56728.620429999995,13.362,0.096,W2,D,84.048204,-6.717711
56728.7521,13.367,0.10800000000000001,W2,D,84.048171,-6.717645
56920.47146,13.154000000000002,0.091,W2,D,84.048513,-6.717552
56919.74805,13.209000000000001,0.105,W2,D,84.048052,-6.717510000000001
56920.603,13.245999999999999,0.086,W2,D,84.048293,-6.717611
56920.14267000001,13.28,0.23399999999999999,W2,D,84.048241,-6.71782
56920.27421,13.315,0.099,W2,D,84.048182,-6.717558
56920.01112999999,13.34,0.115,W2,D,84.048103,-6.717544999999999
56915.73601,13.343,0.153,W2,D,84.048283,-6.7177240000000005
56920.339920000006,13.38,0.10300000000000001,W2,D,84.0482,-6.7176029999999995
56919.9453,13.405,0.094,W2,D,84.048151,-6.717525999999999
57088.21766,13.167,0.07400000000000001,W2,D,84.047939,-6.717751
57087.69227000001,13.238,0.079,W2,D,84.048129,-6.717625999999999
57088.34907999999,13.251,0.078,W2,D,84.048034,-6.7175899999999995
57088.08637999999,13.262,0.075,W2,D,84.048227,-6.717675
57087.495279999996,13.265999999999998,0.08199999999999999,W2,D,84.04814499999999,-6.717604
57087.757970000006,13.300999999999998,0.08,W2,D,84.048149,-6.717734
57087.954970000006,13.399000000000001,0.09699999999999999,W2,D,84.04819,-6.717689
57087.232579999996,13.512,0.124,W2,D,84.048215,-6.717735
57282.43629,13.216,0.125,W2,D,84.04834100000001,-6.717533
57281.583510000004,13.251,0.087,W2,D,84.048214,-6.717492999999999
57281.71467,13.302999999999999,0.086,W2,D,84.04812,-6.717553
57281.45235,13.305,0.092,W2,D,84.048197,-6.717496000000001
57281.91153,13.324000000000002,0.096,W2,D,84.048252,-6.717585000000001
57282.042689999995,13.332,0.085,W2,D,84.048181,-6.717475
57281.84583,13.345999999999998,0.114,W2,D,84.04819499999999,-6.717524000000001
57282.56745,13.436,0.11199999999999999,W2,D,84.048188,-6.717646
57282.305010000004,13.45,0.111,W2,D,84.048084,-6.717478999999999
57282.17385,13.492,0.13,W2,D,84.048338,-6.717363000000001
57447.43746,13.253,0.077,W2,D,84.048342,-6.717627
57447.3063,13.257,0.08199999999999999,W2,D,84.048009,-6.717614
57446.45416,13.28,0.079,W2,D,84.048309,-6.717599000000001
57446.97854,13.302999999999999,0.08900000000000001,W2,D,84.048203,-6.717772
57447.04411,13.332,0.08,W2,D,84.048129,-6.717633
57446.71635,13.341,0.076,W2,D,84.048172,-6.717544
57447.17527000001,13.35,0.11800000000000001,W2,D,84.048386,-6.717682000000001
57446.45428,13.363,0.08199999999999999,W2,D,84.04813399999999,-6.71771
57446.78192,13.369000000000002,0.083,W2,D,84.04798199999999,-6.717656
57446.32312000001,13.395,0.083,W2,D,84.048252,-6.717623
57446.58531,13.405999999999999,0.10099999999999999,W2,D,84.048059,-6.717632000000001
57645.88057,13.255,0.09,W2,D,84.048119,-6.717604
57645.6185,13.265,0.08900000000000001,W2,D,84.04811600000001,-6.7175839999999996
57646.27353,13.267999999999999,0.102,W2,D,84.048169,-6.717594999999999
57646.33911,13.34,0.125,W2,D,84.04809300000001,-6.71758
57654.26579,13.343,0.098,W2,D,84.048098,-6.71753
57645.749529999994,13.375,0.1,W2,D,84.048244,-6.717492999999999
57646.1425,13.380999999999998,0.105,W2,D,84.048151,-6.717657000000001
57646.011470000005,13.415999999999999,0.10099999999999999,W2,D,84.048126,-6.717782000000001
57646.07705,13.42,0.099,W2,D,84.04811099999999,-6.717392
57646.20808,13.43,0.098,W2,D,84.048161,-6.717613
57646.40456,13.440999999999999,0.09699999999999999,W2,D,84.04824,-6.717460000000001
57646.60117,13.455,0.10300000000000001,W2,D,84.048273,-6.7176350000000005
57818.42802000001,13.234000000000002,0.10400000000000001,W2,D,84.04821,-6.71753
57810.70061,13.273,0.111,W2,D,84.048017,-6.717555
57811.42097000001,13.293,0.08900000000000001,W2,D,84.048112,-6.717554
57811.09345,13.302999999999999,0.086,W2,D,84.048232,-6.71773
57818.42815,13.337,0.109,W2,D,84.048163,-6.7175720000000005
57810.83152000001,13.349,0.09699999999999999,W2,D,84.048136,-6.717669
57810.569579999996,13.36,0.095,W2,D,84.048079,-6.717581
57810.96255,13.398,0.10300000000000001,W2,D,84.04825100000001,-6.71758
57811.289939999995,13.417,0.094,W2,D,84.048147,-6.717661
57811.159029999995,13.425,0.11,W2,D,84.048147,-6.717693
58013.843689999994,13.251,0.11900000000000001,W2,D,84.048374,-6.717569
58012.99256,13.337,0.1,W2,D,84.048289,-6.717553
58013.05801,13.360999999999999,0.092,W2,D,84.048061,-6.717650999999999
58013.25437,13.39,0.145,W2,D,84.048405,-6.71747
58012.73075,13.390999999999998,0.096,W2,D,84.048214,-6.717511999999999
58012.86166,13.395,0.10099999999999999,W2,D,84.048172,-6.717579
58012.73063,13.41,0.098,W2,D,84.048165,-6.717556
58013.45085,13.508,0.141,W2,D,84.04805400000001,-6.717478
58013.3854,13.509,0.12,W2,D,84.048213,-6.7176149999999994
58013.31995,13.514000000000001,0.107,W2,D,84.04809300000001,-6.7175839999999996
58013.58175,13.527000000000001,0.133,W2,D,84.047921,-6.717550999999999
58168.74484,13.200999999999999,0.08,W2,D,84.048211,-6.717586
58168.09032,13.219000000000001,0.121,W2,D,84.048261,-6.717480999999999
58168.483029999996,13.228,0.079,W2,D,84.04808100000001,-6.717555
58167.89396,13.249,0.09699999999999999,W2,D,84.04798100000001,-6.717536
58168.02487000001,13.305,0.09,W2,D,84.0483,-6.717558
58168.22071,13.33,0.09699999999999999,W2,D,84.048209,-6.717575999999999
58168.155770000005,13.337,0.098,W2,D,84.048238,-6.717569
58173.98037999999,13.397,0.12300000000000001,W2,D,84.048208,-6.717585000000001
58168.28667,13.401,0.106,W2,D,84.048252,-6.717633
58168.613939999996,13.412,0.12,W2,D,84.04825,-6.717653
58376.887729999995,13.248,0.126,W2,D,84.048247,-6.717629
58377.345760000004,13.286,0.087,W2,D,84.048299,-6.7177229999999994
58377.28031,13.297,0.10800000000000001,W2,D,84.04821700000001,-6.717650999999999
58377.542120000006,13.328,0.11,W2,D,84.04820600000001,-6.717536
58377.01863,13.352,0.114,W2,D,84.048343,-6.717516000000001
58377.149410000005,13.365,0.092,W2,D,84.048121,-6.717636
58377.738470000004,13.392000000000001,0.121,W2,D,84.04825799999999,-6.717485000000001
58377.149529999995,13.417,0.127,W2,D,84.048204,-6.717588
58377.476670000004,13.442,0.10800000000000001,W2,D,84.0481,-6.717544
58377.21486,13.460999999999999,0.121,W2,D,84.048167,-6.717534
58535.585920000005,13.33,0.10400000000000001,W2,D,84.048323,-6.717613
58534.7353,13.332,0.107,W2,D,84.048248,-6.717486999999999
58535.32411,13.342,0.079,W2,D,84.04812700000001,-6.717525999999999
58534.86621,13.366,0.091,W2,D,84.048064,-6.717632000000001
58535.127889999996,13.37,0.09300000000000001,W2,D,84.048103,-6.717711
58535.06243,13.394,0.102,W2,D,84.048263,-6.717783
58534.60453,13.42,0.098,W2,D,84.048247,-6.7176279999999995
58535.25879,13.437999999999999,0.111,W2,D,84.048148,-6.717617
58534.996979999996,13.443,0.155,W2,D,84.048179,-6.717614
58535.19334,13.447000000000001,0.1,W2,D,84.04815699999999,-6.717600999999999
58534.997110000004,13.456,0.095,W2,D,84.04821,-6.717714
58741.037710000004,13.29,0.08900000000000001,W2,D,84.04819300000001,-6.717473
58741.495610000005,13.312000000000001,0.08900000000000001,W2,D,84.048152,-6.717561
58741.56106,13.32,0.102,W2,D,84.04804200000001,-6.717507
58742.018970000005,13.322000000000001,0.10099999999999999,W2,D,84.048141,-6.717511999999999
58741.822620000006,13.38,0.115,W2,D,84.048287,-6.717422999999999
58748.10253,13.394,0.10300000000000001,W2,D,84.048241,-6.717599000000001
58741.43016,13.413,0.099,W2,D,84.048149,-6.7175199999999995
58741.69184,13.439,0.141,W2,D,84.048176,-6.7175080000000005
58741.62639,13.46,0.12,W2,D,84.04818,-6.717608
58741.757289999994,13.484000000000002,0.111,W2,D,84.047921,-6.717655000000001
58899.81527000001,13.23,0.10300000000000001,W2,D,84.04812,-6.717642999999999
58899.48776,13.245999999999999,0.081,W2,D,84.048164,-6.717631
58899.42282000001,13.251,0.096,W2,D,84.048091,-6.7175199999999995
58899.357489999995,13.322000000000001,0.083,W2,D,84.048175,-6.717589
58899.22659,13.334000000000001,0.115,W2,D,84.048293,-6.7176149999999994
58899.6845,13.357999999999999,0.11599999999999999,W2,D,84.048401,-6.717574000000001
58899.29204,13.394,0.124,W2,D,84.048152,-6.717596
58899.0953,13.409,0.10400000000000001,W2,D,84.04818,-6.717774
58899.94605,13.433,0.086,W2,D,84.048239,-6.717600999999999
59109.189229999996,13.235,0.10300000000000001,W2,D,84.048244,-6.717655000000001
59109.05832999999,13.261,0.1,W2,D,84.04802600000001,-6.717672
59108.731329999995,13.270999999999999,0.14,W2,D,84.048147,-6.717667
59108.666,13.272,0.08800000000000001,W2,D,84.048113,-6.7175839999999996
59108.92755,13.293,0.096,W2,D,84.048181,-6.717478999999999
59108.86223,13.304,0.109,W2,D,84.048201,-6.717491000000001
59108.73145,13.347000000000001,0.094,W2,D,84.048241,-6.717392
59108.79678,13.355,0.098,W2,D,84.048199,-6.717452000000001
59109.32001,13.425,0.11,W2,D,84.048254,-6.717517999999999
59108.60055,13.517999999999999,0.111,W2,D,84.048141,-6.717561999999999
