mjd,mag,emag,flt,class,ra,dec
56640.88926,8.283999999999999,0.035,W1,D,326.892771,47.534872
56640.62567,8.287,0.035,W1,D,326.892731,47.534861
56641.21868,8.29,0.035,W1,D,326.89279500000004,47.534876000000004
56640.5597,8.292,0.035,W1,D,326.892827,47.534872
56640.82329,8.298,0.036000000000000004,W1,D,326.89277799999996,47.534898
56640.493870000006,8.298,0.036000000000000004,W1,D,326.89277000000004,47.534862
56640.955089999996,8.302,0.036000000000000004,W1,D,326.89272900000003,47.534872
56641.02105,8.302999999999999,0.034,W1,D,326.892791,47.534890000000004
56641.28464,8.304,0.034,W1,D,326.892784,47.534876000000004
56641.350470000005,8.304,0.034,W1,D,326.892771,47.534866
56641.15285,8.306000000000001,0.034,W1,D,326.89277799999996,47.534896
56640.75746,8.311,0.034,W1,D,326.892731,47.534843
56826.12331,8.222999999999999,0.035,W1,D,326.892723,47.534917
56826.45222000001,8.222999999999999,0.036000000000000004,W1,D,326.892717,47.534918
56826.057479999996,8.224,0.036000000000000004,W1,D,326.892735,47.534914
56828.55762000001,8.224,0.035,W1,D,326.892771,47.534898999999996
56829.67615,8.224,0.037000000000000005,W1,D,326.89277200000004,47.534918
56828.952370000006,8.225,0.036000000000000004,W1,D,326.892756,47.534896
56828.42608,8.226,0.035,W1,D,326.892723,47.534896
56826.38652000001,8.227,0.036000000000000004,W1,D,326.89276,47.534911
56826.25485,8.228,0.036000000000000004,W1,D,326.892784,47.534909999999996
56825.66273,8.234,0.035,W1,D,326.892756,47.534905
56828.754989999994,8.235,0.035,W1,D,326.892764,47.534905
56825.26798,8.236,0.035,W1,D,326.892761,47.534862
56825.39965,8.236,0.036000000000000004,W1,D,326.892738,47.534919
56828.294539999995,8.237,0.037000000000000005,W1,D,326.892731,47.534915000000005
56825.531189999994,8.238,0.035,W1,D,326.892767,47.534909999999996
56829.54449,8.238999999999999,0.035,W1,D,326.89273399999996,47.534907000000004
56829.14974,8.238999999999999,0.035,W1,D,326.892735,47.534906
56829.807689999994,8.241,0.035,W1,D,326.892765,47.534911
56825.399520000006,8.242,0.036000000000000004,W1,D,326.892788,47.534894
56829.41295,8.243,0.036000000000000004,W1,D,326.892762,47.534924
56829.34711,8.243,0.036000000000000004,W1,D,326.89269,47.534890999999995
56829.08403,8.243,0.035,W1,D,326.89274700000004,47.534909999999996
56826.189139999995,8.247,0.036000000000000004,W1,D,326.892731,47.534903
56829.0182,8.25,0.035,W1,D,326.892736,47.534908
56826.51806,8.25,0.035,W1,D,326.892756,47.534903
56825.99177000001,8.251,0.035,W1,D,326.89275499999997,47.534896
57005.39005,8.085,0.036000000000000004,W1,D,326.892758,47.534902
57005.85012999999,8.085,0.036000000000000004,W1,D,326.89276,47.534871
57006.77027000001,8.089,0.036000000000000004,W1,D,326.89270899999997,47.534867
57006.24449,8.091000000000001,0.036000000000000004,W1,D,326.892748,47.534931
57006.63886,8.094,0.034,W1,D,326.892781,47.5349
57006.90181,8.097999999999999,0.035,W1,D,326.892766,47.534877
57006.37602999999,8.101,0.036000000000000004,W1,D,326.89275499999997,47.534884000000005
57005.91583,8.102,0.036000000000000004,W1,D,326.892748,47.534869
57006.244620000005,8.104,0.037000000000000005,W1,D,326.892799,47.534872
57006.441739999995,8.104,0.034,W1,D,326.892773,47.534867999999996
57006.04737000001,8.11,0.035,W1,D,326.892762,47.534890999999995
57005.65301,8.11,0.035,W1,D,326.892789,47.534884999999996
57005.78442,8.117,0.035,W1,D,326.892762,47.534890999999995
57190.11849,8.161,0.034,W1,D,326.89277400000003,47.534882
57191.49641,8.163,0.035,W1,D,326.892744,47.53492
57190.77466,8.165,0.035,W1,D,326.892779,47.534938000000004
57191.233960000005,8.171,0.035,W1,D,326.892781,47.534908
57190.643370000005,8.174,0.035,W1,D,326.89279700000003,47.534932
57191.36512,8.176,0.035,W1,D,326.89271099999996,47.5349
57190.70907999999,8.179,0.034,W1,D,326.89275299999997,47.534931
57191.102679999996,8.182,0.035,W1,D,326.892782,47.534921999999995
57190.97152000001,8.183,0.035,W1,D,326.892738,47.534903
57190.24977,8.183,0.034,W1,D,326.892754,47.53492
57190.577789999996,8.184,0.034,W1,D,326.892764,47.534898
57191.168379999996,8.185,0.037000000000000005,W1,D,326.892766,47.534901
57190.905810000004,8.187000000000001,0.036000000000000004,W1,D,326.892796,47.534914
57190.38092999999,8.187999999999999,0.034,W1,D,326.89273399999996,47.534905
57190.84024,8.189,0.034,W1,D,326.892758,47.534896999999994
57365.04492000001,8.22,0.036000000000000004,W1,D,326.89275499999997,47.534896
57365.307239999995,8.221,0.035,W1,D,326.89279300000004,47.534890999999995
57366.02849,8.222999999999999,0.037000000000000005,W1,D,326.89274700000004,47.534877
57364.65158,8.23,0.037000000000000005,W1,D,326.89279500000004,47.534896999999994
57364.91377000001,8.231,0.037000000000000005,W1,D,326.892773,47.534890999999995
57365.63514,8.232000000000001,0.035,W1,D,326.89279799999997,47.534876000000004
57365.1105,8.234,0.037000000000000005,W1,D,326.89277999999996,47.534884000000005
57365.56956,8.234,0.035,W1,D,326.892761,47.534865
57365.4384,8.236,0.035,W1,D,326.89279500000004,47.53488
57365.89745,8.236,0.035,W1,D,326.892742,47.534877
57365.24166,8.238999999999999,0.036000000000000004,W1,D,326.89277799999996,47.534890999999995
57364.97935,8.243,0.036000000000000004,W1,D,326.892759,47.534883
57365.372820000004,8.249,0.036000000000000004,W1,D,326.892745,47.534875
57554.80186,8.243,0.036000000000000004,W1,D,326.89272,47.534905
57554.5398,8.246,0.036000000000000004,W1,D,326.89269,47.534906
57555.26041,8.246,0.035,W1,D,326.89277599999997,47.534911
57555.78453,8.249,0.035,W1,D,326.892733,47.534884999999996
57554.93289,8.252,0.036000000000000004,W1,D,326.89274900000004,47.534908
57554.99834,8.253,0.035,W1,D,326.89272400000004,47.534898999999996
57554.40877,8.254,0.035,W1,D,326.892746,47.534909000000006
57554.73628,8.257,0.035,W1,D,326.892769,47.534898999999996
57554.86731,8.259,0.035,W1,D,326.892769,47.534907000000004
57555.12937,8.262,0.036000000000000004,W1,D,326.89268500000003,47.534907000000004
57555.19495,8.265,0.037000000000000005,W1,D,326.892738,47.534886
57554.60525,8.265,0.035,W1,D,326.89275499999997,47.534878000000006
57554.27774,8.271,0.037000000000000005,W1,D,326.89277999999996,47.534905
57555.39144,8.277000000000001,0.035,W1,D,326.892726,47.534895
57725.24507999999,8.504,0.033,W1,D,326.892725,47.534864
57724.655629999994,8.506,0.034,W1,D,326.89275299999997,47.534863
57724.59005,8.507,0.033,W1,D,326.892717,47.534877
57724.721079999996,8.513,0.033,W1,D,326.892746,47.534862
57723.73854,8.514,0.033,W1,D,326.892796,47.534889
57724.98302000001,8.514,0.034,W1,D,326.892782,47.534896
57724.328120000006,8.516,0.035,W1,D,326.892775,47.534892
57724.197089999994,8.517000000000001,0.034,W1,D,326.892759,47.534866
57724.78654,8.526,0.033,W1,D,326.89276,47.534855
57724.917570000005,8.527000000000001,0.033,W1,D,326.892765,47.534883
57724.39357000001,8.532,0.033,W1,D,326.892782,47.534875
57922.49868,8.564,0.034,W1,D,326.89276,47.534881
57921.84391,8.564,0.033,W1,D,326.89275200000003,47.534918
57919.8144,8.566,0.033,W1,D,326.89269900000005,47.534921999999995
57922.23675,8.567,0.034,W1,D,326.89275699999996,47.534929
57919.35611,8.568999999999999,0.033,W1,D,326.892768,47.534938000000004
57919.02872,8.57,0.033,W1,D,326.892727,47.534903
57921.97494,8.571,0.034,W1,D,326.892746,47.534908
57919.9453,8.571,0.033,W1,D,326.892719,47.534898
57921.90949,8.572000000000001,0.035,W1,D,326.892743,47.534898
57922.36765,8.573,0.035,W1,D,326.892739,47.534907000000004
57919.159629999995,8.575,0.034,W1,D,326.892739,47.534907000000004
57919.29066,8.575,0.033,W1,D,326.892728,47.534895
57918.70134,8.578,0.034,W1,D,326.892767,47.534931
57922.17129,8.578,0.033,W1,D,326.892716,47.534898999999996
57919.487010000004,8.58,0.033,W1,D,326.892773,47.534898999999996
57918.439529999996,8.58,0.033,W1,D,326.892762,47.534906
57919.55246,8.582,0.034,W1,D,326.89275499999997,47.534923
57918.897820000006,8.582,0.033,W1,D,326.892787,47.53492
57919.225210000004,8.583,0.033,W1,D,326.892737,47.534926
57919.42156,8.583,0.033,W1,D,326.892743,47.534918
57918.832370000004,8.584,0.033,W1,D,326.89272200000005,47.534869
57919.683489999996,8.585,0.034,W1,D,326.892739,47.534903
57921.4512,8.586,0.034,W1,D,326.89275499999997,47.534912
57922.3022,8.586,0.034,W1,D,326.892746,47.534906
57922.10584,8.586,0.034,W1,D,326.89280299999996,47.534888
57919.617920000004,8.589,0.035,W1,D,326.89273199999997,47.534873
57922.040389999995,8.59,0.034,W1,D,326.89275699999996,47.534904
57922.56413,8.59,0.033,W1,D,326.892769,47.534917
57922.62957999999,8.592,0.033,W1,D,326.89277000000004,47.534896999999994
58087.26678,8.589,0.035,W1,D,326.89277000000004,47.534871
58088.31426,8.593,0.034,W1,D,326.892737,47.534889
58088.24868,8.602,0.035,W1,D,326.892721,47.534871
58088.05233,8.607999999999999,0.033,W1,D,326.892767,47.534894
58088.77242,8.61,0.033,W1,D,326.892746,47.53488
58087.921420000006,8.61,0.033,W1,D,326.89275200000003,47.534889
58087.79052,8.612,0.034,W1,D,326.892767,47.534858
58084.648329999996,8.613,0.035,W1,D,326.892785,47.534914
58088.37971,8.619,0.034,W1,D,326.892779,47.534913
