mjd,mag,emag,flt,class
56729.337907,13.831099999999998,0.07842225449449894,W1,P
56920.91461866668,13.8864,0.0875899030203318,W1,P
57088.99354545455,13.913818181818185,0.07454046546497761,W1,P
57283.15804333333,13.751222222222221,0.05784493959748833,W1,P
57448.066388,13.7273,0.08270683164043963,W1,P
57647.17226285714,13.873571428571429,0.08485858584631728,W1,P
57812.789961818184,13.91109090909091,0.08304419812952124,W1,P
58014.28580333333,13.927500000000002,0.0792849992817754,W1,P
58169.235477500006,13.80125,0.0519344538817921,W1,P
58378.404935454535,13.81590909090909,0.07293283449247992,W1,P
58536.23261777777,13.767000000000003,0.056540818861516635,W1,P
58742.76849181819,13.939090909090908,0.07826655027891513,W1,P
58900.47628444445,13.855888888888892,0.05830464903217787,W1,P
59109.85523181818,13.980545454545455,0.08568291535347666,W1,P
56729.298394,12.45,0.07254715707731088,W2,P
56920.90146866666,12.514133333333332,0.06065164649226102,W2,P
57089.017415454546,12.581454545454545,0.06647605670993488,W2,P
57283.150757777774,12.430666666666665,0.06709041255492575,W2,P
57448.05983,12.2711,0.05997149322803311,W2,P
57647.21905142857,12.574285714285713,0.06319358014409834,W2,P
57812.80783545454,12.593636363636364,0.06329943271324155,W2,P
58014.25851083332,12.675416666666665,0.09064640551799781,W2,P
58169.3172925,12.454625,0.07343704787094876,W2,P
58378.52986636363,12.555090909090909,0.08170082492477314,W2,P
58536.28349666666,12.477666666666668,0.06147065946700618,W2,P
58742.69118727273,12.68918181818182,0.07513409499957381,W2,P
58900.381856666674,12.53588888888889,0.07524322700334246,W2,P
59109.89089818182,12.84309090909091,0.08500714602921941,W2,P
